nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1 -3.955259915E-01 -1.996539108E-03 -3.149288871E-01 -1.449190985E-03 -9.266439890E-06 -2.529423580E-03  2.916114781E-03 -3.903706083E-03 -3.149288871E-01 -1.996539108E-03 -3.955259915E-01 
         2  3.955259915E-01 -1.996539108E-03 -3.149288871E-01 -1.640397086E-03  5.189218855E-05  2.883611589E-03  3.319139917E-03 -9.600178459E-04 -3.149288871E-01 -1.996539108E-03  3.955259915E-01 
         3 -3.956322516E-01  5.983957916E-03 -3.147448391E-01 -1.369018231E-03  2.812509302E-05 -2.406241259E-03  2.769285796E-03 -1.929095902E-03 -3.147448391E-01  5.983957916E-03 -3.956322516E-01 
         4  3.956322516E-01  5.983957916E-03 -3.147448391E-01 -1.457367123E-03  6.680199660E-05  2.565431580E-03  2.952150497E-03 -1.663721840E-03 -3.147448391E-01  5.983957916E-03  3.956322516E-01 
         5 -3.958444707E-01 -9.954414546E-03 -3.143772648E-01 -1.497986424E-03  4.426771029E-05 -2.611469131E-03  3.011998549E-03 -1.794526481E-03 -3.143772648E-01 -9.954414546E-03 -3.958444707E-01 
         6  3.958444707E-01 -9.954414546E-03 -3.143772648E-01 -1.541739187E-03 -7.236406239E-06  2.715430534E-03  3.122978245E-03 -7.081852702E-04 -3.143772648E-01 -9.954414546E-03  3.958444707E-01 
         7 -3.961620472E-01  1.389665431E-02 -3.138272062E-01 -1.496898665E-03  1.859744096E-04 -2.718808028E-03  3.111258592E-03 -4.203811354E-04 -3.138272062E-01  1.389665431E-02 -3.961620472E-01 
         8  3.961620472E-01  1.389665431E-02 -3.138272062E-01 -1.306305117E-03 -6.253322346E-05  2.268499962E-03  2.620288180E-03 -2.000025275E-03 -3.138272062E-01  1.389665431E-02  3.961620472E-01 
         9 -3.965840809E-01 -1.779950249E-02 -3.130962224E-01 -1.568754016E-03  4.446974828E-05 -2.751886961E-03  3.170045666E-03 -3.040810216E-05 -3.130962224E-01 -1.779950249E-02 -3.965840809E-01 
        10  3.965840809E-01 -1.779950249E-02 -3.130962224E-01 -1.633180390E-03  1.108214127E-04  2.815943134E-03  3.259547166E-03  3.377949122E-05 -3.130962224E-01 -1.779950249E-02  3.965840809E-01 
