nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1 -3.955259915E-01 -1.996539108E-03 -3.149288871E-01 -2.803440167E-03  3.141502334E-05 -4.900689872E-03  5.651686545E-03 -7.950661057E-03 -3.149288871E-01 -1.996539108E-03 -3.955259915E-01 
         2  3.955259915E-01 -1.996539108E-03 -3.149288871E-01 -2.778596723E-03  5.717010337E-06  4.883521806E-03  5.619784091E-03 -2.445087020E-03 -3.149288871E-01 -1.996539108E-03  3.955259915E-01 
         3 -3.956322516E-01  5.983957916E-03 -3.147448391E-01 -2.496434417E-03  2.475783980E-04 -4.422284722E-03  5.085654892E-03 -3.920803690E-03 -3.147448391E-01  5.983957916E-03 -3.956322516E-01 
         4  3.956322516E-01  5.983957916E-03 -3.147448391E-01 -2.496652725E-03 -3.020334147E-05  4.366509671E-03  5.031865516E-03 -3.840113066E-03 -3.147448391E-01  5.983957916E-03  3.956322516E-01 
         5 -3.958444707E-01 -9.954414546E-03 -3.143772648E-01 -2.698241353E-03  8.339499262E-05 -4.698674671E-03  5.423320542E-03 -3.911031440E-03 -3.143772648E-01 -9.954414546E-03 -3.958444707E-01 
         6  3.958444707E-01 -9.954414546E-03 -3.143772648E-01 -2.673443129E-03 -9.214489510E-06  4.704479754E-03  5.411577652E-03 -2.015369950E-03 -3.143772648E-01 -9.954414546E-03  3.958444707E-01 
         7 -3.961620472E-01  1.389665431E-02 -3.138272062E-01 -2.569759287E-03  4.042416958E-04 -4.687702142E-03  5.363514805E-03 -8.419131014E-04 -3.138272062E-01  1.389665431E-02 -3.961620472E-01 
         8  3.961620472E-01  1.389665431E-02 -3.138272062E-01 -2.259586332E-03 -2.010572957E-04  3.888559002E-03  4.504636117E-03 -4.836216340E-03 -3.138272062E-01  1.389665431E-02  3.961620472E-01 
         9 -3.965840809E-01 -1.779950249E-02 -3.130962224E-01 -3.000272991E-03  2.144087691E-04 -5.193497390E-03  6.003957725E-03 -5.013675295E-04 -3.130962224E-01 -1.779950249E-02 -3.965840809E-01 
        10  3.965840809E-01 -1.779950249E-02 -3.130962224E-01 -3.027115784E-03  1.555264809E-04  5.246536914E-03  6.061428529E-03  8.651202275E-05 -3.130962224E-01 -1.779950249E-02  3.965840809E-01 
        11 -3.971093755E-01  2.165189605E-02 -3.121863856E-01 -2.508364813E-03  2.356046481E-04 -4.540243297E-03  5.194849369E-03 -4.753167187E-03 -3.121863856E-01  2.165189605E-02 -3.971093755E-01 
        12  3.971093755E-01  2.165189605E-02 -3.121863856E-01 -2.460766444E-03  4.234943109E-05  4.355649299E-03  5.004165717E-03 -3.962229149E-03 -3.121863856E-01  2.165189605E-02  3.971093755E-01 
        13 -3.895261675E-01  1.996539108E-03 -3.114648871E-01 -2.502452075E-03  1.658854388E-04 -4.332602519E-03  5.009864996E-03 -1.048409063E-02 -3.114648871E-01  1.996539108E-03 -3.895261675E-01 
        14  3.895261675E-01  1.996539108E-03 -3.114648871E-01 -2.524385361E-03 -8.524897473E-05  4.365328899E-03  5.045113244E-03 -5.643381995E-03 -3.114648871E-01  1.996539108E-03  3.895261675E-01 
        15 -3.896324276E-01 -5.983957916E-03 -3.112808391E-01 -2.520770675E-03 -1.995462514E-10 -4.347347750E-03  5.027307974E-03 -1.079336016E-02 -3.112808391E-01 -5.983957916E-03 -3.896324276E-01 
        16  3.896324276E-01 -5.983957916E-03 -3.112808391E-01 -2.345215368E-03 -6.252498854E-05  4.062733361E-03  4.692393520E-03 -5.633449718E-03 -3.112808391E-01 -5.983957916E-03  3.896324276E-01 
        17 -3.977364419E-01 -2.544291496E-02 -3.111002746E-01 -3.206418134E-03 -9.071872061E-05 -5.721892473E-03  6.561124008E-03 -2.985453567E-04 -3.111002746E-01 -2.544291496E-02 -3.977364419E-01 
        18  3.977364419E-01 -2.544291496E-02 -3.111002746E-01 -3.303443431E-03  5.537418213E-05  5.821920682E-03  6.699167932E-03  1.164215021E-03 -3.111002746E-01 -2.544291496E-02  3.977364419E-01 
        19 -3.898446467E-01  9.954414546E-03 -3.109132648E-01 -2.174283363E-03  4.093877520E-04 -3.891403843E-03  4.482855575E-03 -6.252618961E-03 -3.109132648E-01  9.954414546E-03 -3.898446467E-01 
        20  3.898446467E-01  9.954414546E-03 -3.109132648E-01 -2.081576502E-03 -1.084337641E-04  3.581158659E-03  4.147435438E-03 -1.020091049E-02 -3.109132648E-01  9.954414546E-03  3.898446467E-01 
        21 -3.901622232E-01 -1.389665431E-02 -3.103632062E-01 -2.457213556E-03  1.746972662E-04 -4.181753043E-03  4.856605920E-03 -5.304282298E-03 -3.103632062E-01 -1.389665431E-02 -3.901622232E-01 
        22  3.901622232E-01 -1.389665431E-02 -3.103632062E-01 -2.380883900E-03  2.264420469E-05  4.115346283E-03  4.755507754E-03 -5.346490052E-03 -3.103632062E-01 -1.389665431E-02  3.901622232E-01 
        23 -3.984635027E-01  2.916181316E-02 -3.098409683E-01 -2.474230085E-03  1.426806816E-04 -4.486879432E-03  5.127820412E-03 -5.057288531E-03 -3.098409683E-01  2.916181316E-02 -3.984635027E-01 
        24  3.984635027E-01  2.916181316E-02 -3.098409683E-01 -2.503421394E-03  2.291917433E-04  4.582143348E-03  5.227583493E-03 -8.310040460E-03 -3.098409683E-01  2.916181316E-02  3.984635027E-01 
        25 -3.905842569E-01  1.779950249E-02 -3.096322224E-01 -2.250866302E-03  4.445105992E-04 -4.115247922E-03  4.716208907E-03 -7.276419288E-03 -3.096322224E-01  1.779950249E-02 -3.905842569E-01 
