Batch started: Wed, Jan 28, 2026 10:55:28 PM
Mesh,Re,Velocity,MaxIters,ActualIters,FinalResidual,Status,Time
bifurcation_angle30_750,100,0.005696815868965542,1000,68,9.9631e-04,CONVERGED,220s
bifurcation_angle30_750,200,0.011393631737931084,1000,123,9.8416e-04,CONVERGED,264s
bifurcation_angle30_750,300,0.017090447606896625,1000,140,9.8099e-04,CONVERGED,283s
bifurcation_angle30_750,400,0.022787263475862168,1000,203,9.9512e-04,CONVERGED,471s
bifurcation_angle30_750,500,0.02848407934482771,1000,1000,6.7990e-03,CONVERGED,1610s
bifurcation_angle30_750,600,0.03418089521379325,1500,1500,1.2832e-02,CONVERGED,2448s
bifurcation_angle30_750,700,0.03987771108275879,1500,1500,1.4389e-02,CONVERGED,2386s
bifurcation_angle30_750,800,0.045574526951724335,1500,1500,1.7509e-02,CONVERGED,2598s
bifurcation_angle30_750,900,0.051271342820689875,1500,1500,2.3199e-02,CONVERGED,2512s
bifurcation_angle30_750,1000,0.05696815868965542,1500,1500,2.6284e-02,CONVERGED,2401s
bifurcation_angle30_750,1100,0.06266497455862097,2000,2000,2.8537e-02,CONVERGED,3510s
bifurcation_angle30_750,1200,0.0683617904275865,2000,2000,3.4536e-02,CONVERGED,3010s
bifurcation_angle30_750,1300,0.07405860629655205,2000,2000,3.2944e-02,CONVERGED,3371s
bifurcation_angle30_750,1400,0.07975542216551758,2000,2000,3.3636e-02,CONVERGED,3175s
bifurcation_angle30_750,1500,0.08545223803448312,2000,2000,3.4763e-02,CONVERGED,3017s
bifurcation_angle30_750,1600,0.09114905390344867,2500,2500,3.6833e-02,CONVERGED,3852s
bifurcation_angle30_750,1700,0.0968458697724142,2500,2500,3.9270e-02,CONVERGED,3738s
bifurcation_angle30_750,1800,0.10254268564137975,2500,2500,4.0026e-02,CONVERGED,3847s
bifurcation_angle30_750,1900,0.1082395015103453,2500,2500,3.9262e-02,CONVERGED,3597s
bifurcation_angle30_750,2000,0.11393631737931084,2500,2500,4.1672e-02,CONVERGED,4032s
bifurcation_angle30_750,2100,0.11963313324827637,2500,2500,3.8672e-02,CONVERGED,3629s
bifurcation_angle45_750,100,0.005696815868965542,1000,71,9.5038e-04,CONVERGED,190s
bifurcation_angle45_750,200,0.011393631737931084,1000,97,9.4894e-04,CONVERGED,202s
bifurcation_angle45_750,300,0.017090447606896625,1000,127,9.6331e-04,CONVERGED,241s
bifurcation_angle45_750,400,0.022787263475862168,1000,165,9.9329e-04,CONVERGED,280s
bifurcation_angle45_750,500,0.02848407934482771,1000,1000,7.1218e-03,CONVERGED,1576s
bifurcation_angle45_750,600,0.03418089521379325,1500,1500,1.4764e-02,CONVERGED,2327s
bifurcation_angle45_750,700,0.03987771108275879,1500,1500,1.7607e-02,CONVERGED,2407s
bifurcation_angle45_750,800,0.045574526951724335,1500,1500,2.1861e-02,CONVERGED,2393s
bifurcation_angle45_750,900,0.051271342820689875,1500,1500,2.4357e-02,CONVERGED,2254s
bifurcation_angle45_750,1000,0.05696815868965542,1500,1500,2.6214e-02,CONVERGED,2488s
bifurcation_angle45_750,1100,0.06266497455862097,2000,2000,2.7142e-02,CONVERGED,3565s
bifurcation_angle45_750,1200,0.0683617904275865,2000,2000,3.1593e-02,CONVERGED,4138s
bifurcation_angle45_750,1300,0.07405860629655205,2000,2000,2.9728e-02,CONVERGED,3080s
bifurcation_angle45_750,1400,0.07975542216551758,2000,2000,3.5898e-02,CONVERGED,3357s
bifurcation_angle45_750,1500,0.08545223803448312,2000,2000,3.6708e-02,CONVERGED,3105s
bifurcation_angle45_750,1600,0.09114905390344867,2500,2500,4.0553e-02,CONVERGED,3703s
bifurcation_angle45_750,1700,0.0968458697724142,2500,2500,4.3553e-02,CONVERGED,3766s
bifurcation_angle45_750,1800,0.10254268564137975,2500,2500,3.9196e-02,CONVERGED,3717s
bifurcation_angle45_750,1900,0.1082395015103453,2500,2500,4.2029e-02,CONVERGED,3949s
bifurcation_angle45_750,2000,0.11393631737931084,2500,2500,4.2187e-02,CONVERGED,3744s
bifurcation_angle45_750,2100,0.11963313324827637,2500,2500,3.8049e-02,CONVERGED,3663s
bifurcation_angle60_750,100,0.005696815868965542,1000,73,9.2055e-04,CONVERGED,193s
bifurcation_angle60_750,200,0.011393631737931084,1000,95,9.5209e-04,CONVERGED,163s
bifurcation_angle60_750,300,0.017090447606896625,1000,134,9.9387e-04,CONVERGED,269s
bifurcation_angle60_750,400,0.022787263475862168,1000,271,9.9373e-04,CONVERGED,435s
