nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1 -1.850711129E-01 -1.996539108E-03 -4.704994123E-01 -4.322353838E-02 -5.127987743E-04 -2.524421639E-02  5.006360551E-02  5.829131636E-03 -4.704994123E-01 -1.996539108E-03 -1.850711129E-01 
         2  1.850711129E-01 -1.996539108E-03 -4.704994123E-01 -4.142546390E-02  4.925697353E-04  2.421195785E-02  4.799214694E-02  1.072442766E-02 -4.704994123E-01 -1.996539108E-03  1.850711129E-01 
         3 -1.852551609E-01  5.983957916E-03 -4.703931522E-01 -5.073096077E-02 -3.271125323E-04 -2.950981346E-02  5.869824158E-02  8.229222331E-02 -4.703931522E-01  5.983957916E-03 -1.852551609E-01 
         4  1.852551609E-01  5.983957916E-03 -4.703931522E-01 -4.151075939E-02 -1.604034189E-04  2.422341319E-02  4.807085031E-02  5.531055894E-02 -4.703931522E-01  5.983957916E-03  1.852551609E-01 
         5 -1.856227352E-01 -9.954414546E-03 -4.701809331E-01 -3.954685041E-02  2.190263637E-04 -2.309682093E-02  4.580644720E-02  4.654225697E-02 -4.701809331E-01 -9.954414546E-03 -1.856227352E-01 
         6  1.856227352E-01 -9.954414546E-03 -4.701809331E-01 -4.780626488E-02  2.755207358E-04  2.791324998E-02  5.537198805E-02 -2.252956588E-02 -4.701809331E-01 -9.954414546E-03  1.856227352E-01 
         7 -1.861727938E-01  1.389665431E-02 -4.698633566E-01 -4.688865295E-02  6.459064792E-04 -2.751259047E-02  5.438280180E-02  6.892098728E-02 -4.698633566E-01  1.389665431E-02 -1.861727938E-01 
         8  1.861727938E-01  1.389665431E-02 -4.698633566E-01 -3.969773066E-02  3.588574986E-04  2.342200449E-02  4.610611467E-02  3.724473452E-02 -4.698633566E-01  1.389665431E-02  1.861727938E-01 
         9 -1.869037776E-01 -1.779950249E-02 -4.694413229E-01 -5.087141744E-02 -1.004846213E-04 -2.963043756E-02  5.888037888E-02  5.467877537E-02 -4.694413229E-01 -1.779950249E-02 -1.869037776E-01 
        10  1.869037776E-01 -1.779950249E-02 -4.694413229E-01 -5.076254171E-02  8.602048440E-04  2.944269267E-02  5.870083720E-02  8.022355419E-02 -4.694413229E-01 -1.779950249E-02  1.869037776E-01 
        11 -1.878136144E-01  2.165189605E-02 -4.689160283E-01 -3.357339601E-02  9.158767167E-04 -1.994927982E-02  3.907574610E-02  5.925280529E-02 -4.689160283E-01  2.165189605E-02 -1.878136144E-01 
        12  1.878136144E-01  2.165189605E-02 -4.689160283E-01 -3.535990458E-02  2.572530079E-04  2.079133894E-02  4.103981268E-02  5.193802294E-02 -4.689160283E-01  2.165189605E-02  1.878136144E-01 
