cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  9.327022831E-16  9.871795177E-01  6.202927807E-07  3.463895837E-14  6.202927807E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.020026161E-06  9.872229099E-01  1.219300274E-02 
         2  8.540176868E-16  9.615384340E-01  2.504902739E-07 -0.000000000E+00  2.504902739E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.833219916E-07  9.616132975E-01  1.218760852E-02 
         3  8.312439355E-16  9.358974695E-01  1.952177229E-07 -0.000000000E+00  1.952177229E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.383276237E-07  9.360156059E-01  1.215838827E-02 
         4  8.084700783E-16  9.102563858E-01  1.457595005E-07 -0.000000000E+00  1.457595005E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.265763612E-07  9.104097486E-01  1.217584498E-02 
         5  7.856963269E-16  8.846154213E-01  1.131475855E-07 -0.000000000E+00  1.131475855E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.680757435E-07  8.847913742E-01  1.220678724E-02 
         6  7.629224697E-16  8.589743376E-01  9.098091880E-08 -0.000000000E+00  9.098091880E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.293472280E-07  8.591540456E-01  1.222963724E-02 
         7  7.401487184E-16  8.333333731E-01  7.519912515E-08 -0.000000000E+00  7.519912515E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.042872029E-07  8.335400820E-01  1.226854883E-02 
         8  7.173748612E-16  8.076922894E-01  6.421262100E-08 -0.000000000E+00  6.421262100E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -8.653722716E-08  8.079108000E-01  1.228155475E-02 
         9  6.946011098E-16  7.820513248E-01  5.605370390E-08 -0.000000000E+00  5.605370390E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -7.334632102E-08  7.822741866E-01  1.228952408E-02 
        10  6.718272526E-16  7.564102411E-01  4.989086477E-08 -0.000000000E+00  4.989086477E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.296490795E-08  7.566472888E-01  1.231461950E-02 
        11  6.490535013E-16  7.307692766E-01  4.504815010E-08 -0.000000000E+00  4.504815010E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.446680618E-08  7.310187221E-01  1.233126502E-02 
        12  6.262796441E-16  7.051281929E-01  4.112727581E-08 -0.000000000E+00  4.112727581E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.725106706E-08  7.053800821E-01  1.234335452E-02 
        13  6.035058927E-16  6.794872284E-01  3.783337732E-08 -0.000000000E+00  3.783337732E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.097886119E-08  6.797527075E-01  1.236444712E-02 
        14  5.807320355E-16  6.538461447E-01  3.498034573E-08 -0.000000000E+00  3.498034573E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.540579030E-08  6.541167498E-01  1.237084065E-02 
        15  5.579582842E-16  6.282051802E-01  3.242528024E-08 -0.000000000E+00  3.242528024E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.039345842E-08  6.284769773E-01  1.237528957E-02 
        16  5.351844270E-16  6.025640965E-01  3.007700045E-08  1.353084311E-16  3.007700045E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.585319869E-08  6.028419137E-01  1.238240674E-02 
        17  5.124106756E-16  5.769231319E-01  2.787203357E-08 -0.000000000E+00  2.787203357E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.172220093E-08  5.772025585E-01  1.238395181E-02 
        18  4.896368184E-16  5.512820482E-01  2.576555147E-08 -0.000000000E+00  2.576555325E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.796560056E-08  5.515624285E-01  1.238467637E-02 
        19  4.668630671E-16  5.256410837E-01  2.372903474E-08 -1.353084311E-16  2.372903474E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.455975340E-08  5.259208679E-01  1.238879375E-02 
        20  4.440892099E-16  5.000000000E-01  2.174636293E-08 -0.000000000E+00  2.174636293E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.149050455E-08  5.002790093E-01  1.239034720E-02 
        21  4.213154056E-16  4.743589759E-01  1.980935060E-08 -0.000000000E+00  1.980935060E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -8.747071512E-09  4.746357501E-01  1.239291858E-02 
        22  3.985416013E-16  4.487179518E-01  1.791256210E-08 -0.000000000E+00  1.791256210E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.320054258E-09  4.489818513E-01  1.240013726E-02 
        23  3.757677970E-16  4.230769277E-01  1.606216138E-08 -0.000000000E+00  1.606216138E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.207076021E-09  4.233300090E-01  1.239841525E-02 
        24  3.529939927E-16  3.974359035E-01  1.425793972E-08 -0.000000000E+00  1.425793972E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.396279619E-09  3.976769447E-01  1.240408048E-02 
        25  3.302201885E-16  3.717948794E-01  1.251367898E-08 -0.000000000E+00  1.251367898E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -8.860631673E-10  3.720420897E-01  1.239480730E-02 
        26  3.074463842E-16  3.461538553E-01  1.083201351E-08 -0.000000000E+00  1.083201351E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.429887485E-10  3.464167118E-01  1.239781547E-02 
        27  2.846725799E-16  3.205128312E-01  9.227401954E-09 -0.000000000E+00  9.227401954E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.295113350E-09  3.207926452E-01  1.239026338E-02 
        28  2.618987756E-16  2.948718071E-01  7.703892635E-09 -0.000000000E+00  7.703892635E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.994492571E-09  2.951543927E-01  1.239590906E-02 
        29  2.391249714E-16  2.692307830E-01  6.298650490E-09 -0.000000000E+00  6.298650934E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.453705905E-09  2.694991231E-01  1.238984242E-02 
        30  2.163511671E-16  2.435897589E-01  4.963144118E-09 -0.000000000E+00  4.963144118E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.711930458E-09  2.438452244E-01  1.239247900E-02 
