cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.303188223E-02  5.000000000E-01  2.160881741E-05  2.160062286E-05 -5.950853392E-07 -1.653335602E-08  4.998034239E-01  1.303188223E-02 
         2  3.909594938E-02  5.000000000E-01  5.882533151E-05  5.866775246E-05 -4.302850357E-06 -1.730454358E-08  4.994119108E-01  3.909567371E-02 
         3  6.516017020E-02  5.000000000E-01  9.040923760E-05  8.984156739E-05 -1.011551376E-05 -1.902058067E-08  4.990171492E-01  6.515941024E-02 
         4  9.122718871E-02  5.000000000E-01  1.170470205E-04  1.156104554E-04 -1.828187305E-05 -2.036353486E-08  4.988420904E-01  9.122629464E-02 
         5  1.172956303E-01  5.000000000E-01  1.393565763E-04  1.365316857E-04 -2.791690895E-05 -2.162954615E-08  4.988792539E-01  1.172890142E-01 
         6  1.433641315E-01  5.000000000E-01  1.579160307E-04  1.530961890E-04 -3.871730951E-05 -2.272855504E-08  4.989281893E-01  1.433663070E-01 
         7  1.695892513E-01  5.000000000E-01  1.733804384E-04  1.659288682E-04 -5.028310625E-05 -2.380873099E-08  4.990276098E-01  1.695912182E-01 
         8  1.959692091E-01  5.000000000E-01  1.862201898E-04  1.754858531E-04 -6.231108273E-05 -2.489163720E-08  4.991825521E-01  1.959686428E-01 
         9  2.223492116E-01  5.000000000E-01  1.967834833E-04  1.821521291E-04 -7.446036034E-05 -2.603437288E-08  4.993391931E-01  2.223508209E-01 
        10  2.488133907E-01  5.000000000E-01  2.054492943E-04  1.863232756E-04 -8.656240971E-05 -2.725777826E-08  4.994526505E-01  2.488147318E-01 
        11  2.753643095E-01  5.000000000E-01  2.124459716E-04  1.882523502E-04 -9.845985915E-05 -2.859811055E-08  4.995485544E-01  2.753454447E-01 
        12  3.019148111E-01  5.000000000E-01  2.181395830E-04  1.883463119E-04 -1.100479276E-04 -3.006717364E-08  4.995948076E-01  3.019108176E-01 
        13  3.286183774E-01  5.000000000E-01  2.226177457E-04  1.866656967E-04 -1.213036448E-04 -3.166991647E-08  4.996015131E-01  3.286144435E-01 
