cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.584313750E+00  1.000000000E+00 -0.000000000E+00 -1.728927828E-06  1.728927828E-06  2.110098256E-03  0.000000000E+00  2.110098256E-03  5.562247225E-06  9.848746061E-01  1.584316730E+00 
         2  1.552941203E+00  1.000000000E+00 -0.000000000E+00 -1.332368129E-06  1.332368129E-06  2.110098256E-03  0.000000000E+00  2.110098256E-03  3.356549314E-06  9.849050641E-01  1.552927732E+00 
         3  1.521568656E+00  1.000000000E+00 -0.000000000E+00 -8.011328418E-07  8.011328418E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  2.434170028E-06  9.849311113E-01  1.521558166E+00 
         4  1.490196109E+00  1.000000000E+00 -7.077671358E-15 -6.523910088E-07  6.523909519E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  1.682677748E-06  9.848955274E-01  1.490123510E+00 
         5  1.458823562E+00  1.000000000E+00 -0.000000000E+00 -5.151937330E-07  5.151937330E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  1.243972861E-06  9.848458171E-01  1.458745599E+00 
         6  1.427451015E+00  1.000000000E+00 -0.000000000E+00 -4.443118087E-07  4.443118087E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  8.865693530E-07  9.847797155E-01  1.427327514E+00 
         7  1.396078467E+00  1.000000000E+00 -0.000000000E+00 -3.828629360E-07  3.828629076E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  6.216691304E-07  9.846941829E-01  1.395942569E+00 
         8  1.364705920E+00  1.000000000E+00 -0.000000000E+00 -3.394845862E-07  3.394845862E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  4.032494019E-07  9.846543670E-01  1.364588857E+00 
         9  1.333333373E+00  1.000000000E+00 -0.000000000E+00 -3.020770691E-07  3.020770691E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  2.260114655E-07  9.846186042E-01  1.333209515E+00 
        10  1.301960826E+00  1.000000000E+00 -0.000000000E+00 -2.724830210E-07  2.724830210E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  7.893345355E-08  9.845676422E-01  1.301858783E+00 
        11  1.270588279E+00  1.000000000E+00 -0.000000000E+00 -2.475410383E-07  2.475410383E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -4.096650130E-08  9.845514297E-01  1.270498514E+00 
        12  1.239215732E+00  1.000000000E+00 -0.000000000E+00 -2.270746791E-07  2.270746933E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -1.390700817E-07  9.845402837E-01  1.239128947E+00 
        13  1.207843184E+00  1.000000000E+00 -0.000000000E+00 -2.102046892E-07  2.102046892E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -2.175378171E-07  9.845163822E-01  1.207767487E+00 
        14  1.176470637E+00  1.000000000E+00 -0.000000000E+00 -1.966682248E-07  1.966682390E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -2.787416520E-07  9.845075011E-01  1.176399469E+00 
        15  1.145098090E+00  1.000000000E+00 -0.000000000E+00 -1.858752512E-07  1.858752512E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.250589771E-07  9.844996929E-01  1.145025730E+00 
        16  1.113725543E+00  1.000000000E+00 -0.000000000E+00 -1.777357284E-07  1.777357284E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.579922065E-07  9.845013618E-01  1.113663912E+00 
        17  1.082352996E+00  1.000000000E+00 -0.000000000E+00 -1.718569820E-07  1.718569820E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.786439891E-07  9.845100045E-01  1.082291126E+00 
        18  1.050980449E+00  1.000000000E+00 -0.000000000E+00 -1.687321856E-07  1.687321856E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.886582363E-07  9.845204949E-01  1.050924659E+00 
        19  1.019607902E+00  1.000000000E+00 -0.000000000E+00 -1.673383849E-07  1.673383849E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.892581901E-07  9.845181704E-01  1.019550085E+00 
        20  9.882353544E-01  1.000000000E+00 -0.000000000E+00 -1.679711659E-07  1.679711659E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.821116934E-07  9.845057726E-01  9.881836772E-01 
        21  9.568627477E-01  1.000000000E+00 -0.000000000E+00 -1.702048849E-07  1.702048991E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.681938097E-07  9.844948053E-01  9.568093419E-01 
        22  9.254902005E-01  1.000000000E+00 -0.000000000E+00 -1.744012934E-07  1.744013076E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.483489479E-07  9.844790697E-01  9.254449606E-01 
        23  8.941176534E-01  1.000000000E+00 -0.000000000E+00 -1.801993221E-07  1.801993221E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.234533779E-07  9.844734073E-01  8.940774798E-01 
        24  8.627451062E-01  1.000000000E+00 -0.000000000E+00 -1.875225735E-07  1.875225735E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -2.948721658E-07  9.844701290E-01  8.627069592E-01 
        25  8.313725591E-01  1.000000000E+00 -0.000000000E+00 -1.963298928E-07  1.963298928E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -2.634444058E-07  9.844661951E-01  8.313415647E-01 
        26  8.000000119E-01  1.000000000E+00 -0.000000000E+00 -2.064100499E-07  2.064100499E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -2.301441953E-07  9.844667315E-01  7.999703288E-01 
        27  7.686274648E-01  1.000000000E+00 -0.000000000E+00 -2.177600891E-07  2.177600891E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -1.959387106E-07  9.844684005E-01  7.685998678E-01 
        28  7.372549176E-01  1.000000000E+00 -0.000000000E+00 -2.301612767E-07  2.301612767E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -1.616878222E-07  9.844665527E-01  7.372266650E-01 
        29  7.058823705E-01  1.000000000E+00 -0.000000000E+00 -2.436395334E-07  2.436395334E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -1.281680682E-07  9.844650030E-01  7.058534622E-01 
        30  6.745098233E-01  1.000000000E+00 -0.000000000E+00 -2.578988187E-07  2.578988187E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -9.632388043E-08  9.844625592E-01  6.744789481E-01 
        31  6.431372762E-01  1.000000000E+00 -0.000000000E+00 -2.731794666E-07  2.731794666E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -6.643757899E-08  9.844742417E-01  6.431144476E-01 
        32  6.117647290E-01  1.000000000E+00 -0.000000000E+00 -2.889678399E-07  2.889678399E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.934174586E-08  9.844843149E-01  6.117427349E-01 
        33  5.803921819E-01  1.000000000E+00 -0.000000000E+00 -3.059194569E-07  3.059194569E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -1.509609682E-08  9.844975471E-01  5.803788304E-01 
        34  5.490196347E-01  1.000000000E+00 -0.000000000E+00 -3.231841674E-07  3.231841674E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  5.516953561E-09  9.844924212E-01  5.490046740E-01 
        35  5.176470876E-01  1.000000000E+00 -0.000000000E+00 -3.417355856E-07  3.417355856E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  2.251790221E-08  9.844751954E-01  5.176406503E-01 
        36  4.862745404E-01  1.000000000E+00 -0.000000000E+00 -3.608151928E-07  3.608151644E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  3.585729047E-08  9.844599366E-01  4.862656891E-01 
        37  4.549019635E-01  1.000000000E+00 -0.000000000E+00 -3.814927823E-07  3.814927538E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  4.541587728E-08  9.844447374E-01  4.549037516E-01 
        38  4.235294163E-01  1.000000000E+00 -0.000000000E+00 -4.034741323E-07  4.034741323E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  5.188779539E-08  9.844456911E-01  4.235323071E-01 
        39  3.921568692E-01  1.000000000E+00 -0.000000000E+00 -4.281978363E-07  4.281978363E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  5.449810558E-08  9.844477177E-01  3.921618760E-01 
        40  3.607843220E-01  1.000000000E+00 -0.000000000E+00 -4.553887720E-07  4.553887720E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  5.288537608E-08  9.844493866E-01  3.607941866E-01 
        41  3.294117749E-01  1.000000000E+00 -0.000000000E+00 -4.863477443E-07  4.863477443E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  4.799515096E-08  9.844474792E-01  3.294257820E-01 
        42  2.980392277E-01  1.000000000E+00 -0.000000000E+00 -5.224771940E-07  5.224771940E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  3.979315366E-08  9.844481945E-01  2.980569899E-01 
        43  2.666666806E-01  1.000000000E+00 -0.000000000E+00 -5.658396276E-07  5.658396276E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  2.756468831E-08  9.844443798E-01  2.666846812E-01 
        44  2.352941334E-01  1.000000000E+00 -0.000000000E+00 -6.193549780E-07  6.193549780E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03  1.066504129E-08  9.844449759E-01  2.353086621E-01 
        45  2.039215714E-01  1.000000000E+00 -0.000000000E+00 -6.866068816E-07  6.866068816E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -1.403864847E-08  9.844430685E-01  2.039321810E-01 
        46  1.725490242E-01  1.000000000E+00 -0.000000000E+00 -7.758472975E-07  7.758473544E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -4.899226269E-08  9.844861627E-01  1.725814193E-01 
        47  1.411764771E-01  1.000000000E+00 -0.000000000E+00 -8.946418575E-07  8.946418575E-07  2.110098256E-03  0.000000000E+00  2.110098256E-03 -1.075416733E-07  9.845206141E-01  1.412082314E-01 
        48  1.098039299E-01  1.000000000E+00 -0.000000000E+00 -1.062303681E-06  1.062303681E-06  2.110098256E-03  0.000000000E+00  2.110098256E-03 -2.025608978E-07  9.845631123E-01  1.098610163E-01 
        49  7.843137532E-02  1.000000000E+00 -0.000000000E+00 -1.297976610E-06  1.297976610E-06  2.110098256E-03  0.000000000E+00  2.110098256E-03 -3.721028179E-07  9.846556783E-01  7.849506289E-02 
        50  4.705882818E-02  1.000000000E+00 -0.000000000E+00 -1.688396878E-06  1.688396878E-06  2.110098256E-03  0.000000000E+00  2.110098256E-03 -6.914484629E-07  9.847230315E-01  4.708702117E-02 
