cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  8.000000119E-01  9.844667315E-01  5.621978198E-04  2.594193802E-07  5.621977616E-04 -9.479111718E-09  9.844667315E-01  7.999703288E-01 
         2  8.000000119E-01  9.534001350E-01  4.817931913E-04  2.022537046E-06  4.817889421E-04 -1.008176476E-08  9.534013271E-01  7.999117970E-01 
         3  8.000000119E-01  9.223335981E-01  4.045237438E-04  5.095634151E-06  4.044916714E-04 -1.123109339E-08  9.223336577E-01  7.998517156E-01 
         4  8.000000119E-01  8.914797306E-01  3.326771548E-04  9.498513464E-06  3.325415310E-04 -1.235783476E-08  8.914797306E-01  7.998006940E-01 
         5  8.000000119E-01  8.608386517E-01  2.671580005E-04  1.468844039E-05  2.667538938E-04 -1.348765721E-08  8.608360887E-01  7.997545004E-01 
         6  8.000000119E-01  8.301975727E-01  2.080509294E-04  2.036474507E-05  2.070518385E-04 -1.447532760E-08  8.301972747E-01  7.997152209E-01 
         7  8.000000119E-01  7.995721102E-01  1.556111820E-04  2.611420496E-05  1.534043258E-04 -1.527514470E-08  7.995718122E-01  7.996906042E-01 
         8  8.000000119E-01  7.689622641E-01  1.101205416E-04  3.163417205E-05  1.054789682E-04 -1.581638109E-08  7.689598203E-01  7.996861935E-01 
         9  8.000000119E-01  7.383524179E-01  7.269404159E-05  3.665450276E-05  6.277635839E-05 -1.605740430E-08  7.383524179E-01  7.996775508E-01 
        10  8.000000119E-01  7.079738379E-01  4.802998592E-05  4.096864359E-05  2.506890451E-05 -1.595933874E-08  7.079737782E-01  7.996802330E-01 
        11  8.000000119E-01  6.778264046E-01  4.523091411E-05  4.446959065E-05 -8.263833479E-06 -1.551823914E-08  6.778230071E-01  7.996918559E-01 
        12  8.000000119E-01  6.476789713E-01  6.048123760E-05  4.712759255E-05 -3.790738629E-05 -1.474641120E-08  6.476788521E-01  7.997040153E-01 
        13  8.000000119E-01  6.178362966E-01  8.050900942E-05  4.891924254E-05 -6.394222146E-05 -1.367174907E-08  6.178361773E-01  7.996699214E-01 
        14  8.000000119E-01  5.882991552E-01  1.000428747E-04  4.987725697E-05 -8.672274998E-05 -1.231705404E-08  5.882999897E-01  7.995810509E-01 
        15  8.000000119E-01  5.587620735E-01  1.178457751E-04  5.006406354E-05 -1.066827826E-04 -1.070756461E-08  5.587604046E-01  7.995096445E-01 
        16  8.000000119E-01  5.292756557E-01  1.334336557E-04  4.950577204E-05 -1.239101257E-04 -8.908160432E-09  5.292740464E-01  7.995373607E-01 
        17  8.000000119E-01  4.998406470E-01  1.466884569E-04  4.828431702E-05 -1.385139913E-04 -6.960363397E-09  4.998385012E-01  7.996647954E-01 
        18  8.000000119E-01  4.704054594E-01  1.575865317E-04  4.649908078E-05 -1.505700784E-04 -4.919296082E-09  4.704042375E-01  7.998085618E-01 
        19  8.000000119E-01  4.408861995E-01  1.661293209E-04  4.423527935E-05 -1.601317927E-04 -2.833530521E-09  4.408856034E-01  7.999020815E-01 
        20  8.000000715E-01  4.112834334E-01  1.722807938E-04  4.157836884E-05 -1.671882492E-04 -7.651061451E-10  4.112899899E-01  7.999644876E-01 
        21  8.000000715E-01  3.816807568E-01  1.760170417E-04  3.858289710E-05 -1.717363048E-04  1.249979564E-09  3.816807568E-01  8.000048995E-01 
        22  8.000000119E-01  3.518751860E-01  1.773145050E-04  3.531774564E-05 -1.737615821E-04  3.136345406E-09  3.518753052E-01  8.000466824E-01 
        23  8.000000119E-01  3.218663931E-01  1.761882450E-04  3.182777436E-05 -1.732896199E-04  4.876674176E-09  3.218673468E-01  8.000652194E-01 
        24  8.000000119E-01  2.917754948E-01  1.725661277E-04  2.819177644E-05 -1.702477311E-04  6.420683984E-09  2.917751074E-01  8.001415730E-01 
        25  8.000000715E-01  2.614532411E-01  1.663873845E-04  2.443300036E-05 -1.645836892E-04  7.723991224E-09  2.614541948E-01  8.001211286E-01 
        26  8.000000715E-01  2.308998555E-01  1.575744100E-04  2.061820123E-05 -1.562196703E-04  8.809720953E-09  2.309017330E-01  8.001992106E-01 
        27  8.000000119E-01  2.002645731E-01  1.460744970E-04  1.681401773E-05 -1.451035787E-04  9.625570563E-09  2.002653480E-01  8.002293706E-01 
        28  8.000000119E-01  1.696539223E-01  1.318797440E-04  1.312123368E-05 -1.312253735E-04  1.017513629E-08  1.696547270E-01  8.002421260E-01 
        29  8.000000119E-01  1.390685141E-01  1.149341333E-04  9.613737348E-06 -1.145313581E-04  1.047164488E-08  1.390680671E-01  8.002330661E-01 
        30  8.000000119E-01  1.084830761E-01  9.515380953E-05  6.429075711E-06 -9.493637481E-05  1.051181808E-08  1.084832773E-01  8.002113700E-01 
        31  8.000000119E-01  7.765851170E-02  7.225542504E-05  3.646364348E-06 -7.216336235E-05  1.034920594E-08  7.765867561E-02  8.001697659E-01 
        32  8.000000119E-01  4.659514129E-02  4.603832713E-05  1.589672706E-06 -4.601087494E-05  9.934025158E-09  4.659349471E-02  8.001044393E-01 
        33  8.000000119E-01  1.553173549E-02  1.650353079E-05  2.275514106E-07 -1.650196100E-05  9.727313177E-09  1.553173549E-02  8.000339270E-01 
