nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
         1  8.499999642E-01  0.000000000E+00  1.575784481E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  8.499999642E-01 
         2  8.500000238E-01  7.751937956E-03  1.576755082E-08  6.330076758E-06  1.456496879E-08 -6.330057658E-06  7.751937956E-03  8.500000238E-01 
         3  8.499999642E-01  1.550387591E-02  1.579636333E-08  1.234820593E-05  4.380784802E-08 -1.234812134E-05  1.550387591E-02  8.499999642E-01 
         4  8.499999642E-01  2.325581387E-02  1.583085130E-08  1.807150329E-05  8.857080047E-08 -1.807126864E-05  2.325581387E-02  8.499999642E-01 
         5  8.499999642E-01  3.100775182E-02  1.585952880E-08  2.351800140E-05  1.482656842E-07 -2.351750481E-05  3.100775182E-02  8.499999642E-01 
         6  8.499999642E-01  3.875968978E-02  1.588303711E-08  2.870476601E-05  2.206902252E-07 -2.870386561E-05  3.875968978E-02  8.499999642E-01 
         7  8.499999642E-01  4.651162773E-02  1.590061771E-08  3.364823351E-05  3.045830397E-07 -3.364676741E-05  4.651162773E-02  8.499999642E-01 
         8  8.499999642E-01  5.426356569E-02  1.591225818E-08  3.836411270E-05  3.985844046E-07 -3.836191172E-05  5.426356569E-02  8.499999642E-01 
         9  8.499999642E-01  6.201550364E-02  1.591756948E-08  4.286754120E-05  5.016593150E-07 -4.286442345E-05  6.201550364E-02  8.499999642E-01 
        10  8.499999642E-01  6.976743788E-02  1.591623544E-08  4.717304910E-05  6.129054100E-07 -4.716881085E-05  6.976744533E-02  8.499999642E-01 
        11  8.499999642E-01  7.751937956E-02  1.590788301E-08  5.129466808E-05  7.316209008E-07 -5.128911289E-05  7.751937956E-02  8.499999642E-01 
        12  8.499999642E-01  8.527131379E-02  1.589211251E-08  5.524593143E-05  8.572705497E-07 -5.523884465E-05  8.527132124E-02  8.499999642E-01 
        13  8.499999642E-01  9.302325547E-02  1.586850473E-08  5.903993224E-05  9.894896493E-07 -5.903108104E-05  9.302325547E-02  8.499999642E-01 
        14  8.499999642E-01  1.007751897E-01  1.583660314E-08  6.268933794E-05  1.128075382E-06 -6.267848948E-05  1.007751971E-01  8.499999642E-01 
        15  8.499999642E-01  1.085271314E-01  1.579592990E-08  6.620644854E-05  1.272981990E-06 -6.619335909E-05  1.085271314E-01  8.499999642E-01 
        16  8.499999642E-01  1.162790656E-01  1.574597697E-08  6.960317842E-05  1.424318839E-06 -6.958757149E-05  1.162790731E-01  8.499999642E-01 
        17  8.499999642E-01  1.240310073E-01  1.568620434E-08  7.289110363E-05  1.582341838E-06 -7.287268818E-05  1.240310073E-01  8.499999642E-01 
        18  8.499999642E-01  1.317829490E-01  1.561605956E-08  7.608146552E-05  1.747453553E-06 -7.605994324E-05  1.317829490E-01  8.499999642E-01 
