cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.389565039E-02  1.000000000E+00  6.634564897E-08  6.592947699E-08 -7.419487247E-09  1.095319391E-10  1.013870597E+00  1.389546599E-02 
         2  4.168695211E-02  1.000000000E+00  2.059834543E-07  2.030693196E-07 -3.452580799E-08  9.338751994E-11  1.013834000E+00  4.168657959E-02 
         3  6.947825104E-02  1.000000000E+00  3.488790981E-07  3.379412590E-07 -8.667359452E-08  7.674394453E-11  1.013797402E+00  6.947769225E-02 
         4  9.726954997E-02  1.000000000E+00  4.912408826E-07  4.638444295E-07 -1.617590328E-07  6.201528180E-11  1.013760924E+00  9.726880491E-02 
         5  1.250588149E-01  1.000000000E+00  6.296647257E-07  5.753234973E-07 -2.558915639E-07  4.887557026E-11  1.013730288E+00  1.250580400E-01 
         6  1.528460681E-01  1.000000000E+00  7.614122524E-07  6.680738807E-07 -3.652751559E-07  3.731148723E-11  1.013705492E+00  1.528456062E-01 
         7  1.806333065E-01  1.000000000E+00  8.843919659E-07  7.389447774E-07 -4.859113005E-07  2.730971005E-11  1.013680696E+00  1.806331873E-01 
         8  2.084205449E-01  9.999999404E-01  9.970934798E-07  7.858488971E-07 -6.137075275E-07  1.880717804E-11  1.013655901E+00  2.084207535E-01 
         9  2.362048030E-01  1.000000000E+00  1.098550570E-06  8.077557823E-07 -7.445428309E-07  1.173727782E-11  1.013642788E+00  2.362052500E-01 
        10  2.639860511E-01  1.000000000E+00  1.188278134E-06  8.045521440E-07 -8.744716524E-07  6.077804926E-12  1.013641477E+00  2.639864087E-01 
        11  2.917673290E-01  1.000000000E+00  1.266186587E-06  7.769148738E-07 -9.998158248E-07  1.799449478E-12  1.013640285E+00  2.917675376E-01 
        12  3.195486069E-01  1.000000000E+00  1.332462602E-06  7.261335213E-07 -1.117222723E-06 -1.131539307E-12  1.013639092E+00  3.195486963E-01 
        13  3.473210931E-01  9.999999404E-01  1.387596058E-06  6.540452091E-07 -1.223784125E-06 -2.796873844E-12  1.013656378E+00  3.473210037E-01 
        14  3.750847876E-01  1.000000000E+00  1.432250542E-06  5.631408158E-07 -1.316895691E-06 -3.249844838E-12  1.013692260E+00  3.750845790E-01 
        15  4.028484821E-01  1.000000000E+00  1.467114544E-06  4.563968048E-07 -1.394319611E-06 -2.774669383E-12  1.013728023E+00  4.028481245E-01 
        16  4.306122065E-01  1.000000000E+00  1.492857336E-06  3.371174557E-07 -1.454295329E-06 -1.492139745E-12  1.013763905E+00  4.306116998E-01 
        17  4.583686590E-01  1.000000000E+00  1.510093512E-06  2.087854227E-07 -1.495590482E-06  4.316547120E-13  1.013808846E+00  4.583683014E-01 
        18  4.829562306E-01  1.000000000E+00  1.519250418E-06  7.488334575E-08 -1.517403803E-06  2.938094212E-12  1.013862610E+00  4.861177504E-01 
        19  4.968308806E-01  1.000000000E+00  1.340066888E-06  6.374970241E-08 -1.338549623E-06  3.184119635E-12  9.861067533E-01  4.861189127E-01 
        20  5.138671994E-01  1.000000000E+00  1.341608822E-06 -5.344541876E-08 -1.340543804E-06  4.921396624E-12  9.861602187E-01  5.138686299E-01 
        21  5.416164398E-01  1.000000000E+00  1.335582056E-06 -1.696995042E-07 -1.324757136E-06  6.830092047E-12  9.862136245E-01  5.416183472E-01 
        22  5.693724155E-01  1.000000000E+00  1.321822765E-06 -2.820649456E-07 -1.291377089E-06  8.681055874E-12  9.862567186E-01  5.693746209E-01 
        23  5.971350670E-01  1.000000000E+00  1.300136432E-06 -3.874419576E-07 -1.241065434E-06  9.939604695E-12  9.862894416E-01  5.971373320E-01 
        24  6.248977780E-01  1.000000000E+00  1.270449502E-06 -4.828140163E-07 -1.175130933E-06  1.049116349E-11  9.863221645E-01  6.249001026E-01 
        25  6.526604295E-01  1.000000000E+00  1.232497880E-06 -5.654989650E-07 -1.095108246E-06  1.030731056E-11  9.863548875E-01  6.526628733E-01 
        26  6.804367304E-01  1.000000000E+00  1.185447218E-06 -6.327674100E-07 -1.002442332E-06  9.274359059E-12  9.863669276E-01  6.804382801E-01 
        27  7.082266808E-01  1.000000000E+00  1.128302301E-06 -6.817880944E-07 -8.990167544E-07  6.679101716E-12  9.863578677E-01  7.082268596E-01 
        28  7.360165715E-01  1.000000000E+00  1.060254817E-06 -7.099654908E-07 -7.874574521E-07  2.484235040E-12  9.863487482E-01  7.360154390E-01 
        29  7.638064623E-01  1.000000000E+00  9.807595234E-07 -7.154472428E-07 -6.708386877E-07 -3.338662680E-12  9.863396883E-01  7.638040185E-01 
        30  7.915935516E-01  9.999999404E-01  8.898396118E-07 -6.973706945E-07 -5.527102758E-07 -1.077626877E-11  9.863242507E-01  7.915916443E-01 
        31  8.193776608E-01  9.999999404E-01  7.880751696E-07 -6.558625500E-07 -4.369287581E-07 -1.990319021E-11  9.863035679E-01  8.193773627E-01 
        32  8.471618295E-01  1.000000000E+00  6.766587717E-07 -5.920944659E-07 -3.275533800E-07 -3.055156128E-11  9.862828255E-01  8.471630812E-01 
        33  8.749459982E-01  1.000000000E+00  5.574705710E-07 -5.084235113E-07 -2.286458454E-07 -4.252243002E-11  9.862621427E-01  8.749487996E-01 
        34  9.027333260E-01  1.000000000E+00  4.329704382E-07 -4.083188685E-07 -1.440107553E-07 -5.563904892E-11  9.862345457E-01  9.027361274E-01 
        35  9.305237532E-01  1.000000000E+00  3.059560925E-07 -2.961123471E-07 -7.698448456E-08 -6.979394840E-11  9.861993194E-01  9.305258393E-01 
        36  9.583142996E-01  1.000000000E+00  1.795846885E-07 -1.769438853E-07 -3.068419829E-08 -8.526335193E-11  9.861640930E-01  9.583154917E-01 
        37  9.861047268E-01  1.000000000E+00  5.735747166E-08 -5.699227046E-08 -6.462236968E-09 -9.981615534E-11  9.861288667E-01  9.861052036E-01 
