cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.388888899E-02  2.000000000E+00 -0.000000000E+00 -1.462709406E-06  1.462709406E-06  1.406732132E-03  0.000000000E+00  1.406732132E-03 -1.694920911E-06  1.986110449E+00  1.388900355E-02 
         2  4.166666791E-02  2.000000000E+00 -0.000000000E+00 -1.218803391E-06  1.218803391E-06  1.406732132E-03  0.000000000E+00  1.406732132E-03 -7.084142339E-07  1.986108899E+00  4.166651890E-02 
         3  6.944444776E-02  2.000000000E+00 -1.598721155E-14 -8.999020906E-07  8.999020906E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -4.327094700E-07  1.986107469E+00  6.944403797E-02 
         4  9.722222388E-02  2.000000000E+00 -0.000000000E+00 -7.221126452E-07  7.221127021E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -2.676237898E-07  1.986106038E+00  9.722155333E-02 
         5  1.250000000E-01  2.000000000E+00 -0.000000000E+00 -5.941661811E-07  5.941661811E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -1.806685361E-07  1.986105204E+00  1.249986067E-01 
         6  1.527777910E-01  2.000000000E+00 -0.000000000E+00 -5.054687335E-07  5.054687335E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -1.270645384E-07  1.986104965E+00  1.527756155E-01 
         7  1.805555522E-01  2.000000000E+00 -0.000000000E+00 -4.390658432E-07  4.390658432E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -9.689323122E-08  1.986104727E+00  1.805526167E-01 
         8  2.083333433E-01  2.000000000E+00 -0.000000000E+00 -3.883345698E-07  3.883345698E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -7.991810946E-08  1.986104488E+00  2.083296180E-01 
         9  2.361111045E-01  2.000000000E+00 -0.000000000E+00 -3.478768349E-07  3.478768349E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -7.134995883E-08  1.986104012E+00  2.361066490E-01 
        10  2.638888955E-01  2.000000000E+00 -0.000000000E+00 -3.144695029E-07  3.144695029E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -6.908782524E-08  1.986103058E+00  2.638835013E-01 
        11  2.916666865E-01  2.000000000E+00 -1.998401444E-15 -2.859520691E-07  2.859520691E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -7.259027512E-08  1.986102223E+00  2.916603684E-01 
        12  3.194444478E-01  2.000000000E+00 -0.000000000E+00 -2.621127351E-07  2.621127351E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -7.966266224E-08  1.986101389E+00  3.194372058E-01 
        13  3.472222090E-01  2.000000000E+00 -0.000000000E+00 -2.413227094E-07  2.413227094E-07  1.406732132E-03  0.000000000E+00  1.406732132E-03 -8.920666517E-08  1.986101151E+00  3.472138047E-01 
