cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  5.000000000E-01  1.389638148E-02  3.180682029E-07 -7.627676268E-10  3.180672934E-07 -2.860947312E-10  1.389601361E-02  4.861294031E-01 
         2  5.000000000E-01  4.168914258E-02  8.717058222E-07 -5.413667736E-09  8.716889965E-07 -2.872145022E-10  4.168851301E-02  4.861658514E-01 
         3  5.000000000E-01  6.948190182E-02  1.354155756E-06 -1.287215579E-08  1.354094593E-06 -2.893607576E-10  6.948100775E-02  4.862023294E-01 
         4  5.000000000E-01  9.727466106E-02  1.778791557E-06 -2.361449170E-08  1.778634783E-06 -2.910757746E-10  9.727350622E-02  4.862387776E-01 
         5  5.000000000E-01  1.250686049E-01  2.155249376E-06 -3.694159290E-08  2.154932645E-06 -2.925480136E-10  1.250668615E-01  4.862708449E-01 
         6  5.000000000E-01  1.528637409E-01  2.491232863E-06 -5.279170523E-08  2.490673523E-06 -2.937551036E-10  1.528604180E-01  4.862980247E-01 
         7  5.000000000E-01  1.806588471E-01  2.792150099E-06 -7.099338717E-08  2.791247425E-06 -2.948147837E-10  1.806539744E-01  4.863252044E-01 
         8  5.000000000E-01  2.084539682E-01  3.061580628E-06 -9.159200687E-08  3.060210247E-06 -2.957647738E-10  2.084475458E-01  4.863523841E-01 
         9  5.000000000E-01  2.362468541E-01  3.301259312E-06 -1.147073121E-07  3.299265927E-06 -2.966325241E-10  2.362390459E-01  4.863725901E-01 
        10  5.000000000E-01  2.640375197E-01  3.511252999E-06 -1.406406938E-07  3.508435157E-06 -2.974992752E-10  2.640291750E-01  4.863861501E-01 
        11  5.000000000E-01  2.918281853E-01  3.689940968E-06 -1.695865279E-07  3.686041964E-06 -2.983880365E-10  2.918193042E-01  4.863997102E-01 
        12  5.000000000E-01  3.196188211E-01  3.833975825E-06 -2.024141850E-07  3.828628905E-06 -2.994069437E-10  3.196094334E-01  4.864132702E-01 
        13  5.000000000E-01  3.474098444E-01  3.937989732E-06 -2.388578082E-07  3.930739240E-06 -2.991703552E-10  3.473994136E-01  4.864163697E-01 
        14  5.000000000E-01  3.752011955E-01  3.994485724E-06 -2.825148613E-07  3.984482646E-06 -3.006736249E-10  3.751886487E-01  4.864084721E-01 
        15  5.000000000E-01  4.029925466E-01  3.994479357E-06 -3.280208034E-07  3.980988367E-06 -3.028469975E-10  4.029778540E-01  4.864005446E-01 
        16  5.000000000E-01  4.307839274E-01  3.930102594E-06 -3.857888657E-07  3.911121894E-06 -3.018998940E-10  4.307670593E-01  4.863926470E-01 
        17  5.000000000E-01  4.585685730E-01  3.783802867E-06 -4.501025899E-07  3.756936621E-06 -3.036080554E-10  4.585501254E-01  4.863774180E-01 
        18  5.000000000E-01  4.863465726E-01  3.542067589E-06 -5.265575282E-07  3.502710570E-06 -3.038891083E-10  4.863271117E-01  4.863553047E-01 
        19  5.000000000E-01  5.141245127E-01  3.188842129E-06 -6.162696309E-07  3.128725893E-06 -3.036166873E-10  5.141040683E-01  4.863331914E-01 
        20  5.000000000E-01  5.419025421E-01  2.709712817E-06 -7.224314800E-07  2.611634955E-06 -3.025001638E-10  5.418810844E-01  4.863110781E-01 
        21  5.000000000E-01  5.696771145E-01  2.103221959E-06 -8.483025340E-07  1.924558546E-06 -3.002077753E-10  5.696547031E-01  4.862914979E-01 
        22  5.000000000E-01  5.974484682E-01  1.438806748E-06 -9.977979971E-07  1.036611707E-06 -2.961981493E-10  5.974254012E-01  4.862746000E-01 
        23  5.000000000E-01  6.252197623E-01  1.178750040E-06 -1.175490524E-06 -8.759952408E-08 -2.898898066E-10  6.251960993E-01  4.862576723E-01 
        24  5.000000000E-01  6.529911160E-01  2.033846158E-06 -1.386320946E-06 -1.488168323E-06 -2.805506383E-10  6.529667377E-01  4.862407446E-01 
        25  5.000000000E-01  6.807595491E-01  3.602903689E-06 -1.635874924E-06 -3.210113391E-06 -2.675482336E-10  6.807349920E-01  4.862251580E-01 
        26  5.000000000E-01  7.085250616E-01  5.644350949E-06 -1.929779501E-06 -5.304210390E-06 -2.497828611E-10  7.085005045E-01  4.862111211E-01 
        27  5.000000000E-01  7.362905741E-01  8.150841495E-06 -2.274214239E-06 -7.827142326E-06 -2.268862320E-10  7.362660170E-01  4.861970842E-01 
        28  5.000000000E-01  7.640561461E-01  1.116719704E-05 -2.674785947E-06 -1.084213091E-05 -1.977971675E-10  7.640315294E-01  4.861830473E-01 
