cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1 -7.716565720E-10  1.552450098E-02  1.216794278E-05 -9.362338581E-08 -1.216758259E-05  0.000000000E+00  1.542796460E-02 -1.010520881E-02 
         2 -1.062092081E-09  4.649962112E-02  3.424051807E-05 -6.607882923E-07 -3.423414139E-05 -1.134191451E-10  4.631457719E-02 -1.023085869E-02 
         3 -4.485184724E-10  7.739663869E-02  5.472143267E-05 -1.511661422E-06 -5.470054911E-05 -3.742760113E-10  7.710762351E-02 -1.031027381E-02 
         4 -5.004016299E-11  1.084246859E-01  7.473542517E-05 -2.606318654E-06 -7.468996504E-05 -7.019912886E-10  1.080911146E-01 -1.113722168E-02 
         5 -1.063713909E-10  1.395219564E-01  9.481719600E-05 -3.513388457E-06 -9.475208050E-05 -1.218865495E-09  1.390872935E-01 -1.294985916E-02 
         6 -2.483761894E-12  1.605590284E-01  1.153013802E-04 -3.938746541E-06 -1.152340859E-04 -2.033922735E-09  1.698733471E-01 -1.556448831E-02 
         7 -4.013401764E-11  1.759732366E-01  1.146067347E-04 -1.147372231E-05 -1.140309491E-04 -1.190547544E-09  1.709775137E-01  1.472707385E-02 
         8  6.926553775E-11  2.012367100E-01  1.365672866E-04 -1.392748439E-05 -1.358552500E-04 -2.393219188E-09  2.017589696E-01  1.256803284E-02 
         9  3.773229784E-10  2.318808436E-01  1.597420702E-04 -1.587285960E-05 -1.589515062E-04 -4.198181680E-09  2.323925540E-01  1.062382451E-02 
        10 -2.349442862E-10  2.623152435E-01  1.840773753E-04 -1.722928764E-05 -1.832692875E-04 -6.844016101E-09  2.628397596E-01  9.379762865E-03 
        11 -3.223002698E-10  2.925873101E-01  2.095533895E-04 -1.790467083E-05 -2.087870825E-04 -1.061731382E-08  2.931429014E-01  8.831664906E-03 
        12  1.758118096E-10  3.228098154E-01  2.361473131E-04 -1.724400048E-05 -2.355168740E-04 -1.588976287E-08  3.234568854E-01  8.517542968E-03 
        13  3.569499973E-10  3.534703553E-01  2.633878382E-04 -1.329107005E-05 -2.630522777E-04 -2.341311807E-08  3.540065154E-01  6.747762442E-03 
        14  2.006607797E-10  3.842862248E-01  2.889217877E-04 -2.288774215E-06 -2.889127220E-04 -3.411377253E-08  3.844277516E-01  1.475170168E-03 
        15 -7.365555388E-10  4.155767858E-01  3.105525683E-04  1.959175695E-05 -3.099339619E-04 -4.796127257E-08  4.143090917E-01 -8.391628677E-03 
        16 -6.642564832E-10  4.351332188E-01  3.283624367E-04  4.778943523E-05 -3.248662181E-04 -6.513632887E-08  4.443190812E-01 -1.876371447E-02 
