cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  8.699834347E-03  5.000000000E-01  3.889588795E-04  6.862986747E-05 -3.828563062E-04 -1.365671479E-07  5.116452454E-01 -2.063116622E-03 
         2  2.922540344E-02  5.000000000E-01  4.065255237E-04 -4.052416463E-06 -4.065053251E-04 -1.403401555E-07  5.149148336E-01  3.220481486E-02 
         3  4.659976438E-02  5.000000000E-01  4.008307927E-04 -3.239331997E-05 -3.995197081E-04 -1.067896036E-07  4.840083360E-01  3.846221487E-02 
         4  6.938529015E-02  5.000000000E-01  4.218470090E-04 -1.042191279E-04 -4.087704398E-04 -1.040258687E-07  4.876039140E-01  7.227367345E-02 
         5  1.035566106E-01  5.000000000E-01  4.458823736E-04 -1.778510987E-04 -4.088766046E-04 -9.740557863E-08  4.913339940E-01  1.056221290E-01 
         6  1.372693479E-01  5.000000000E-01  4.674697976E-04 -2.486170414E-04 -3.958757108E-04 -8.839424177E-08  4.952372351E-01  1.384662856E-01 
         7  1.706610024E-01  5.000000000E-01  4.846665094E-04 -3.117948472E-04 -3.710601010E-04 -7.685062250E-08  4.995577855E-01  1.707967945E-01 
         8  2.038018405E-01  5.000000000E-01  4.928016504E-04 -3.617596423E-04 -3.346392503E-04 -6.504084492E-08  5.047240071E-01  2.025483891E-01 
         9  2.366848141E-01  5.000000000E-01  4.876141640E-04 -3.935703839E-04 -2.878713704E-04 -5.425717474E-08  5.110855744E-01  2.337595475E-01 
        10  2.552821338E-01  4.999999702E-01  4.679910144E-04 -4.051326914E-04 -2.342714066E-04 -4.733119229E-08  5.186008072E-01  2.645559487E-01 
        11  2.717897892E-01  5.000000000E-01  3.925031943E-04 -3.397297483E-04 -1.965768442E-04 -3.338918395E-08  4.873768566E-01  2.729456119E-01 
        12  3.025207222E-01  5.000000000E-01  3.558567792E-04 -3.246938676E-04 -1.456294600E-04 -3.274114496E-08  4.966219786E-01  3.033982073E-01 
        13  3.353751004E-01  4.999999702E-01  3.026430554E-04 -2.872242227E-04 -9.536804986E-05 -3.548002215E-08  5.054616104E-01  3.337864929E-01 
        14  3.624407351E-01  5.000000000E-01  2.344749507E-04 -2.287533201E-04 -5.148224011E-05 -4.105868548E-08  5.131070779E-01  3.643739882E-01 
        15  3.786406517E-01  5.000000000E-01  1.823668222E-04 -1.777272354E-04 -4.087404605E-05 -3.661337065E-08  4.851189273E-01  3.722587022E-01 
        16  4.001565576E-01  5.000000000E-01  1.199146482E-04 -1.189322788E-04 -1.531783020E-05 -4.325046681E-08  4.911464705E-01  4.025533636E-01 
        17  4.318212271E-01  5.000000000E-01  6.213304334E-05 -6.210682033E-05 -1.804977435E-06 -4.995256969E-08  4.962493179E-01  4.327821485E-01 
        18  4.630799592E-01  5.000000000E-01  1.584778645E-05 -1.571192283E-05  2.070704277E-06 -5.444060320E-08  5.012172928E-01  4.628387739E-01 
