cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1 -3.455578685E-01  1.036102891E+00  1.486522162E-20 -2.018124606E-06  2.018124606E-06  2.110098177E-03  0.000000000E+00  2.110098177E-03 -1.929720539E-06  1.021533005E+00 -3.484409594E-01 
         2 -3.155093789E-01  1.036102891E+00 -0.000000000E+00 -1.645172155E-06  1.645172155E-06  2.110098177E-03  0.000000000E+00  2.110098177E-03 -6.565397944E-07  1.021270764E+00 -3.181436613E-01 
         3 -2.854608893E-01  1.036102891E+00 -0.000000000E+00 -1.221452259E-06  1.221452259E-06  2.110098177E-03  0.000000000E+00  2.110098177E-03 -3.902346116E-07  1.021008523E+00 -2.878463697E-01 
         4 -2.554123700E-01  1.036102891E+00 -0.000000000E+00 -1.011321486E-06  1.011321486E-06  2.110098177E-03  0.000000000E+00  2.110098177E-03 -2.470738524E-07  1.020746283E+00 -2.575490841E-01 
         5 -2.253638953E-01  1.036102891E+00 -0.000000000E+00 -8.447786249E-07  8.447786249E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -1.791222172E-07  1.020477109E+00 -2.272408529E-01 
         6 -1.953153908E-01  1.036102891E+00 -0.000000000E+00 -7.216664272E-07  7.216664272E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -1.477590363E-07  1.020208262E+00 -1.969228581E-01 
         7 -1.652669013E-01  1.036102891E+00 -0.000000000E+00 -6.285425437E-07  6.285425437E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -1.438773936E-07  1.019939415E+00 -1.666048718E-01 
         8 -1.352184117E-01  1.036102891E+00 -0.000000000E+00 -5.521567775E-07  5.521567775E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -1.616046762E-07  1.019670567E+00 -1.362868938E-01 
         9 -1.051699072E-01  1.036102891E+00 -0.000000000E+00 -4.917232486E-07  4.917232486E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -1.894403338E-07  1.019430447E+00 -1.059704607E-01 
        10 -7.512141764E-02  1.036102891E+00 -0.000000000E+00 -4.422043473E-07  4.422043473E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -2.234798086E-07  1.019223012E+00 -7.563672042E-02 
        11 -4.507292062E-02  1.036102891E+00 -0.000000000E+00 -4.009106168E-07  4.009106168E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -2.597215337E-07  1.019015577E+00 -4.530299373E-02 
        12 -1.502442639E-02  1.036102891E+00 -2.725290631E-21 -3.683293963E-07  3.683293963E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -2.964198112E-07  1.018808142E+00 -1.496928013E-02 
        13  1.502406877E-02  1.036102891E+00 -0.000000000E+00 -3.421070013E-07  3.421070013E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -3.263024076E-07  1.018813935E+00  1.529955597E-02 
        14  4.507256299E-02  1.036102891E+00 -0.000000000E+00 -3.248904952E-07  3.248904952E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -3.426175955E-07  1.019031971E+00  4.562639246E-02 
        15  7.512106001E-02  1.036102891E+00 -0.000000000E+00 -3.146557724E-07  3.146557724E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -3.441198679E-07  1.019250006E+00  7.595324132E-02 
        16  1.051695496E-01  1.036102891E+00 -0.000000000E+00 -3.129019998E-07  3.129019998E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -3.206999587E-07  1.019468042E+00  1.062801030E-01 
        17  1.352180541E-01  1.036102891E+00 -0.000000000E+00 -3.218608573E-07  3.218608573E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -2.671937201E-07  1.019718829E+00  1.365839780E-01 
        18  1.652665436E-01  1.036102891E+00 -0.000000000E+00 -3.425218686E-07  3.425218686E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03 -1.624147784E-07  1.019994395E+00  1.668829700E-01 
        19  1.953150332E-01  1.036102891E+00 -0.000000000E+00 -3.864113319E-07  3.864113319E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03  2.513185207E-09  1.020269962E+00  1.971819662E-01 
        20  2.253635228E-01  1.036102891E+00 -0.000000000E+00 -4.423679110E-07  4.423679110E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03  2.682137280E-07  1.020545529E+00  2.274809668E-01 
        21  2.554120421E-01  1.036102891E+00 -0.000000000E+00 -5.656550123E-07  5.656550123E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03  6.322964540E-07  1.020811308E+00  2.577701224E-01 
        22  2.854605317E-01  1.036102891E+00 -0.000000000E+00 -6.642116742E-07  6.642116742E-07  2.110098177E-03  0.000000000E+00  2.110098177E-03  1.292695676E-06  1.021056226E+00  2.880410887E-01 
        23  3.155090213E-01  1.036102891E+00 -0.000000000E+00 -1.181408838E-06  1.181408838E-06  2.110098177E-03  0.000000000E+00  2.110098177E-03  2.149887054E-06  1.021301145E+00  3.183120586E-01 
        24  3.455575109E-01  1.036102891E+00 -0.000000000E+00 -1.638626533E-06  1.638626533E-06  2.110098177E-03  0.000000000E+00  2.110098177E-03  4.287682926E-06  1.021546063E+00  3.485830322E-01 
