cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  5.000000000E-01  9.961240292E-01  7.359803421E-04  3.987981501E-08  7.359803421E-04 -4.461336189E-08  9.961240292E-01  5.000000000E-01 
         2  5.000000000E-01  9.883720875E-01  7.006777450E-04  3.121698455E-07  7.006776868E-04 -4.497810124E-08  9.883720875E-01  5.000000000E-01 
         3  5.000000000E-01  9.806201458E-01  6.654682220E-04  8.163831922E-07  6.654676981E-04 -4.566471645E-08  9.806201458E-01  5.000000000E-01 
         4  5.000000000E-01  9.728682041E-01  6.305075367E-04  1.609434889E-06  6.305054994E-04 -4.638713591E-08  9.728682041E-01  5.000000000E-01 
         5  5.000000000E-01  9.651162624E-01  5.959395203E-04  2.670538379E-06  5.959335249E-04 -4.719077040E-08  9.651162624E-01  5.000000000E-01 
         6  5.000000000E-01  9.573643208E-01  5.618991563E-04  4.001267371E-06  5.618848954E-04 -4.803658271E-08  9.573643208E-01  5.000000000E-01 
         7  5.000000000E-01  9.496123791E-01  5.285075749E-04  5.583026450E-06  5.284780636E-04 -4.892887517E-08  9.496123791E-01  5.000000000E-01 
         8  5.000000000E-01  9.418604374E-01  4.958722275E-04  7.398441539E-06  4.958170466E-04 -4.985234625E-08  9.418604374E-01  5.000000000E-01 
         9  5.000000000E-01  9.341084957E-01  4.640857805E-04  9.423378287E-06  4.639900872E-04 -5.079865062E-08  9.341084957E-01  5.000000000E-01 
        10  5.000000000E-01  9.263566136E-01  4.332262615E-04  1.163194520E-05  4.330700904E-04 -5.175642670E-08  9.263566136E-01  5.000000000E-01 
        11  5.000000000E-01  9.186046720E-01  4.033569130E-04  1.399592566E-05  4.031140124E-04 -5.271582992E-08  9.186046720E-01  5.000000000E-01 
        12  5.000000000E-01  9.108527303E-01  3.745281429E-04  1.648613579E-05  3.741651017E-04 -5.366564437E-08  9.108527303E-01  5.000000000E-01 
        13  5.000000000E-01  9.031007886E-01  3.467777860E-04  1.907290243E-05  3.462528693E-04 -5.459630970E-08  9.031007886E-01  5.000000000E-01 
        14  5.000000000E-01  8.953488469E-01  3.201328800E-04  2.172690620E-05  3.193947487E-04 -5.549758697E-08  8.953488469E-01  5.000000000E-01 
        15  5.000000000E-01  8.875969052E-01  2.946108871E-04  2.441950892E-05  2.935971133E-04 -5.636035638E-08  8.875969052E-01  5.000000000E-01 
        16  5.000000000E-01  8.798449636E-01  2.702216152E-04  2.712333844E-05  2.688569366E-04 -5.717568641E-08  8.798449636E-01  5.000000000E-01 
        17  5.000000000E-01  8.720930219E-01  2.469690226E-04  2.981247053E-05  2.451630426E-04 -5.793564029E-08  8.720930219E-01  5.000000000E-01 
        18  5.000000000E-01  8.643410802E-01  2.248532401E-04  3.246279084E-05  2.224975178E-04 -5.863302732E-08  8.643410802E-01  5.000000000E-01 
        19  5.000000000E-01  8.565891385E-01  2.038727398E-04  3.505211134E-05  2.008368610E-04 -5.926114355E-08  8.565891385E-01  5.000000000E-01 
        20  5.000000000E-01  8.488371968E-01  1.840272016E-04  3.756034130E-05  1.801533508E-04 -5.981419804E-08  8.488371968E-01  5.000000000E-01 
        21  5.000000000E-01  8.410852551E-01  1.653204818E-04  3.996948362E-05  1.604160352E-04 -6.028709265E-08  8.410852551E-01  5.000000000E-01 
        22  5.000000000E-01  8.333333135E-01  1.477648038E-04  4.226372766E-05  1.415917213E-04 -6.067575242E-08  8.333333135E-01  5.000000000E-01 
        23  5.000000000E-01  8.255813718E-01  1.313858229E-04  4.442930003E-05  1.236457611E-04 -6.097644700E-08  8.255813718E-01  5.000000000E-01 
        24  5.000000000E-01  8.178294301E-01  1.162300032E-04  4.645455556E-05  1.065428951E-04 -6.118638396E-08  8.178294301E-01  5.000000000E-01 
        25  5.000000000E-01  8.100775480E-01  1.023741861E-04  4.832994455E-05  9.024793690E-05 -6.130353114E-08  8.100774884E-01  5.000000000E-01 
        26  5.000000000E-01  8.023256063E-01  8.993760275E-05  5.004764898E-05  7.472620200E-05 -6.132639641E-08  8.023256063E-01  5.000000000E-01 
        27  5.000000000E-01  7.945736647E-01  7.909466513E-05  5.160173168E-05  5.994353705E-05 -6.125435448E-08  7.945736647E-01  5.000000000E-01 
        28  5.000000000E-01  7.868217230E-01  7.008230023E-05  5.298787801E-05  4.586735304E-05 -6.108720640E-08  7.868217230E-01  5.000000000E-01 
        29  5.000000000E-01  7.790697813E-01  6.318285887E-05  5.420335219E-05  3.246644337E-05 -6.082546378E-08  7.790697813E-01  5.000000000E-01 
        30  5.000000000E-01  7.713178396E-01  5.865799540E-05  5.524707376E-05  1.971094753E-05 -6.047034873E-08  7.713178396E-01  5.000000000E-01 
        31  5.000000000E-01  7.635658979E-01  5.662763215E-05  5.611896268E-05  7.573043604E-06 -6.002336761E-08  7.635658979E-01  5.000000000E-01 
        32  5.000000000E-01  7.558139563E-01  5.695908840E-05  5.682032861E-05 -3.973430921E-06 -5.948656323E-08  7.558139563E-01  5.000000000E-01 
        33  5.000000000E-01  7.480620146E-01  5.927064922E-05  5.735346713E-05 -1.495290871E-05 -5.886239762E-08  7.480620146E-01  5.000000000E-01 
        34  5.000000000E-01  7.403100729E-01  6.305848365E-05  5.772189252E-05 -2.538810077E-05 -5.815476811E-08  7.403100729E-01  5.000000000E-01 
        35  5.000000000E-01  7.325581312E-01  6.783735444E-05  5.792928641E-05 -3.530020331E-05 -5.736560738E-08  7.325581312E-01  5.000000000E-01 
        36  5.000000000E-01  7.248061895E-01  7.321667363E-05  5.798132770E-05 -4.470847125E-05 -5.649789969E-08  7.248061895E-01  5.000000000E-01 
        37  5.000000000E-01  7.170542479E-01  7.890962297E-05  5.788340786E-05 -5.363058517E-05 -5.555696347E-08  7.170542479E-01  5.000000000E-01 
        38  5.000000000E-01  7.093023062E-01  8.471668843E-05  5.764157322E-05 -6.208354898E-05 -5.454742791E-08  7.093023062E-01  5.000000000E-01 
        39  5.000000000E-01  7.015503645E-01  9.050186782E-05  5.726265590E-05 -7.008263492E-05 -5.347292742E-08  7.015503645E-01  5.000000000E-01 
        40  5.000000000E-01  6.937984228E-01  9.617321484E-05  5.675372449E-05 -7.764214388E-05 -5.233831146E-08  6.937984228E-01  5.000000000E-01 
        41  5.000000000E-01  6.860464811E-01  1.016688839E-04  5.612222958E-05 -8.477533265E-05 -5.114833002E-08  6.860464811E-01  5.000000000E-01 
        42  5.000000000E-01  6.782945991E-01  1.069473728E-04  5.537590550E-05 -9.149453399E-05 -4.990798530E-08  6.782945991E-01  5.000000000E-01 
        43  5.000000000E-01  6.705426574E-01  1.119813169E-04  5.452266487E-05 -9.781152039E-05 -4.862214809E-08  6.705426574E-01  5.000000000E-01 
        44  5.000000000E-01  6.627907157E-01  1.167528171E-04  5.357054033E-05 -1.037372494E-04 -4.729585967E-08  6.627907157E-01  5.000000000E-01 
        45  5.000000000E-01  6.550387740E-01  1.212507923E-04  5.252765186E-05 -1.092822058E-04 -4.593415426E-08  6.550387740E-01  5.000000000E-01 
        46  5.000000000E-01  6.472868323E-01  1.254689560E-04  5.140214125E-05 -1.144564449E-04 -4.454203761E-08  6.472868323E-01  5.000000000E-01 
        47  5.000000000E-01  6.395348907E-01  1.294044196E-04  5.020211393E-05 -1.192696654E-04 -4.312460788E-08  6.395348907E-01  5.000000000E-01 
        48  5.000000000E-01  6.317829490E-01  1.330568921E-04  4.893561345E-05 -1.237313263E-04 -4.168662926E-08  6.317829490E-01  5.000000000E-01 
        49  5.000000000E-01  6.240310073E-01  1.364278287E-04  4.761055970E-05 -1.278506534E-04 -4.023290856E-08  6.240310073E-01  5.000000000E-01 
        50  5.000000000E-01  6.162790656E-01  1.395202125E-04  4.623471614E-05 -1.316367707E-04 -3.876828103E-08  6.162790656E-01  5.000000000E-01 
        51  5.000000000E-01  6.085271239E-01  1.423380163E-04  4.481567157E-05 -1.350987295E-04 -3.729717690E-08  6.085271239E-01  5.000000000E-01 
        52  5.000000000E-01  6.007751822E-01  1.448861003E-04  4.336078200E-05 -1.382455230E-04 -3.582384167E-08  6.007751822E-01  5.000000000E-01 
        53  5.000000000E-01  5.930232406E-01  1.471699652E-04  4.187715967E-05 -1.410861587E-04 -3.435253149E-08  5.930232406E-01  5.000000000E-01 
        54  5.000000000E-01  5.852712989E-01  1.491956791E-04  4.037166218E-05 -1.436296589E-04 -3.288723605E-08  5.852712989E-01  5.000000000E-01 
        55  5.000000000E-01  5.775193572E-01  1.509696885E-04  3.885080514E-05 -1.458851038E-04 -3.143157201E-08  5.775193572E-01  5.000000000E-01 
        56  5.000000000E-01  5.697674155E-01  1.524988620E-04  3.732095865E-05 -1.478615886E-04 -2.998949000E-08  5.697674155E-01  5.000000000E-01 
        57  5.000000000E-01  5.620155334E-01  1.537902717E-04  3.578767428E-05 -1.495683537E-04 -2.856292269E-08  5.620154738E-01  5.000000000E-01 
        58  5.000000000E-01  5.542635918E-01  1.548516302E-04  3.425709656E-05 -1.510148286E-04 -2.715687941E-08  5.542635918E-01  5.000000000E-01 
        59  5.000000000E-01  5.465116501E-01  1.556901843E-04  3.273398397E-05 -1.522101229E-04 -2.577359304E-08  5.465116501E-01  5.000000000E-01 
