cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.239034720E-02  5.000000000E-01  3.138773900E-05  3.137888780E-05 -7.454065098E-07 -3.354153932E-08  5.002790093E-01  1.239034720E-02 
         2  3.717140108E-02  5.000000000E-01  8.497743693E-05  8.481501573E-05 -5.251460152E-06 -3.482941935E-08  5.008356571E-01  3.717206046E-02 
         3  6.195263192E-02  5.000000000E-01  1.300749864E-04  1.294804970E-04 -1.242190774E-05 -3.731370413E-08  5.013950467E-01  6.195173413E-02 
         4  8.672758192E-02  5.000000000E-01  1.676162065E-04  1.661040587E-04 -2.246406621E-05 -3.935444681E-08  5.018212795E-01  8.672641218E-02 
         5  1.114958823E-01  5.000000000E-01  1.985228300E-04  1.955132320E-04 -3.443680180E-05 -4.131711506E-08  5.021167397E-01  1.114932448E-01 
         6  1.362641156E-01  5.000000000E-01  2.238759771E-04  2.186835773E-04 -4.793688640E-05 -4.324825653E-08  5.024101138E-01  1.362637132E-01 
         7  1.610456705E-01  5.000000000E-01  2.445284044E-04  2.364181128E-04 -6.245490658E-05 -4.529013964E-08  5.025731921E-01  1.610452384E-01 
         8  1.858382672E-01  5.000000000E-01  2.612843818E-04  2.494730579E-04 -7.767052739E-05 -4.748434534E-08  5.026080608E-01  1.858447492E-01 
         9  2.106308341E-01  5.000000000E-01  2.748792758E-04  2.585848561E-04 -9.323347331E-05 -4.997615832E-08  5.026367903E-01  2.106340080E-01 
        10  2.354069650E-01  5.000000000E-01  2.858550870E-04  2.642904292E-04 -1.089206053E-04 -5.279634507E-08  5.026291609E-01  2.354101390E-01 
        11  2.601698935E-01  5.000000000E-01  2.945119049E-04  2.668610250E-04 -1.245891181E-04 -5.596887220E-08  5.025733113E-01  2.602035403E-01 
        12  2.849327326E-01  5.000000000E-01  3.014885879E-04  2.669761307E-04 -1.400682668E-04 -5.953515014E-08  5.025351644E-01  2.849258780E-01 
        13  3.094887733E-01  5.000000000E-01  3.067112411E-04  2.645311470E-04 -1.552258036E-04 -6.341273462E-08  5.024139285E-01  3.094822764E-01 
        14  3.338513970E-01  5.000000000E-01  3.104510251E-04  2.597284911E-04 -1.700615976E-04 -6.756359028E-08  5.022000670E-01  3.338519931E-01 
        15  3.582133055E-01  5.000000000E-01  3.129141987E-04  2.526661265E-04 -1.845944789E-04 -7.202448415E-08  5.020230412E-01  3.581921160E-01 
        16  3.824272156E-01  5.000000000E-01  3.142196510E-04  2.433445625E-04 -1.987898722E-04 -7.669154911E-08  5.018485188E-01  3.824078739E-01 
        17  4.064985812E-01  5.000000000E-01  3.145319351E-04  2.317655744E-04 -2.126383333E-04 -8.149405062E-08  5.017055869E-01  4.064829350E-01 
        18  4.305702746E-01  5.000000000E-01  3.140326880E-04  2.177807037E-04 -2.262478374E-04 -8.634864201E-08  5.015412569E-01  4.305610061E-01 
        19  4.546609521E-01  5.000000000E-01  3.129658580E-04  2.013104386E-04 -2.396283380E-04 -9.115863264E-08  5.013909340E-01  4.546526074E-01 
        20  4.787665904E-01  5.000000000E-01  3.116152366E-04  1.822221384E-04 -2.527828037E-04 -9.577385640E-08  5.012442470E-01  4.787818491E-01 
        21  5.028722286E-01  5.000000000E-01  3.103687777E-04  1.604759746E-04 -2.656618890E-04 -1.000415963E-07  5.010968447E-01  5.028658509E-01 
        22  5.269053578E-01  5.000000000E-01  3.097055887E-04  1.360172173E-04 -2.782388765E-04 -1.037571025E-07  5.009173155E-01  5.269000530E-01 
        23  5.508653522E-01  5.000000000E-01  3.101786424E-04  1.088455101E-04 -2.904538414E-04 -1.067527577E-07  5.007095933E-01  5.508529544E-01 
        24  5.748255253E-01  5.000000000E-01  3.123492352E-04  7.882092905E-05 -3.022404853E-04 -1.088419452E-07  5.004933476E-01  5.748235583E-01 
        25  5.987908840E-01  5.000000000E-01  3.167940595E-04  4.600472312E-05 -3.134358558E-04 -1.098732483E-07  5.002942681E-01  5.987896323E-01 
        26  6.227605343E-01  5.000000000E-01  3.240137303E-04  1.047429851E-05 -3.238444042E-04 -1.096530156E-07  5.001202226E-01  6.227535605E-01 
        27  6.467306018E-01  5.000000000E-01  3.344283905E-04 -2.768561717E-05 -3.332804481E-04 -1.079929319E-07  4.999220669E-01  6.467304826E-01 
        28  6.707698703E-01  5.000000000E-01  3.481575113E-04 -6.828449841E-05 -3.413954983E-04 -1.047217921E-07  4.997080266E-01  6.707696319E-01 
        29  6.948762536E-01  5.000000000E-01  3.652140440E-04 -1.110621597E-04 -3.479173756E-04 -9.980445981E-08  4.994544983E-01  6.948699355E-01 
        30  7.189821005E-01  5.000000000E-01  3.847738553E-04 -1.552393223E-04 -3.520677274E-04 -9.297917103E-08  4.992240965E-01  7.189851999E-01 
        31  7.431359291E-01  5.000000000E-01  4.060910724E-04 -2.000682725E-04 -3.533873823E-04 -8.434346199E-08  4.988833368E-01  7.431404591E-01 
        32  7.673375607E-01  5.000000000E-01  4.279830027E-04 -2.445416467E-04 -3.512389958E-04 -7.406170965E-08  4.984454811E-01  7.673309445E-01 
        33  7.915393114E-01  5.000000000E-01  4.488339764E-04 -2.874008787E-04 -3.447501513E-04 -6.286342114E-08  4.980041683E-01  7.915459871E-01 
        34  8.158838749E-01  5.000000000E-01  4.669411865E-04 -3.269268200E-04 -3.333960485E-04 -5.036548245E-08  4.976533353E-01  8.158918023E-01 
        35  8.403737545E-01  5.000000000E-01  4.802896001E-04 -3.610802523E-04 -3.167004033E-04 -3.767672396E-08  4.973947704E-01  8.403621316E-01 
        36  8.648637533E-01  5.000000000E-01  4.860144109E-04 -3.872001835E-04 -2.937448444E-04 -2.559237977E-08  4.971291423E-01  8.648693562E-01 
        37  8.894879818E-01  5.000000000E-01  4.813839332E-04 -4.022152280E-04 -2.644870256E-04 -1.433057850E-08  4.970487058E-01  8.894937634E-01 
        38  9.142501354E-01  5.000000000E-01  4.660401610E-04 -4.053673474E-04 -2.299363841E-04 -5.530408131E-09  4.971528053E-01  9.142376184E-01 
        39  9.390121102E-01  5.000000000E-01  4.379681195E-04 -3.939587914E-04 -1.913440647E-04  1.224077950E-09  4.972512424E-01  9.390138984E-01 
        40  9.637706280E-01  5.000000000E-01  3.963111667E-04 -3.666978737E-04 -1.503170206E-04  4.889065153E-09  4.974769056E-01  9.637722373E-01 
        41  9.885282516E-01  5.000000000E-01  3.418515553E-04 -3.238636709E-04 -1.094294930E-04  5.544958714E-09  4.978286326E-01  9.885210991E-01 
        42  1.013285875E+00  5.000000000E-01  2.759694471E-04 -2.665362845E-04 -7.153698971E-05  3.072756272E-09  4.981769323E-01  1.013285637E+00 
        43  1.038053513E+00  5.000000000E-01  2.015193022E-04 -1.976593630E-04 -3.925308556E-05 -1.715831588E-09  4.986266196E-01  1.038053274E+00 
        44  1.062832117E+00  5.000000000E-01  1.219665355E-04 -1.208967369E-04 -1.611876360E-05 -8.716047439E-09  4.991756380E-01  1.062834144E+00 
        45  1.087610722E+00  5.000000000E-01  4.054021701E-05 -4.046518006E-05 -2.465465514E-06 -1.290912266E-08  4.997253120E-01  1.087610602E+00 
