cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.385416627E+00  1.000000000E+00 -0.000000000E+00 -1.468079972E-06  1.468079972E-06  1.607693848E-03  0.000000000E+00  1.607693848E-03  3.909873158E-06  9.861447811E-01  1.385445237E+00 
         2  1.356250048E+00  1.000000000E+00 -0.000000000E+00 -1.128911435E-06  1.128911435E-06  1.607693848E-03  0.000000000E+00  1.607693848E-03  2.286169320E-06  9.861665368E-01  1.356287837E+00 
         3  1.327083349E+00  1.000000000E+00 -0.000000000E+00 -6.681425475E-07  6.681425475E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  1.629957183E-06  9.862002134E-01  1.327149749E+00 
         4  1.297916651E+00  1.000000000E+00  7.612957641E-15 -5.289812179E-07  5.289812179E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  1.111986535E-06  9.861677289E-01  1.297966838E+00 
         5  1.268749952E+00  1.000000000E+00 -0.000000000E+00 -4.102262210E-07  4.102262210E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  8.236856388E-07  9.861183763E-01  1.268811107E+00 
         6  1.239583373E+00  1.000000000E+00 -0.000000000E+00 -3.499485501E-07  3.499485501E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  5.926543736E-07  9.860641956E-01  1.239619136E+00 
         7  1.210416675E+00  1.000000000E+00 -0.000000000E+00 -3.001555342E-07  3.001555342E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  4.246894321E-07  9.859855771E-01  1.210461020E+00 
         8  1.181249976E+00  1.000000000E+00  1.903239410E-15 -2.655482660E-07  2.655482376E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  2.872136804E-07  9.859507084E-01  1.181314468E+00 
         9  1.152083397E+00  1.000000000E+00 -0.000000000E+00 -2.364245120E-07  2.364245262E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  1.763253863E-07  9.859213829E-01  1.152145624E+00 
        10  1.122916698E+00  1.000000000E+00 -0.000000000E+00 -2.134894430E-07  2.134894430E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  8.466892609E-08  9.858804345E-01  1.123002648E+00 
        11  1.093750000E+00  1.000000000E+00 -0.000000000E+00 -1.943141115E-07  1.943141115E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  9.936623968E-09  9.858701229E-01  1.093845248E+00 
        12  1.064583302E+00  1.000000000E+00 -0.000000000E+00 -1.787084329E-07  1.787084329E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -5.102076273E-08  9.858639836E-01  1.064682245E+00 
        13  1.035416603E+00  1.000000000E+00 -0.000000000E+00 -1.658382871E-07  1.658382871E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -9.983928351E-08  9.858372211E-01  1.035524130E+00 
        14  1.006250024E+00  1.000000000E+00 -0.000000000E+00 -1.556689995E-07  1.556689995E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.378991925E-07  9.858173132E-01  1.006368995E+00 
        15  9.770833254E-01  1.000000000E+00 -0.000000000E+00 -1.475771114E-07  1.475771114E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.667129084E-07  9.858008027E-01  9.772015214E-01 
        16  9.479166269E-01  1.000000000E+00 -0.000000000E+00 -1.416615305E-07  1.416615305E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.873480500E-07  9.857907891E-01  9.480518103E-01 
        17  9.187499881E-01  1.000000000E+00 -0.000000000E+00 -1.374327212E-07  1.374327212E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -2.005102573E-07  9.857991338E-01  9.188842773E-01 
        18  8.895833492E-01  1.000000000E+00 -0.000000000E+00 -1.353877224E-07  1.353877082E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -2.071357414E-07  9.858089685E-01  8.897229433E-01 
        19  8.604166508E-01  1.000000000E+00 -0.000000000E+00 -1.346512590E-07  1.346512590E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -2.083274495E-07  9.858074188E-01  8.605534434E-01 
        20  8.312500119E-01  1.000000000E+00 -0.000000000E+00 -1.354501364E-07  1.354501364E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -2.052064758E-07  9.857965708E-01  8.313919902E-01 
        21  8.020833731E-01  1.000000000E+00 -0.000000000E+00 -1.375595957E-07  1.375595957E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.979853437E-07  9.857866168E-01  8.022233844E-01 
        22  7.729166746E-01  1.000000000E+00 -0.000000000E+00 -1.409813422E-07  1.409813279E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.878249236E-07  9.857559800E-01  7.730773091E-01 
        23  7.437499762E-01  1.000000000E+00 -0.000000000E+00 -1.457129883E-07  1.457129883E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.749519782E-07  9.857201576E-01  7.439451814E-01 
        24  7.145833373E-01  1.000000000E+00 -0.000000000E+00 -1.513290044E-07  1.513290044E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.602038964E-07  9.857003689E-01  7.147939205E-01 
        25  6.854166985E-01  1.000000000E+00 -0.000000000E+00 -1.582448022E-07  1.582448022E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.441713806E-07  9.856643081E-01  6.856618524E-01 
        26  6.562500000E-01  1.000000000E+00 -4.758098526E-16 -1.659561804E-07  1.659561804E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.271153138E-07  9.856640697E-01  6.564953923E-01 
        27  6.270833015E-01  1.000000000E+00 -0.000000000E+00 -1.747180249E-07  1.747180249E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.099080933E-07  9.856638908E-01  6.273287535E-01 
        28  5.979166627E-01  1.000000000E+00 -0.000000000E+00 -1.843310429E-07  1.843310429E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -9.276794088E-08  9.856635332E-01  5.981623530E-01 
        29  5.687500238E-01  1.000000000E+00 -0.000000000E+00 -1.948509407E-07  1.948509407E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -7.614890762E-08  9.856634140E-01  5.689957738E-01 
        30  5.395833254E-01  1.000000000E+00 -0.000000000E+00 -2.062547679E-07  2.062547679E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -6.037848266E-08  9.856632948E-01  5.398291349E-01 
        31  5.104166269E-01  1.000000000E+00 -0.000000000E+00 -2.185788617E-07  2.185788617E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -4.576877544E-08  9.856631160E-01  5.106625557E-01 
        32  4.812499881E-01  1.000000000E+00 -0.000000000E+00 -2.319219448E-07  2.319219448E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -3.253851588E-08  9.856630564E-01  4.814959466E-01 
        33  4.520833492E-01  1.000000000E+00 -0.000000000E+00 -2.462497832E-07  2.462497832E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -2.116070874E-08  9.856630564E-01  4.523292780E-01 
        34  4.229166508E-01  1.000000000E+00 -0.000000000E+00 -2.620558917E-07  2.620558917E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.131875571E-08  9.856826663E-01  4.231474698E-01 
        35  3.937500119E-01  1.000000000E+00 -0.000000000E+00 -2.790507097E-07  2.790507097E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -3.794903947E-09  9.857181907E-01  3.939466178E-01 
        36  3.645833135E-01  1.000000000E+00 -0.000000000E+00 -2.981530542E-07  2.981530542E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  1.818161510E-09  9.857378602E-01  3.647647500E-01 
        37  3.354166746E-01  1.000000000E+00 -0.000000000E+00 -3.199519369E-07  3.199519369E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  5.282406512E-09  9.857742786E-01  3.355644941E-01 
        38  3.062499762E-01  1.000000000E+00 -0.000000000E+00 -3.446554047E-07  3.446554047E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  4.865007064E-09  9.857748151E-01  3.063979745E-01 
        39  2.770833373E-01  1.000000000E+00 -0.000000000E+00 -3.735178780E-07  3.735178780E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03  9.841227833E-10  9.857756495E-01  2.772319317E-01 
        40  2.479166687E-01  1.000000000E+00 -0.000000000E+00 -4.077261622E-07  4.077261622E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -6.219461390E-09  9.857932329E-01  2.480727732E-01 
        41  2.187500000E-01  1.000000000E+00 -0.000000000E+00 -4.500384421E-07  4.500384421E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.887592305E-08  9.858090878E-01  2.189022154E-01 
        42  1.895833313E-01  1.000000000E+00 -0.000000000E+00 -5.039488542E-07  5.039488542E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -3.898194478E-08  9.858260751E-01  1.897429079E-01 
        43  1.604166627E-01  1.000000000E+00 -0.000000000E+00 -5.752792163E-07  5.752792163E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -7.058292795E-08  9.858588576E-01  1.605602354E-01 
        44  1.312499940E-01  1.000000000E+00 -0.000000000E+00 -6.719520798E-07  6.719520798E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.251414545E-07  9.858887792E-01  1.313652247E-01 
        45  1.020833328E-01  1.000000000E+00 -0.000000000E+00 -8.117258403E-07  8.117258403E-07  1.607693848E-03  0.000000000E+00  1.607693848E-03 -2.128268193E-07  9.859057069E-01  1.021864489E-01 
        46  7.291666418E-02  1.000000000E+00 -0.000000000E+00 -1.010772962E-06  1.010772962E-06  1.607693848E-03  0.000000000E+00  1.607693848E-03 -3.808426072E-07  9.859735370E-01  7.298796624E-02 
        47  4.374999925E-02  1.000000000E+00 -3.045183056E-14 -1.364233185E-06  1.364233185E-06  1.607693848E-03  0.000000000E+00  1.607693848E-03 -6.682010962E-07  9.860233665E-01  4.378737509E-02 
        48  1.458333340E-02  1.000000000E+00 -0.000000000E+00 -1.649328283E-06  1.649328283E-06  1.607693848E-03  0.000000000E+00  1.607693848E-03 -1.782422260E-06  9.860612750E-01  1.461733785E-02 
