cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.700000048E+00  9.833333492E-01 -2.665179295E-07 -0.000000000E+00  2.665179579E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00  6.020886758E-07  9.833327532E-01  1.683355451E+00 
         2  1.700000048E+00  9.499999881E-01 -1.338223399E-07 -0.000000000E+00  1.338223399E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.803980633E-07  9.499819875E-01  1.683383584E+00 
         3  1.700000048E+00  9.166666269E-01 -1.140700263E-07 -0.000000000E+00  1.140700263E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.492209887E-07  9.166480899E-01  1.683405757E+00 
         4  1.700000048E+00  8.833333254E-01 -9.148974556E-08 -0.000000000E+00  9.148974556E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.840256232E-07  8.832919002E-01  1.683442950E+00 
         5  1.700000048E+00  8.500000238E-01 -7.747822650E-08 -0.000000000E+00  7.747822650E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.432497356E-07  8.499448895E-01  1.683458328E+00 
         6  1.700000048E+00  8.166666627E-01 -6.591152157E-08 -0.000000000E+00  6.591152157E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.148959754E-07  8.166061044E-01  1.683467388E+00 
         7  1.700000048E+00  7.833333015E-01 -5.628429989E-08 -0.000000000E+00  5.628430344E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.462485195E-08  7.832261324E-01  1.683488369E+00 
         8  1.700000048E+00  7.500000000E-01 -4.878779691E-08 -0.000000000E+00  4.878779691E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  7.978516692E-08  7.498475313E-01  1.683519840E+00 
         9  1.700000048E+00  7.166666985E-01 -4.254851405E-08 -0.000000000E+00  4.254851049E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  6.858810053E-08  7.164811492E-01  1.683525443E+00 
        10  1.700000048E+00  6.833333373E-01 -3.726447417E-08 -0.000000000E+00  3.726447417E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  5.996283647E-08  6.831019521E-01  1.683555007E+00 
        11  1.700000048E+00  6.499999762E-01 -3.267222226E-08  2.081668039E-16  3.267222226E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  5.327164843E-08  6.497692466E-01  1.683553219E+00 
        12  1.700000048E+00  6.166666746E-01 -2.864146076E-08 -0.000000000E+00  2.864146076E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.801952258E-08  6.164352894E-01  1.683551431E+00 
        13  1.700000048E+00  5.833333731E-01 -2.505443497E-08 -0.000000000E+00  2.505443497E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.389849551E-08  5.831013322E-01  1.683546066E+00 
        14  1.700000048E+00  5.500000119E-01 -2.184516035E-08 -0.000000000E+00  2.184516035E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.067242898E-08  5.497692227E-01  1.683542490E+00 
        15  1.700000048E+00  5.166666508E-01 -1.895971380E-08 -0.000000000E+00  1.895971380E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.816306560E-08  5.164346695E-01  1.683538795E+00 
        16  1.700000048E+00  4.833333492E-01 -1.635669555E-08 -0.000000000E+00  1.635669555E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.623473788E-08  4.831001461E-01  1.683528066E+00 
        17  1.700000048E+00  4.499999881E-01 -1.400215410E-08 -0.000000000E+00  1.400215410E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.477906318E-08  4.497692287E-01  1.683520794E+00 
        18  1.700000048E+00  4.166666865E-01 -1.186964926E-08  1.040834019E-16  1.186964926E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.371194168E-08  4.164334834E-01  1.683513641E+00 
        19  1.700000048E+00  3.833333254E-01 -9.931535594E-09 -0.000000000E+00  9.931535594E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.296496232E-08  3.830977082E-01  1.683492064E+00 
        20  1.700000048E+00  3.500000238E-01 -8.194390055E-09 -0.000000000E+00  8.194390055E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.248336711E-08  3.497692347E-01  1.683477521E+00 
        21  1.700000048E+00  3.166666627E-01 -6.580770151E-09 -0.000000000E+00  6.580770151E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.220592859E-08  3.164310753E-01  1.683463216E+00 
        22  1.700000048E+00  2.833333611E-01 -5.135371683E-09 -0.000000000E+00  5.135372128E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.215302868E-08  2.830929160E-01  1.683419943E+00 
        23  1.700000048E+00  2.500000000E-01 -3.818644068E-09 -0.000000000E+00  3.818644068E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.231550849E-08  2.497692406E-01  1.683390975E+00 
        24  1.700000048E+00  2.166666687E-01 -2.698894663E-09 -0.000000000E+00  2.698894663E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.260667469E-08  2.164262831E-01  1.683362246E+00 
        25  1.700000048E+00  1.833333373E-01 -1.720141141E-09 -0.000000000E+00  1.720141141E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.301759577E-08  1.831321418E-01  1.683335185E+00 
        26  1.700000048E+00  1.500000060E-01 -9.222148600E-10 -0.000000000E+00  9.222148600E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.351665967E-08  1.498340815E-01  1.683315396E+00 
        27  1.700000048E+00  1.166666746E-01 -3.386446124E-10 -0.000000000E+00  3.386446124E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.406936244E-08  1.165302694E-01  1.683317304E+00 
        28  1.700000048E+00  8.333333582E-02  1.944306348E-11 -0.000000000E+00  1.944306348E-11  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.457427766E-08  8.326054364E-02  1.683314919E+00 
        29  1.700000048E+00  5.000000447E-02  1.506490210E-10 -0.000000000E+00  1.506490210E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.499990342E-08  4.994945601E-02  1.683315396E+00 
        30  1.700000048E+00  1.666666754E-02  2.468976586E-11 -0.000000000E+00  2.468976586E-11  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.522157499E-08  1.664439403E-02  1.683332801E+00 
        31  1.683333397E+00  0.000000000E+00 -0.000000000E+00  2.592498959E-11  2.592498959E-11  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.522157499E-08  1.664439403E-02  1.683332801E+00 
        32  1.649999976E+00  0.000000000E+00 -0.000000000E+00  1.496655855E-10  1.496655855E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.544918314E-08  1.661612280E-02  1.649982095E+00 
        33  1.616666675E+00  0.000000000E+00 -0.000000000E+00  4.948919746E-12  4.948919746E-12  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.586548303E-08  1.659385115E-02  1.616648197E+00 
        34  1.583333373E+00  0.000000000E+00 -2.602085049E-17 -3.812902494E-10  3.812902216E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.634847090E-08  1.655423827E-02  1.583294272E+00 
        35  1.549999952E+00  0.000000000E+00 -0.000000000E+00 -1.019827001E-09  1.019827001E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.684387195E-08  1.653760485E-02  1.549948215E+00 
        36  1.516666651E+00  0.000000000E+00 -0.000000000E+00 -1.865477994E-09  1.865477994E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.723004838E-08  1.652626134E-02  1.516611695E+00 
        37  1.483333349E+00  0.000000000E+00 -0.000000000E+00 -2.937281751E-09  2.937281751E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.746076871E-08  1.650467142E-02  1.483231068E+00 
        38  1.450000048E+00  0.000000000E+00 -0.000000000E+00 -4.087310490E-09  4.087310490E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.742766097E-08  1.647278666E-02  1.449850798E+00 
        39  1.416666627E+00  0.000000000E+00 -0.000000000E+00 -5.353915977E-09  5.353915533E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.711941687E-08  1.646782830E-02  1.416482806E+00 
        40  1.383333325E+00  0.000000000E+00 -0.000000000E+00 -6.609102154E-09  6.609102154E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.655744152E-08  1.643594541E-02  1.383102536E+00 
        41  1.350000024E+00  0.000000000E+00 -0.000000000E+00 -7.863740770E-09  7.863740770E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.573024543E-08  1.643594913E-02  1.349769235E+00 
        42  1.316666603E+00  0.000000000E+00 -0.000000000E+00 -9.062508077E-09  9.062508077E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.464895570E-08  1.643595286E-02  1.316435933E+00 
        43  1.283333302E+00  0.000000000E+00 -5.204170097E-17 -1.017470019E-08  1.017470019E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.333478560E-08  1.643596217E-02  1.283102632E+00 
        44  1.250000000E+00  0.000000000E+00 -0.000000000E+00 -1.117513815E-08  1.117513815E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.181868635E-08  1.643597148E-02  1.249769330E+00 
        45  1.216666698E+00  0.000000000E+00 -0.000000000E+00 -1.204640565E-08  1.204640565E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.013539285E-08  1.643597521E-02  1.216435909E+00 
        46  1.183333397E+00  0.000000000E+00 -0.000000000E+00 -1.277779393E-08  1.277779393E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.832196166E-08  1.643599384E-02  1.183102608E+00 
        47  1.149999976E+00  0.000000000E+00 -0.000000000E+00 -1.336462674E-08  1.336462674E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.641549024E-08  1.643601246E-02  1.149769306E+00 
        48  1.116666675E+00  0.000000000E+00 -0.000000000E+00 -1.380733927E-08  1.380733927E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.445167269E-08  1.643602178E-02  1.116436005E+00 
        49  1.083333373E+00  0.000000000E+00 -0.000000000E+00 -1.411031558E-08  1.411031558E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.246318509E-08  1.643605903E-02  1.083102703E+00 
        50  1.049999952E+00  0.000000000E+00 -0.000000000E+00 -1.428046748E-08  1.428046836E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.047907266E-08  1.643609628E-02  1.049769402E+00 
        51  1.016666651E+00  0.000000000E+00 -0.000000000E+00 -1.433271901E-08  1.433271901E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.852570009E-08  1.643611677E-02  1.016436100E+00 
        52  9.833333492E-01  0.000000000E+00 -0.000000000E+00 -1.426950291E-08  1.426950291E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.662274762E-08  1.643619128E-02  9.831028581E-01 
        53  9.499999881E-01  0.000000000E+00 -0.000000000E+00 -1.410890516E-08  1.410890516E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.478942124E-08  1.643626578E-02  9.497695565E-01 
        54  9.166666269E-01  0.000000000E+00 -0.000000000E+00 -1.386156878E-08  1.386156878E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.303850183E-08  1.643630303E-02  9.164362550E-01 
        55  8.833333254E-01  0.000000000E+00 -0.000000000E+00 -1.354007750E-08  1.354007750E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.137800432E-08  1.643645391E-02  8.831030726E-01 
        56  8.500000238E-01  0.000000000E+00 -0.000000000E+00 -1.315397391E-08  1.315397391E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.815119384E-09  1.643660292E-02  8.497698903E-01 
        57  8.166666627E-01  0.000000000E+00 -0.000000000E+00 -1.271349692E-08  1.271349692E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  8.353425507E-09  1.643667743E-02  8.164366484E-01 
        58  7.833333015E-01  0.000000000E+00 -0.000000000E+00 -1.222712598E-08  1.222712598E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  6.995102275E-09  1.643697731E-02  7.831036448E-01 
        59  7.500000000E-01  0.000000000E+00 -0.000000000E+00 -1.170247099E-08  1.170247099E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  5.740210973E-09  1.643727720E-02  7.497705817E-01 
        60  7.166666985E-01  0.000000000E+00 -0.000000000E+00 -1.114587356E-08  1.114587356E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.587696001E-09  1.643742807E-02  7.164373994E-01 
        61  6.833333373E-01  0.000000000E+00 -0.000000000E+00 -1.056254728E-08  1.056254728E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.535641779E-09  1.643802784E-02  6.831046939E-01 
        62  6.499999762E-01  0.000000000E+00 -0.000000000E+00 -9.956714564E-09  9.956714564E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.581619141E-09  1.643862762E-02  6.497719288E-01 
        63  6.166666746E-01  0.000000000E+00 -0.000000000E+00 -9.331798445E-09  9.331798445E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.723010845E-09  1.643892750E-02  6.164389253E-01 
        64  5.833333731E-01  0.000000000E+00 -0.000000000E+00 -8.690423492E-09  8.690423492E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.573353221E-10  1.644012891E-02  5.831067562E-01 
        65  5.500000119E-01  0.000000000E+00 -0.000000000E+00 -8.034781729E-09  8.034781729E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.821747558E-10  1.644133031E-02  5.497746468E-01 
        66  5.166666508E-01  0.000000000E+00 -0.000000000E+00 -7.366824928E-09  7.366824928E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.044109409E-10  1.644193009E-02  5.164419413E-01 
        67  4.833333492E-01  0.000000000E+00 -0.000000000E+00 -6.688099408E-09  6.688099408E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -8.036443178E-10  1.644433104E-02  4.831109941E-01 
