cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  8.999999762E-01  1.698556542E-02  2.448767555E-05  4.974396575E-07 -2.448262239E-05  7.298393001E-09  1.698556542E-02  8.996353745E-01 
         2  8.999999762E-01  5.095528066E-02  6.874183600E-05  3.550617748E-06 -6.865007890E-05  7.670845292E-09  5.095706508E-02  8.989001513E-01 
         3  8.999999762E-01  8.492429554E-02  1.082276503E-04  8.172348316E-06 -1.079186623E-04  8.499608128E-09  8.492782712E-02  8.981767893E-01 
         4  8.999999762E-01  1.187466085E-01  1.427919924E-04  1.448024796E-05 -1.420558838E-04  8.846089194E-09  1.187510863E-01  8.976933956E-01 
         5  8.999999762E-01  1.524086595E-01  1.724227768E-04  2.168689207E-05 -1.710534852E-04  8.808918039E-09  1.524382383E-01  8.974257708E-01 
         6  8.999999762E-01  1.860695779E-01  1.971168676E-04  2.952756222E-05 -1.948927384E-04  8.269964269E-09  1.861018538E-01  8.972182274E-01 
         7  8.999999762E-01  2.195502520E-01  2.167305793E-04  3.756847946E-05 -2.134496608E-04  7.262450641E-09  2.195835412E-01  8.971300721E-01 
         8  8.999999762E-01  2.528333366E-01  2.313658624E-04  4.552876999E-05 -2.268420067E-04  5.787890611E-09  2.528799772E-01  8.971787095E-01 
         9  9.000000358E-01  2.861165404E-01  2.411345049E-04  5.321480785E-05 -2.351893636E-04  3.878259935E-09  2.861595154E-01  8.972528577E-01 
        10  8.999999762E-01  3.193207383E-01  2.461191325E-04  6.041039887E-05 -2.385900443E-04  1.571032304E-09  3.193615377E-01  8.973932266E-01 
        11  8.999999762E-01  3.524378836E-01  2.464859863E-04  6.696298078E-05 -2.372157323E-04 -1.015017959E-09  3.524691761E-01  8.976061940E-01 
        12  8.999999762E-01  3.855552673E-01  2.425068815E-04  7.270094648E-05 -2.313528967E-04 -3.881281074E-09  3.855935633E-01  8.978320956E-01 
        13  8.999999762E-01  4.184303284E-01  2.342139487E-04  7.741432637E-05 -2.210502134E-04 -6.789900642E-09  4.184593856E-01  8.983531594E-01 
        14  8.999999762E-01  4.510582685E-01  2.219756861E-04  8.099975821E-05 -2.066694142E-04 -9.694857361E-09  4.510851800E-01  8.991414309E-01 
        15  8.999999762E-01  4.836906195E-01  2.059632243E-04  8.340512431E-05 -1.883200312E-04 -1.251628579E-08  4.836906493E-01  8.999986649E-01 
        16  8.999999762E-01  5.163681507E-01  1.863989601E-04  8.459506353E-05 -1.660971029E-04 -1.513812364E-08  5.163478255E-01  9.007132053E-01 
        17  8.999999762E-01  5.490807891E-01  1.635764493E-04  8.443104161E-05 -1.401022892E-04 -1.751328327E-08  5.490573049E-01  9.013331532E-01 
        18  8.999999762E-01  5.817922354E-01  1.380807662E-04  8.291398990E-05 -1.104154289E-04 -1.951231354E-08  5.817454457E-01  9.019257426E-01 
        19  8.999999762E-01  6.147157550E-01  1.107978533E-04  7.995050692E-05 -7.670776540E-05 -2.106854424E-08  6.146594286E-01  9.023182392E-01 
        20  8.999999762E-01  6.478278637E-01  8.490589971E-05  7.557283971E-05 -3.870087312E-05 -2.219856654E-08  6.477650404E-01  9.025495648E-01 
        21  8.999999762E-01  6.809384823E-01  6.990774273E-05  6.979535829E-05  3.962306891E-06 -2.286312117E-08  6.809178591E-01  9.026756883E-01 
        22  8.999999762E-01  7.141196728E-01  8.147879998E-05  6.272501923E-05  5.200353189E-05 -2.305431401E-08  7.140979767E-01  9.028093815E-01 
        23  8.999999762E-01  7.473493814E-01  1.195851946E-04  5.454149868E-05  1.064229436E-04 -2.279626621E-08  7.473223209E-01  9.029020667E-01 
        24  8.999999762E-01  7.805790901E-01  1.743670291E-04  4.550861559E-05  1.683235751E-04 -2.214376593E-08  7.805598974E-01  9.029867053E-01 
        25  8.999999762E-01  8.140387535E-01  2.419856901E-04  3.597017349E-05  2.392973547E-04 -2.111607067E-08  8.140202165E-01  9.028863311E-01 
        26  8.999999762E-01  8.477161527E-01  3.217643534E-04  2.635067176E-05  3.206835536E-04 -1.979391584E-08  8.476982713E-01  9.026229382E-01 
        27  8.999999762E-01  8.813947439E-01  4.130786401E-04  1.736618105E-05  4.127134453E-04 -1.824598606E-08  8.813993931E-01  9.023074508E-01 
        28  8.999999762E-01  9.151998758E-01  5.154327955E-04  9.562708328E-06  5.153440870E-04 -1.663330984E-08  9.152035117E-01  9.018023014E-01 
        29  8.999999762E-01  9.491206408E-01  6.272820174E-04  3.931520041E-06  6.272696774E-04 -1.485115142E-08  9.491308928E-01  9.010750651E-01 
        30  8.999999762E-01  9.830406904E-01  7.447754615E-04  5.279247262E-07  7.447752869E-04 -1.394286731E-08  9.830406904E-01  9.003604650E-01 
