cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  3.524060845E-01  9.961240292E-01  4.178582003E-06 -0.000000000E+00  4.178582003E-06  0.000000000E+00  0.000000000E+00  0.000000000E+00 -7.181048659E-06  9.961240292E-01  3.562820554E-01 
         2  3.524060845E-01  9.883720875E-01  1.750749220E-06 -0.000000000E+00  1.750749220E-06  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.238041583E-06  9.883720875E-01  3.562820554E-01 
         3  3.524060845E-01  9.806201458E-01  1.403041097E-06 -0.000000000E+00  1.403041097E-06  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.522619980E-06  9.806201458E-01  3.562820554E-01 
         4  3.524060845E-01  9.728682041E-01  1.062149408E-06 -0.000000000E+00  1.062149295E-06  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.727893846E-06  9.728682041E-01  3.562820554E-01 
         5  3.524060845E-01  9.651162624E-01  8.411581689E-07 -0.000000000E+00  8.411581689E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.297248900E-06  9.651162624E-01  3.562820554E-01 
         6  3.524060845E-01  9.573643208E-01  6.802360417E-07 -0.000000000E+00  6.802360417E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.006135903E-06  9.573643208E-01  3.562820554E-01 
         7  3.524060845E-01  9.496123791E-01  5.613105145E-07 -0.000000000E+00  5.613105145E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -8.137270697E-07  9.496123791E-01  3.562820554E-01 
         8  3.524060845E-01  9.418604374E-01  4.751948097E-07 -0.000000000E+00  4.751948097E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.785652431E-07  9.418604374E-01  3.562820554E-01 
         9  3.524060845E-01  9.341084957E-01  4.092463541E-07 -0.000000000E+00  4.092463541E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.800375220E-07  9.341084957E-01  3.562820554E-01 
        10  3.524060845E-01  9.263566136E-01  3.580851740E-07 -0.000000000E+00  3.580851740E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.049432730E-07  9.263566136E-01  3.562820554E-01 
        11  3.524060845E-01  9.186046720E-01  3.171642220E-07 -0.000000000E+00  3.171642220E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.462569052E-07  9.186046720E-01  3.562820554E-01 
        12  3.524060845E-01  9.108527303E-01  2.839392437E-07 -0.000000000E+00  2.839392437E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.991895596E-07  9.108527303E-01  3.562820554E-01 
        13  3.524060845E-01  9.031007886E-01  2.564624708E-07  1.790234627E-15  2.564624708E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.607144663E-07  9.031007886E-01  3.562820554E-01 
        14  3.524060845E-01  8.953488469E-01  2.334510043E-07 -0.000000000E+00  2.334510043E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.286942274E-07  8.953488469E-01  3.562820554E-01 
        15  3.524060845E-01  8.875969052E-01  2.139365876E-07 -0.000000000E+00  2.139365876E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.016506298E-07  8.875969052E-01  3.562820554E-01 
        16  3.524060845E-01  8.798449636E-01  1.972182559E-07 -0.000000000E+00  1.972182559E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.785011191E-07  8.798449636E-01  3.562820554E-01 
