nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
         1  8.499999642E-01  0.000000000E+00  1.792581372E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  8.499999642E-01 
         2  8.500000238E-01  7.751937956E-03  1.793701188E-08  7.174359325E-06  1.685996054E-08 -7.174337043E-06  7.751937956E-03  8.500000238E-01 
         3  8.499999642E-01  1.550387591E-02  1.797028837E-08  1.399409484E-05  5.068664422E-08 -1.399399389E-05  1.550387591E-02  8.499999642E-01 
         4  8.499999642E-01  2.325581387E-02  1.801008231E-08  2.047954149E-05  1.024272009E-07 -2.047926682E-05  2.325581387E-02  8.499999642E-01 
         5  8.499999642E-01  3.100775182E-02  1.804307459E-08  2.665205466E-05  1.713850963E-07 -2.665146894E-05  3.100775182E-02  8.499999642E-01 
         6  8.499999642E-01  3.875968978E-02  1.806997574E-08  3.253176328E-05  2.549991791E-07 -3.253069735E-05  3.875968978E-02  8.499999642E-01 
         7  8.499999642E-01  4.651162773E-02  1.808987804E-08  3.813799776E-05  3.518046583E-07 -3.813627700E-05  4.651162773E-02  8.499999642E-01 
         8  8.499999642E-01  5.426356569E-02  1.810272643E-08  4.348918446E-05  4.602338777E-07 -4.348659422E-05  5.426356569E-02  8.499999642E-01 
         9  8.499999642E-01  6.201550364E-02  1.810800931E-08  4.860297486E-05  5.791064268E-07 -4.859930414E-05  6.201550364E-02  8.499999642E-01 
        10  8.499999642E-01  6.976743788E-02  1.810530748E-08  5.349631101E-05  7.074049222E-07 -5.349132698E-05  6.976744533E-02  8.499999642E-01 
        11  8.499999642E-01  7.751937956E-02  1.809411998E-08  5.818545833E-05  8.443553838E-07 -5.817892816E-05  7.751937956E-02  8.499999642E-01 
        12  8.499999642E-01  8.527131379E-02  1.807392280E-08  6.268608558E-05  9.893929018E-07 -6.267775461E-05  8.527132124E-02  8.499999642E-01 
        13  8.499999642E-01  9.302325547E-02  1.804414040E-08  6.701328675E-05  1.142160954E-06 -6.700288213E-05  9.302325547E-02  8.499999642E-01 
        14  8.499999642E-01  1.007751897E-01  1.800417415E-08  7.118164649E-05  1.302502938E-06 -7.116889174E-05  1.007751971E-01  8.499999642E-01 
        15  8.499999642E-01  1.085271314E-01  1.795337390E-08  7.520525105E-05  1.470464440E-06 -7.518985512E-05  1.085271314E-01  8.499999642E-01 
        16  8.499999642E-01  1.162790656E-01  1.789105397E-08  7.909774286E-05  1.646281703E-06 -7.907937834E-05  1.162790731E-01  8.499999642E-01 
        17  8.499999642E-01  1.240310073E-01  1.781650738E-08  8.287237142E-05  1.830380938E-06 -8.285068179E-05  1.240310073E-01  8.499999642E-01 
        18  8.499999642E-01  1.317829490E-01  1.772898628E-08  8.654192061E-05  2.023378784E-06 -8.651653479E-05  1.317829490E-01  8.499999642E-01 
        19  8.499999642E-01  1.395348758E-01  1.762770374E-08  9.011887596E-05  2.226080369E-06 -9.008935012E-05  1.395348907E-01  8.499999642E-01 
        20  8.499999642E-01  1.472868174E-01  1.751182843E-08  9.361532284E-05  2.439480795E-06 -9.358118405E-05  1.472868025E-01  8.499999642E-01 
        21  8.499999642E-01  1.550387591E-01  1.738045974E-08  9.704302647E-05  2.664758313E-06 -9.700373630E-05  1.550387591E-01  8.499999642E-01 
        22  8.499999642E-01  1.627906859E-01  1.723265086E-08  1.004134101E-04  2.903278528E-06 -1.003683574E-04  1.627907008E-01  8.499999642E-01 
        23  8.499999642E-01  1.705426276E-01  1.706740349E-08  1.037375841E-04  3.156594403E-06 -1.036860776E-04  1.705426425E-01  8.499999642E-01 
        24  8.499999642E-01  1.782945693E-01  1.688367846E-08  1.070263679E-04  3.426458989E-06 -1.069676000E-04  1.782945693E-01  8.499999642E-01 
        25  8.499999642E-01  1.860465109E-01  1.668035310E-08  1.102902752E-04  3.714825198E-06 -1.102233218E-04  1.860465109E-01  8.499999642E-01 
        26  8.499999642E-01  1.937984377E-01  1.645618575E-08  1.135395141E-04  4.023841939E-06 -1.134633130E-04  1.937984526E-01  8.499999642E-01 
        27  8.499999642E-01  2.015503794E-01  1.620986190E-08  1.167840092E-04  4.355858891E-06 -1.166973379E-04  2.015503943E-01  8.499999642E-01 
        28  8.499999642E-01  2.093023211E-01  1.594000487E-08  1.200333936E-04  4.713439921E-06 -1.199348626E-04  2.093023211E-01  8.499999642E-01 
        29  8.499999642E-01  2.170542628E-01  1.564510299E-08  1.232970390E-04  5.099367172E-06 -1.231849892E-04  2.170542628E-01  8.499999642E-01 
        30  8.499999642E-01  2.248061895E-01  1.532352734E-08  1.265839674E-04  5.516640158E-06 -1.264565217E-04  2.248062044E-01  8.499999642E-01 
        31  8.499999642E-01  2.325581312E-01  1.497352287E-08  1.299029536E-04  5.968486221E-06 -1.297579292E-04  2.325581461E-01  8.499999642E-01 
        32  8.499999642E-01  2.403100729E-01  1.459323329E-08  1.332624670E-04  6.458365078E-06 -1.330973755E-04  2.403100729E-01  8.499999642E-01 
        33  8.499999642E-01  2.480620146E-01  1.418064510E-08  1.366706565E-04  6.989983376E-06 -1.364825584E-04  2.480620146E-01  8.499999642E-01 
        34  8.499999642E-01  2.558139563E-01  1.373357605E-08  1.401353511E-04  7.567287867E-06 -1.399209141E-04  2.558139563E-01  8.499999642E-01 
        35  8.499999642E-01  2.635658979E-01  1.324970889E-08  1.436640596E-04  8.194478141E-06 -1.434194273E-04  2.635658979E-01  8.499999642E-01 
        36  8.499999642E-01  2.713178098E-01  1.272654337E-08  1.472639415E-04  8.876018910E-06 -1.469846466E-04  2.713178396E-01  8.499999642E-01 
        37  8.499999642E-01  2.790697515E-01  1.216135903E-08  1.509418216E-04  9.616623174E-06 -1.506227709E-04  2.790697813E-01  8.499999642E-01 
        38  8.499999642E-01  2.868216932E-01  1.155125862E-08  1.547040883E-04  1.042127133E-05 -1.543394465E-04  2.868216634E-01  8.499999642E-01 
        39  8.499999642E-01  2.945736349E-01  1.089317259E-08  1.585567952E-04  1.129520660E-05 -1.581398537E-04  2.945736051E-01  8.499999642E-01 
