cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  5.000000000E-01  9.961240292E-01  9.819489787E-05  5.859798757E-10  9.819489787E-05 -3.227199341E-10  9.961240292E-01  5.000000000E-01 
         2  5.000000000E-01  9.883720875E-01  9.366540326E-05  4.638784468E-09  9.366540326E-05 -3.286454164E-10  9.883720875E-01  5.000000000E-01 
         3  5.000000000E-01  9.806201458E-01  8.918343519E-05  1.241689329E-08  8.918343519E-05 -3.393686721E-10  9.806201458E-01  5.000000000E-01 
         4  5.000000000E-01  9.728682041E-01  8.475554205E-05  2.488043727E-08  8.475554205E-05 -3.515655267E-10  9.728682041E-01  5.000000000E-01 
         5  5.000000000E-01  9.651162624E-01  8.038775559E-05  4.200864012E-08  8.038774831E-05 -3.651755009E-10  9.651162624E-01  5.000000000E-01 
         6  5.000000000E-01  9.573643208E-01  7.608593296E-05  6.390873608E-08  7.608590386E-05 -3.799096870E-10  9.573643208E-01  5.000000000E-01 
         7  5.000000000E-01  9.496123791E-01  7.185558206E-05  9.047782612E-08  7.185552386E-05 -3.957177364E-10  9.496123791E-01  5.000000000E-01 
         8  5.000000000E-01  9.418604374E-01  6.770189066E-05  1.215387329E-07  6.770178152E-05 -4.122597541E-10  9.418604374E-01  5.000000000E-01 
         9  5.000000000E-01  9.341084957E-01  6.362971180E-05  1.568016472E-07  6.362952263E-05 -4.294686273E-10  9.341084957E-01  5.000000000E-01 
        10  5.000000000E-01  9.263566136E-01  5.964356387E-05  1.959189007E-07  5.964324373E-05 -4.471214232E-10  9.263566136E-01  5.000000000E-01 
        11  5.000000000E-01  9.186046720E-01  5.574746683E-05  2.384722961E-07  5.574695751E-05 -4.649414742E-10  9.186046720E-01  5.000000000E-01 
        12  5.000000000E-01  9.108527303E-01  5.194516780E-05  2.839935007E-07  5.194439291E-05 -4.827682143E-10  9.108527303E-01  5.000000000E-01 
        13  5.000000000E-01  9.031007886E-01  4.823999916E-05  3.319848929E-07  4.823885683E-05 -5.003317205E-10  9.031007886E-01  5.000000000E-01 
        14  5.000000000E-01  8.953488469E-01  4.463488949E-05  3.819216658E-07  4.463325604E-05 -5.174358164E-10  8.953488469E-01  5.000000000E-01 
        15  5.000000000E-01  8.875969052E-01  4.113238538E-05  4.332690935E-07  4.113010436E-05 -5.338526843E-10  8.875969052E-01  5.000000000E-01 
        16  5.000000000E-01  8.798449636E-01  3.773465505E-05  4.854887266E-07  3.773153367E-05 -5.493906996E-10  8.798449636E-01  5.000000000E-01 
        17  5.000000000E-01  8.720930219E-01  3.444349204E-05  5.380528592E-07  3.443929018E-05 -5.638222667E-10  8.720930219E-01  5.000000000E-01 
        18  5.000000000E-01  8.643410802E-01  3.126033334E-05  5.904480531E-07  3.125475632E-05 -5.770221523E-10  8.643410802E-01  5.000000000E-01 
        19  5.000000000E-01  8.565891385E-01  2.818626308E-05  6.421851708E-07  2.817894710E-05 -5.887850207E-10  8.565891385E-01  5.000000000E-01 
        20  5.000000000E-01  8.488371968E-01  2.522205068E-05  6.927981531E-07  2.521253373E-05 -5.989779783E-10  8.488371968E-01  5.000000000E-01 
        21  5.000000000E-01  8.410852551E-01  2.236816363E-05  7.418598784E-07  2.235585816E-05 -6.074921122E-10  8.410852551E-01  5.000000000E-01 
        22  5.000000000E-01  8.333333135E-01  1.962480746E-05  7.889789799E-07  1.960894224E-05 -6.142085729E-10  8.333333135E-01  5.000000000E-01 
        23  5.000000000E-01  8.255813718E-01  1.699197674E-05  8.338003568E-07  1.697150765E-05 -6.190295498E-10  8.255813718E-01  5.000000000E-01 
        24  5.000000000E-01  8.178294301E-01  1.446954229E-05  8.760109154E-07  1.444300051E-05 -6.218959236E-10  8.178294301E-01  5.000000000E-01 
        25  5.000000000E-01  8.100775480E-01  1.205738954E-05  9.153412179E-07  1.202259591E-05 -6.227753868E-10  8.100774884E-01  5.000000000E-01 
        26  5.000000000E-01  8.023256063E-01  9.755764950E-06  9.515634929E-07  9.709247024E-06 -6.216208659E-10  8.023256063E-01  5.000000000E-01 
        27  5.000000000E-01  7.945736647E-01  7.565948636E-06  9.844927717E-07  7.501623259E-06 -6.184315837E-10  7.945736647E-01  5.000000000E-01 
        28  5.000000000E-01  7.868217230E-01  5.492647233E-06  1.013984615E-06  5.398241228E-06 -6.132164776E-10  7.868217230E-01  5.000000000E-01 
        29  5.000000000E-01  7.790697813E-01  3.553006309E-06  1.039934432E-06  3.397409273E-06 -6.060049684E-10  7.790697813E-01  5.000000000E-01 
        30  5.000000000E-01  7.713178396E-01  1.835818694E-06  1.062275260E-06  1.497264634E-06 -5.968328054E-10  7.713178396E-01  5.000000000E-01 
        31  5.000000000E-01  7.635658979E-01  1.122965614E-06  1.080976062E-06 -3.042080721E-07 -5.857581642E-10  7.635658979E-01  5.000000000E-01 
        32  5.000000000E-01  7.558139563E-01  2.288673841E-06  1.096039227E-06 -2.009160426E-06 -5.728477137E-10  7.558139563E-01  5.000000000E-01 
        33  5.000000000E-01  7.480620146E-01  3.785493618E-06  1.107497610E-06 -3.619863492E-06 -5.581805018E-10  7.480620146E-01  5.000000000E-01 
        34  5.000000000E-01  7.403100729E-01  5.258354122E-06  1.115411692E-06 -5.138690994E-06 -5.418439586E-10  7.403100729E-01  5.000000000E-01 
