cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  5.000000000E-01  9.961240292E-01  1.224892563E-03  1.183127480E-07  1.224892563E-03 -1.203587630E-07  9.961240292E-01  5.000000000E-01 
         2  5.000000000E-01  9.883720875E-01  1.161854598E-03  9.054858197E-07  1.161854248E-03 -1.213623761E-07  9.883720875E-01  5.000000000E-01 
         3  5.000000000E-01  9.806201458E-01  1.098563429E-03  2.343812639E-06  1.098560984E-03 -1.232653233E-07  9.806201458E-01  5.000000000E-01 
         4  5.000000000E-01  9.728682041E-01  1.035571098E-03  4.560345133E-06  1.035561087E-03 -1.252275155E-07  9.728682041E-01  5.000000000E-01 
         5  5.000000000E-01  9.651162624E-01  9.733771440E-04  7.477681720E-06  9.733483894E-04 -1.273702139E-07  9.651162624E-01  5.000000000E-01 
         6  5.000000000E-01  9.573643208E-01  9.124291828E-04  1.107529260E-05  9.123619529E-04 -1.295890542E-07  9.573643208E-01  5.000000000E-01 
         7  5.000000000E-01  9.496123791E-01  8.531113854E-04  1.528243047E-05  8.529744809E-04 -1.319023397E-07  9.496123791E-01  5.000000000E-01 
         8  5.000000000E-01  9.418604374E-01  7.957443013E-04  2.003450027E-05  7.954920875E-04 -1.342694418E-07  9.418604374E-01  5.000000000E-01 
         9  5.000000000E-01  9.341084957E-01  7.405841607E-04  2.525249511E-05  7.401534822E-04 -1.366765332E-07  9.341084957E-01  5.000000000E-01 
        10  5.000000000E-01  9.263566136E-01  6.878266577E-04  3.085732897E-05  6.871341611E-04 -1.390981623E-07  9.263566136E-01  5.000000000E-01 
        11  5.000000000E-01  9.186046720E-01  6.376099191E-04  3.676770211E-05  6.365489098E-04 -1.415146613E-07  9.186046720E-01  5.000000000E-01 
        12  5.000000000E-01  9.108527303E-01  5.900223041E-04  4.290410288E-05  5.884603015E-04 -1.439044581E-07  9.108527303E-01  5.000000000E-01 
        13  5.000000000E-01  9.031007886E-01  5.451074685E-04  4.918989362E-05  5.428835284E-04 -1.462493202E-07  9.031007886E-01  5.000000000E-01 
        14  5.000000000E-01  8.953488469E-01  5.028718733E-04  5.555290409E-05  4.997939686E-04 -1.485301055E-07  8.953488469E-01  5.000000000E-01 
        15  5.000000000E-01  8.875969052E-01  4.632912169E-04  6.192614092E-05  4.591338802E-04 -1.507305143E-07  8.875969052E-01  5.000000000E-01 
        16  5.000000000E-01  8.798449636E-01  4.263174778E-04  6.824852608E-05  4.208191240E-04 -1.528344455E-07  8.798449636E-01  5.000000000E-01 
        17  5.000000000E-01  8.720930219E-01  3.918852308E-04  7.446518430E-05  3.847453336E-04 -1.548279727E-07  8.720930219E-01  5.000000000E-01 
        18  5.000000000E-01  8.643410802E-01  3.599179036E-04  8.052752673E-05  3.507936781E-04 -1.566978796E-07  8.643410802E-01  5.000000000E-01 
        19  5.000000000E-01  8.565891385E-01  3.303333360E-04  8.639320731E-05  3.188358969E-04 -1.584325986E-07  8.565891385E-01  5.000000000E-01 
        20  5.000000000E-01  8.488371968E-01  3.030489606E-04  9.202586079E-05  2.887384908E-04 -1.600212727E-07  8.488371968E-01  5.000000000E-01 
        21  5.000000000E-01  8.410852551E-01  2.779865172E-04  9.739493544E-05  2.603665343E-04 -1.614543805E-07  8.410852551E-01  5.000000000E-01 
        22  5.000000000E-01  8.333333135E-01  2.550760983E-04  1.024746743E-04  2.335867030E-04 -1.627217330E-07  8.333333135E-01  5.000000000E-01 
