cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.433818787E-02  5.000000000E-01  1.615602741E-05  1.614653775E-05 -5.536666663E-07 -8.264177787E-09  5.135999322E-01  1.434289571E-02 
         2  4.301456362E-02  5.000000000E-01  4.404057108E-05  4.385976354E-05 -3.986646334E-06 -8.871783308E-09  5.130155087E-01  4.302177951E-02 
         3  7.169142365E-02  5.000000000E-01  6.770290202E-05  6.706332351E-05 -9.284050066E-06 -1.025728924E-08  5.124335289E-01  7.170269638E-02 
         4  1.003519520E-01  5.000000000E-01  8.757715113E-05  8.598807472E-05 -1.660746784E-05 -1.125607962E-08  5.120358467E-01  1.003653258E-01 
         5  1.289946735E-01  5.000000000E-01  1.041135693E-04  1.010467095E-04 -2.508379293E-05 -1.211539136E-08  5.118347406E-01  1.290210038E-01 
         6  1.577379704E-01  5.000000000E-01  1.177631857E-04  1.126342831E-04 -3.437565829E-05 -1.275671835E-08  5.116700530E-01  1.577008218E-01 
         7  1.866180450E-01  5.000000000E-01  1.290655782E-04  1.212982461E-04 -4.409829126E-05 -1.330116373E-08  5.116489530E-01  1.866102070E-01 
         8  2.156345546E-01  5.000000000E-01  1.383495837E-04  1.274049864E-04 -5.393121319E-05 -1.375508152E-08  5.117374063E-01  2.156642377E-01 
         9  2.447515428E-01  5.000000000E-01  1.459149207E-04  1.313363900E-04 -6.357605889E-05 -1.416737128E-08  5.118880272E-01  2.447634786E-01 
        10  2.738795280E-01  5.000000000E-01  1.519792713E-04  1.333836117E-04 -7.284579624E-05 -1.451843978E-08  5.118598342E-01  2.739261985E-01 
        11  3.030145168E-01  5.000000000E-01  1.568441803E-04  1.339182054E-04 -8.164565224E-05 -1.487821866E-08  5.116655231E-01  3.030978143E-01 
        12  3.321509361E-01  5.000000000E-01  1.607489976E-04  1.332684624E-04 -8.988747868E-05 -1.523605420E-08  5.114944577E-01  3.322585821E-01 
        13  3.615490496E-01  5.000000000E-01  1.638504036E-04  1.316048001E-04 -9.760702960E-05 -1.562286656E-08  5.113462806E-01  3.616695106E-01 
        14  3.912063837E-01  5.000000000E-01  1.662425930E-04  1.290781365E-04 -1.047637124E-04 -1.604802868E-08  5.113028288E-01  3.913118541E-01 
        15  4.208635688E-01  5.000000000E-01  1.679594716E-04  1.257686381E-04 -1.113222097E-04 -1.649149617E-08  5.112457871E-01  4.209461212E-01 
        16  4.503869116E-01  5.000000000E-01  1.690598147E-04  1.217676763E-04 -1.172768170E-04 -1.695815932E-08  5.112795830E-01  4.504561424E-01 
        17  4.797796607E-01  5.000000000E-01  1.695848332E-04  1.171035110E-04 -1.226612512E-04 -1.745086209E-08  5.113973022E-01  4.798548222E-01 
        18  5.091723204E-01  5.000000000E-01  1.695890242E-04  1.117370412E-04 -1.275745599E-04 -1.793620719E-08  5.115171671E-01  5.092492700E-01 
        19  5.385836959E-01  5.000000000E-01  1.691249054E-04  1.056202018E-04 -1.320893934E-04 -1.838393260E-08  5.114979744E-01  5.386537313E-01 
        20  5.680140257E-01  5.000000000E-01  1.682773291E-04  9.870278154E-05 -1.362902112E-04 -1.877120326E-08  5.113739371E-01  5.680859685E-01 
        21  5.974442959E-01  5.000000000E-01  1.670964702E-04  9.096461872E-05 -1.401665795E-04 -1.908562730E-08  5.112466216E-01  5.975034237E-01 
        22  6.268410683E-01  5.000000000E-01  1.656893583E-04  8.234542474E-05 -1.437782776E-04 -1.929931592E-08  5.111627579E-01  6.269077063E-01 
        23  6.562058330E-01  5.000000000E-01  1.641658455E-04  7.280574937E-05 -1.471385331E-04 -1.937219274E-08  5.111187100E-01  6.562616229E-01 
        24  6.855783463E-01  5.000000000E-01  1.626842131E-04  6.226338883E-05 -1.502977830E-04 -1.926235349E-08  5.111469030E-01  6.856085658E-01 
        25  7.149988413E-01  5.000000000E-01  1.613834029E-04  5.061759657E-05 -1.532398892E-04 -1.892947843E-08  5.113117099E-01  7.150652409E-01 
        26  7.444692850E-01  5.000000000E-01  1.605191064E-04  3.785345689E-05 -1.559919911E-04 -1.833234364E-08  5.115953088E-01  7.445105910E-01 
        27  7.739480734E-01  5.000000000E-01  1.603628043E-04  2.390111513E-05 -1.585716382E-04 -1.740615652E-08  5.119518638E-01  7.739812732E-01 
        28  8.034617901E-01  5.000000000E-01  1.612498745E-04  8.711494957E-06 -1.610143809E-04 -1.608652234E-08  5.123070478E-01  8.034802675E-01 
        29  8.330121040E-01  5.000000000E-01  1.634616783E-04 -7.749440556E-06 -1.632778731E-04 -1.432796726E-08  5.126821995E-01  8.330236077E-01 
        30  8.625634909E-01  5.000000000E-01  1.672582584E-04 -2.544712333E-05 -1.653111249E-04 -1.208103129E-08  5.130504370E-01  8.625614643E-01 
        31  8.863555193E-01  5.000000000E-01  1.727907365E-04 -4.433523645E-05 -1.670060592E-04 -9.306566184E-09  5.134333372E-01  8.920914531E-01 
        32  9.011172056E-01  5.000000000E-01  1.838781027E-04 -4.542170427E-05 -1.781797473E-04 -5.591448637E-09  4.865005910E-01  8.919506073E-01 
        33  9.216227531E-01  5.000000000E-01  1.899400959E-04 -6.477270654E-05 -1.785545901E-04 -2.312730230E-09  4.868973792E-01  9.214749932E-01 
        34  9.511433840E-01  5.000000000E-01  1.972377650E-04 -8.488594176E-05 -1.780368184E-04  1.463993149E-09  4.872930050E-01  9.510045648E-01 
        35  9.805486798E-01  5.000000000E-01  2.055181394E-04 -1.053911838E-04 -1.764381013E-04  5.692668559E-09  4.875891209E-01  9.804269075E-01 
        36  1.009837866E+00  5.000000000E-01  2.142323501E-04 -1.257671975E-04 -1.734304242E-04  1.035719777E-08  4.878139496E-01  1.009723067E+00 
        37  1.039127588E+00  5.000000000E-01  2.228541853E-04 -1.456133177E-04 -1.687031472E-04  1.523686599E-08  4.880324006E-01  1.039028883E+00 
        38  1.068304062E+00  5.000000000E-01  2.306060051E-04 -1.641045383E-04 -1.620148978E-04  2.028194857E-08  4.881566763E-01  1.068244338E+00 
