cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.145947910E-15  9.848484993E-01  7.395836121E-08 -0.000000000E+00  7.395836121E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.342128542E-07  9.848644137E-01  1.468407363E-02 
         2  1.271710068E-15  9.545454979E-01  3.321808961E-08 -2.289834988E-16  3.321808961E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -7.881988751E-08  9.545643926E-01  1.466838084E-02 
         3  1.231338254E-15  9.242424369E-01  2.673082022E-08 -0.000000000E+00  2.673082022E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.721528057E-08  9.242773056E-01  1.464657299E-02 
         4  1.190966546E-15  8.939393759E-01  2.078603956E-08 -0.000000000E+00  2.078603778E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.176906915E-08  8.939579129E-01  1.466869842E-02 
         5  1.150594732E-15  8.636363745E-01  1.675844352E-08 -0.000000000E+00  1.675844175E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.333742799E-08  8.636599183E-01  1.470180135E-02 
         6  1.110223025E-15  8.333333731E-01  1.380225179E-08 -0.000000000E+00  1.380225179E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.748615119E-08  8.333376050E-01  1.473961957E-02 
         7  1.069851317E-15  8.030303121E-01  1.160471363E-08 -0.000000000E+00  1.160471452E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.352816970E-08  8.030473590E-01  1.481709722E-02 
         8  1.029479503E-15  7.727272511E-01  9.979936877E-09 -0.000000000E+00  9.979936877E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.067062083E-08  7.727881074E-01  1.487809885E-02 
         9  9.891077952E-16  7.424242496E-01  8.705515420E-09 -0.000000000E+00  8.705515420E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -8.509451810E-09  7.424929738E-01  1.492247358E-02 
        10  9.487359815E-16  7.121212482E-01  7.676368874E-09 -0.000000000E+00  7.676368874E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.821375020E-09  7.122339010E-01  1.498778444E-02 
        11  9.083642736E-16  6.818181872E-01  6.821728071E-09 -0.000000000E+00  6.821728515E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.457291508E-09  6.819345355E-01  1.499339007E-02 
        12  8.679925658E-16  6.515151262E-01  6.088043847E-09 -0.000000000E+00  6.088043847E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.338487791E-09  6.516318321E-01  1.499769930E-02 
        13  8.276208050E-16  6.212121248E-01  5.446218587E-09 -0.000000000E+00  5.446218587E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.408812788E-09  6.213326454E-01  1.500545908E-02 
        14  7.872490442E-16  5.909091234E-01  4.874294746E-09 -0.000000000E+00  4.874294746E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.628734563E-09  5.910314322E-01  1.500826236E-02 
        15  7.468773364E-16  5.606060624E-01  4.356615513E-09 -0.000000000E+00  4.356615513E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.971155683E-09  5.607286096E-01  1.501041651E-02 
        16  7.065055226E-16  5.303030014E-01  3.882261179E-09 -0.000000000E+00  3.882261179E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.416717299E-09  5.304274559E-01  1.501429733E-02 
        17  6.661338148E-16  5.000000000E-01  3.443509256E-09 -0.000000000E+00  3.443509033E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -9.507521437E-10  5.001253486E-01  1.501569897E-02 
        18  6.257621069E-16  4.696969986E-01  3.034699825E-09 -0.000000000E+00  3.034699825E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.624518074E-10  4.698224366E-01  1.501677558E-02 
        19  5.853902932E-16  4.393939376E-01  2.652070341E-09 -0.000000000E+00  2.652070341E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.434265844E-10  4.395203590E-01  1.501871645E-02 
        20  5.450185854E-16  4.090909362E-01  2.292954049E-09 -0.000000000E+00  2.292954049E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.316094456E-11  4.092177749E-01  1.501941681E-02 
        21  5.046468246E-16  3.787878752E-01  1.956034668E-09 -0.000000000E+00  1.956034668E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.123630855E-10  3.789148033E-01  1.501995604E-02 
        22  4.642750638E-16  3.484848738E-01  1.640340197E-09 -0.000000000E+00  1.640340197E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.593635667E-10  3.486122489E-01  1.502092555E-02 
        23  4.239033559E-16  3.181818128E-01  1.348215761E-09 -0.000000000E+00  1.348215761E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.589214286E-10  3.183094561E-01  1.502127666E-02 
        24  3.835315951E-16  2.878788114E-01  1.076099321E-09 -0.000000000E+00  1.076099321E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  5.168172001E-10  2.880064547E-01  1.502154581E-02 
        25  3.431598343E-16  2.575757504E-01  8.274639862E-10 -0.000000000E+00  8.274639862E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00  5.336767139E-10  2.577036619E-01  1.502203103E-02 
