cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  7.500000000E-01  1.502455492E-02  2.514016842E-06  6.273261022E-09 -2.514008884E-06  2.921443087E-09  1.502455398E-02  7.503172159E-01 
         2  7.500000000E-01  4.507370666E-02  6.983696494E-06  3.689306283E-08 -6.983599178E-06  2.934024357E-09  4.507366568E-02  7.509515882E-01 
         3  7.500000000E-01  7.512287796E-02  1.093449191E-05  8.485441327E-08 -1.093416267E-05  2.950779399E-09  7.512277365E-02  7.515861988E-01 
         4  7.500000000E-01  1.051730961E-01  1.441352833E-05  1.463346564E-07 -1.441278528E-05  2.957542211E-09  1.051729694E-01  7.519034743E-01 
         5  7.500000000E-01  1.352240592E-01  1.745720328E-05  2.206500795E-07 -1.745580812E-05  2.955153455E-09  1.352242529E-01  7.519042492E-01 
         6  7.500000000E-01  1.652750075E-01  2.009749369E-05  3.014933725E-07 -2.009523268E-05  2.947131872E-09  1.652755439E-01  7.519034147E-01 
         7  7.500000000E-01  1.953310668E-01  2.235848660E-05  3.876474182E-07 -2.235512511E-05  2.932476484E-09  1.953316033E-01  7.518985271E-01 
         8  7.500000000E-01  2.253909707E-01  2.425715684E-05  4.772952025E-07 -2.425246021E-05  2.911144659E-09  2.253907621E-01  7.518911362E-01 
         9  7.500000000E-01  2.554509044E-01  2.580445835E-05  5.693046887E-07 -2.579817738E-05  2.882707184E-09  2.554532588E-01  7.518790364E-01 
        10  7.500000000E-01  2.857439220E-01  2.701300946E-05  6.655913012E-07 -2.700480763E-05  2.846908043E-09  2.857462168E-01  7.518239617E-01 
        11  7.500000000E-01  3.162684441E-01  2.787280755E-05  7.631244330E-07 -2.786235927E-05  2.798739462E-09  3.162526488E-01  7.517256141E-01 
        12  7.500000000E-01  3.467929959E-01  2.836408567E-05  8.677756114E-07 -2.835080886E-05  2.745497385E-09  3.467963636E-01  7.516233921E-01 
        13  7.500000000E-01  3.773769140E-01  2.847225005E-05  9.561692877E-07 -2.845619019E-05  2.685905498E-09  3.773800433E-01  7.515061498E-01 
        14  7.500000000E-01  4.080075920E-01  2.818025314E-05  1.057930149E-06 -2.816038796E-05  2.624507722E-09  4.080191851E-01  7.514140010E-01 
        15  7.500000000E-01  4.386394918E-01  2.745721758E-05  1.151376637E-06 -2.743306686E-05  2.558909751E-09  4.386645555E-01  7.512378693E-01 
        16  7.500000000E-01  4.693543315E-01  2.627469803E-05  1.250771220E-06 -2.624491026E-05  2.482896777E-09  4.693708420E-01  7.508168817E-01 
        17  7.500000000E-01  5.001375675E-01  2.459481766E-05  1.357515771E-06 -2.455732465E-05  2.402071209E-09  5.001370907E-01  7.500827909E-01 
        18  7.500000000E-01  5.309168100E-01  2.238170964E-05  1.445533030E-06 -2.233498162E-05  2.323312875E-09  5.309115648E-01  7.494012713E-01 
        19  7.500000000E-01  5.615627170E-01  1.960765076E-05  1.505509431E-06 -1.954976869E-05  2.249374687E-09  5.615530610E-01  7.488955855E-01 
        20  7.500000000E-01  5.920722485E-01  1.623796743E-05  1.529977794E-06 -1.616572808E-05  2.183004888E-09  5.920761228E-01  7.485746741E-01 
        21  7.500000000E-01  6.225805879E-01  1.222874835E-05  1.523137485E-06 -1.213352152E-05  2.125081444E-09  6.225783825E-01  7.482885718E-01 
        22  7.500000000E-01  6.531276107E-01  7.548006579E-06  1.477955038E-06 -7.401895346E-06  2.078251349E-09  6.531251669E-01  7.481350899E-01 
        23  7.500000000E-01  6.837072968E-01  2.376646989E-06  1.391712885E-06 -1.926547839E-06  2.044738601E-09  6.837210059E-01  7.481282949E-01 
        24  7.500000000E-01  7.142870426E-01  4.497846476E-06  1.273877160E-06  4.313682894E-06  2.024586943E-09  7.142872214E-01  7.481281757E-01 
        25  7.500000000E-01  7.446002960E-01  1.134882677E-05  1.128264671E-06  1.129260363E-05  2.017523482E-09  7.446004748E-01  7.481215000E-01 
        26  7.500000000E-01  7.746458054E-01  1.902448275E-05  9.610960205E-07  1.900019015E-05  2.023732737E-09  7.746476531E-01  7.481116652E-01 
        27  7.500000000E-01  8.046913147E-01  2.751449574E-05  7.800213098E-07  2.750343629E-05  2.041184777E-09  8.046914339E-01  7.481015325E-01 
        28  7.500000000E-01  8.347371221E-01  3.680425652E-05  5.944806389E-07  3.679945439E-05  2.068295091E-09  8.347372413E-01  7.480965853E-01 
        29  7.500000000E-01  8.647832870E-01  4.686987450E-05  4.168862517E-07  4.686801913E-05  2.102107599E-09  8.647834063E-01  7.480965853E-01 
        30  7.500000000E-01  8.948294520E-01  5.767505718E-05  2.594376554E-07  5.767447510E-05  2.139387556E-09  8.948295712E-01  7.480965853E-01 
        31  7.500000000E-01  9.248771071E-01  6.916840357E-05  1.327595101E-07  6.916827260E-05  2.179046499E-09  9.248772264E-01  7.484138012E-01 
        32  7.500000000E-01  9.549263120E-01  8.128200716E-05  4.814737053E-08  8.128199261E-05  2.217749984E-09  9.549263120E-01  7.490484715E-01 
        33  7.500000000E-01  9.849754572E-01  9.392780339E-05  6.611848846E-09  9.392780339E-05  2.241760111E-09  9.849754572E-01  7.496827841E-01 
