cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.683333397E+00  1.000000000E+00 -0.000000000E+00 -2.465459090E-07  2.465459090E-07  3.014426038E-04  0.000000000E+00  3.014426038E-04  4.360263404E-07  9.833327532E-01  1.683355451E+00 
         2  1.649999976E+00  1.000000000E+00 -0.000000000E+00 -1.983513300E-07  1.983513300E-07  3.014426038E-04  0.000000000E+00  3.014426038E-04  2.377806965E-07  9.833153486E-01  1.650050282E+00 
         3  1.616666675E+00  1.000000000E+00 -0.000000000E+00 -1.237186069E-07  1.237186069E-07  3.014426038E-04  0.000000000E+00  3.014426038E-04  1.619113448E-07  9.833147526E-01  1.616739035E+00 
         4  1.583333373E+00  1.000000000E+00 -0.000000000E+00 -9.471185081E-08  9.471185081E-08  3.014426038E-04  0.000000000E+00  3.014426038E-04  1.097791156E-07  9.833171964E-01  1.583469152E+00 
         5  1.549999952E+00  1.000000000E+00 -0.000000000E+00 -7.180608463E-08  7.180608463E-08  3.014426038E-04  0.000000000E+00  3.014426038E-04  8.443988264E-08  9.833153486E-01  1.550165176E+00 
         6  1.516666651E+00  1.000000000E+00 -0.000000000E+00 -5.904183453E-08  5.904183809E-08  3.014426038E-04  0.000000000E+00  3.014426038E-04  6.623641724E-08  9.833351374E-01  1.516867042E+00 
         7  1.483333349E+00  1.000000000E+00 -0.000000000E+00 -4.969950851E-08  4.969950851E-08  3.014426038E-04  0.000000000E+00  3.014426038E-04  5.444757889E-08  9.833623171E-01  1.483572960E+00 
         8  1.450000048E+00  1.000000000E+00 -0.000000000E+00 -4.336831694E-08  4.336831694E-08  3.014426038E-04  0.000000000E+00  3.014426038E-04  4.550609489E-08  9.833909869E-01  1.450230122E+00 
         9  1.416666627E+00  1.000000000E+00 -0.000000000E+00 -3.859298658E-08  3.859298658E-08  3.014426038E-04  0.000000000E+00  3.014426038E-04  3.874407639E-08  9.834200144E-01  1.416906476E+00 
        10  1.383333325E+00  1.000000000E+00 -0.000000000E+00 -3.500340995E-08  3.500340640E-08  3.014426038E-04  0.000000000E+00  3.014426038E-04  3.330707088E-08  9.834632277E-01  1.383568525E+00 
        11  1.350000024E+00  1.000000000E+00 -0.000000000E+00 -3.218610800E-08  3.218610800E-08  3.014426038E-04  0.000000000E+00  3.014426038E-04  2.887458983E-08  9.834775329E-01  1.350230455E+00 
        12  1.316666603E+00  1.000000000E+00 -0.000000000E+00 -2.996830517E-08  2.996830517E-08  3.014426038E-04  0.000000000E+00  3.014426038E-04  2.518372000E-08  9.834920168E-01  1.316902041E+00 
