nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
         1  8.499999642E-01  0.000000000E+00  1.292844143E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  8.499999642E-01 
         2  8.500000238E-01  7.751937956E-03  1.293509655E-08  4.957049441E-06  9.984575833E-09 -4.957037618E-06  7.751937956E-03  8.500000238E-01 
         3  8.499999642E-01  1.550387591E-02  1.295483365E-08  9.665871403E-06  3.003840732E-08 -9.665821381E-06  1.550387591E-02  8.499999642E-01 
         4  8.499999642E-01  2.325581387E-02  1.297844854E-08  1.413888276E-05  6.074128578E-08 -1.413874179E-05  2.325581387E-02  8.499999642E-01 
         5  8.499999642E-01  3.100775182E-02  1.299808350E-08  1.838929893E-05  1.016918034E-07 -1.838899698E-05  3.100775182E-02  8.499999642E-01 
         6  8.499999642E-01  3.875968978E-02  1.301416752E-08  2.242973278E-05  1.513742092E-07 -2.242918345E-05  3.875968978E-02  8.499999642E-01 
         7  8.499999642E-01  4.651162773E-02  1.302622277E-08  2.627244612E-05  2.089115583E-07 -2.627155664E-05  4.651162773E-02  8.499999642E-01 
         8  8.499999642E-01  5.426356569E-02  1.303426433E-08  2.992926784E-05  2.733593476E-07 -2.992793088E-05  5.426356569E-02  8.499999642E-01 
         9  8.499999642E-01  6.201550364E-02  1.303804531E-08  3.341167758E-05  3.439839134E-07 -3.340977855E-05  6.201550364E-02  8.499999642E-01 
        10  8.499999642E-01  6.976743788E-02  1.303739694E-08  3.673081665E-05  4.201372121E-07 -3.672823368E-05  6.976744533E-02  8.499999642E-01 
        11  8.499999642E-01  7.751937956E-02  1.303210340E-08  3.989749894E-05  5.012990414E-07 -3.989411562E-05  7.751937956E-02  8.499999642E-01 
        12  8.499999642E-01  8.527131379E-02  1.302195418E-08  4.292226004E-05  5.870560358E-07 -4.291793812E-05  8.527132124E-02  8.499999642E-01 
        13  8.499999642E-01  9.302325547E-02  1.300670682E-08  4.581534813E-05  6.771044241E-07 -4.580994937E-05  9.302325547E-02  8.499999642E-01 
        14  8.499999642E-01  1.007751897E-01  1.298610997E-08  4.858674947E-05  7.712383763E-07 -4.858013563E-05  1.007751971E-01  8.499999642E-01 
        15  8.499999642E-01  1.085271314E-01  1.295989982E-08  5.124619929E-05  8.693498330E-07 -5.123822484E-05  1.085271314E-01  8.499999642E-01 
        16  8.499999642E-01  1.162790656E-01  1.292780105E-08  5.380319635E-05  9.714232192E-07 -5.379370123E-05  1.162790731E-01  8.499999642E-01 
        17  8.499999642E-01  1.240310073E-01  1.288952411E-08  5.626699203E-05  1.077533057E-06 -5.625580161E-05  1.240310073E-01  8.499999642E-01 
        18  8.499999642E-01  1.317829490E-01  1.284476525E-08  5.864661216E-05  1.187839871E-06 -5.863355545E-05  1.317829490E-01  8.499999642E-01 
        19  8.499999642E-01  1.395348758E-01  1.279320472E-08  6.095086064E-05  1.302589226E-06 -6.093574484E-05  1.395348907E-01  8.499999642E-01 
        20  8.499999642E-01  1.472868174E-01  1.273449168E-08  6.318830128E-05  1.422106948E-06 -6.317092630E-05  1.472868025E-01  8.499999642E-01 
        21  8.499999642E-01  1.550387591E-01  1.266828331E-08  6.536731235E-05  1.546796057E-06 -6.534741260E-05  1.550387591E-01  8.499999642E-01 
        22  8.499999642E-01  1.627906859E-01  1.259421190E-08  6.749599561E-05  1.677138471E-06 -6.747333100E-05  1.627907008E-01  8.499999642E-01 
        23  8.499999642E-01  1.705426276E-01  1.251187776E-08  6.958224549E-05  1.813693189E-06 -6.955655408E-05  1.705426425E-01  8.499999642E-01 
        24  8.499999642E-01  1.782945693E-01  1.242085901E-08  7.163375267E-05  1.957096401E-06 -7.160469977E-05  1.782945693E-01  8.499999642E-01 
        25  8.499999642E-01  1.860465109E-01  1.232071600E-08  7.365798228E-05  2.108058652E-06 -7.362521137E-05  1.860465109E-01  8.499999642E-01 
        26  8.499999642E-01  1.937984377E-01  1.221097179E-08  7.566213753E-05  2.267365289E-06 -7.562527026E-05  1.937984526E-01  8.499999642E-01 
        27  8.499999642E-01  2.015503794E-01  1.209110856E-08  7.765323971E-05  2.435877150E-06 -7.761181769E-05  2.015503943E-01  8.499999642E-01 
        28  8.499999642E-01  2.093023211E-01  1.196056942E-08  7.963805547E-05  2.614529194E-06 -7.959158393E-05  2.093023211E-01  8.499999642E-01 
        29  8.499999642E-01  2.170542628E-01  1.181876641E-08  8.162311860E-05  2.804333235E-06 -8.157104457E-05  2.170542628E-01  8.499999642E-01 
        30  8.499999642E-01  2.248061895E-01  1.166507424E-08  8.361475193E-05  3.006379302E-06 -8.355644968E-05  2.248062044E-01  8.499999642E-01 
        31  8.499999642E-01  2.325581312E-01  1.149882056E-08  8.561906725E-05  3.221837687E-06 -8.555379463E-05  2.325581461E-01  8.499999642E-01 
        32  8.499999642E-01  2.403100729E-01  1.131925131E-08  8.764189261E-05  3.451957809E-06 -8.756883472E-05  2.403100729E-01  8.499999642E-01 
        33  8.499999642E-01  2.480620146E-01  1.112558667E-08  8.968886686E-05  3.698067985E-06 -8.960712876E-05  2.480620146E-01  8.499999642E-01 
        34  8.499999642E-01  2.558139563E-01  1.091699531E-08  9.176539606E-05  3.961586117E-06 -9.167395183E-05  2.558139563E-01  8.499999642E-01 
        35  8.499999642E-01  2.635658979E-01  1.069255440E-08  9.387666796E-05  4.244014690E-06 -9.377433162E-05  2.635658979E-01  8.499999642E-01 
        36  8.499999642E-01  2.713178098E-01  1.045129672E-08  9.602763021E-05  4.546940090E-06 -9.591309208E-05  2.713178396E-01  8.499999642E-01 
        37  8.499999642E-01  2.790697515E-01  1.019218665E-08  9.822298307E-05  4.872044428E-06 -9.809477342E-05  2.790697813E-01  8.499999642E-01 
        38  8.499999642E-01  2.868216932E-01  9.914107757E-09  1.004672449E-04  5.221104402E-06 -1.003236684E-04  2.868216634E-01  8.499999642E-01 
        39  8.499999642E-01  2.945736349E-01  9.615860108E-09  1.027646576E-04  5.595991297E-06 -1.026038517E-04  2.945736051E-01  8.499999642E-01 
        40  8.499999642E-01  3.023255765E-01  9.296175385E-09  1.051192594E-04  5.998671440E-06 -1.049390848E-04  3.023255467E-01  8.499999642E-01 
        41  8.499999642E-01  3.100775182E-01  8.953687569E-09  1.075348337E-04  6.431217571E-06 -1.073329404E-04  3.100775182E-01  8.499999642E-01 
        42  8.499999642E-01  3.178294599E-01  8.586924061E-09  1.100149748E-04  6.895798833E-06 -1.097886779E-04  3.178294599E-01  8.499999642E-01 
        43  8.499999642E-01  3.255813718E-01  8.194336765E-09  1.125629569E-04  7.394683053E-06 -1.123092588E-04  3.255814016E-01  8.499999642E-01 
        44  8.499999642E-01  3.333333135E-01  7.774307420E-09  1.151818724E-04  7.930249922E-06 -1.148974115E-04  3.333333433E-01  8.499999642E-01 
        45  8.499999642E-01  3.410852551E-01  7.325088092E-09  1.178744860E-04  8.504981452E-06 -1.175555371E-04  3.410852849E-01  8.499999642E-01 
        46  8.499999642E-01  3.488371968E-01  6.844804723E-09  1.206433590E-04  9.121456060E-06 -1.202857165E-04  3.488371968E-01  8.499999642E-01 
        47  8.499999642E-01  3.565891385E-01  6.331522417E-09  1.234907249E-04  9.782344023E-06 -1.230897178E-04  3.565891385E-01  8.499999642E-01 
        48  8.499999642E-01  3.643410802E-01  5.783205470E-09  1.264185266E-04  1.049042839E-05 -1.259689598E-04  3.643410802E-01  8.499999642E-01 
        49  8.499999642E-01  3.720930219E-01  5.197684061E-09  1.294283866E-04  1.124858136E-05 -1.289244537E-04  3.720930219E-01  8.499999642E-01 
        50  8.499999642E-01  3.798449337E-01  4.572645373E-09  1.325215853E-04  1.205974968E-05 -1.319568837E-04  3.798449636E-01  8.499999642E-01 
        51  8.499999642E-01  3.875968754E-01  3.905691326E-09  1.356989960E-04  1.292695924E-05 -1.350663952E-04  3.875969052E-01  8.499999642E-01 
        52  8.499999642E-01  3.953488171E-01  3.194357223E-09  1.389611571E-04  1.385329961E-05 -1.382527989E-04  3.953488469E-01  8.499999642E-01 
        53  8.499999642E-01  4.031007588E-01  2.436024937E-09  1.423081412E-04  1.484191125E-05 -1.415153092E-04  4.031007886E-01  8.499999642E-01 
        54  8.499999642E-01  4.108527005E-01  1.627971535E-09  1.457395410E-04  1.589597014E-05 -1.448526455E-04  4.108527005E-01  8.499999642E-01 
        55  8.499999642E-01  4.186046422E-01  7.674132996E-10  1.492544543E-04  1.701866131E-05 -1.482629450E-04  4.186046422E-01  8.499999642E-01 
        56  8.499999642E-01  4.263565838E-01 -1.485573609E-10  1.528514113E-04  1.821316437E-05 -1.517437049E-04  4.263565838E-01  8.499999642E-01 
        57  8.499999642E-01  4.341085255E-01 -1.122953952E-09  1.565283019E-04  1.948262798E-05 -1.552917238E-04  4.341085255E-01  8.499999642E-01 
        58  8.499999642E-01  4.418604672E-01 -2.158862644E-09  1.602824195E-04  2.083013169E-05 -1.589031162E-04  4.418604672E-01  8.499999642E-01 
        59  8.499999642E-01  4.496123791E-01 -3.259396530E-09  1.641103154E-04  2.225864409E-05 -1.625731384E-04  4.496124089E-01  8.499999642E-01 
        60  8.499999642E-01  4.573643208E-01 -4.427718192E-09  1.680077112E-04  2.377101737E-05 -1.662962604E-04  4.573643506E-01  8.499999642E-01 
        61  8.499999642E-01  4.651162624E-01 -5.667041947E-09  1.719695429E-04  2.536990542E-05 -1.700659486E-04  4.651162922E-01  8.499999642E-01 
        62  8.499999642E-01  4.728682041E-01 -6.980614309E-09  1.759897859E-04  2.705774205E-05 -1.738747960E-04  4.728682041E-01  8.499999642E-01 
        63  8.499999642E-01  4.806201458E-01 -8.371657145E-09  1.800614700E-04  2.883667185E-05 -1.777142461E-04  4.806201458E-01  8.499999642E-01 
        64  8.499999642E-01  4.883720875E-01 -9.843322601E-09  1.841765770E-04  3.070849925E-05 -1.815746946E-04  4.883720875E-01  8.499999642E-01 
