cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  5.000000000E-01  1.389638148E-02  1.248782269E-07 -3.035976193E-10  1.248778574E-07 -1.516804876E-10  1.389601361E-02  4.861294031E-01 
         2  5.000000000E-01  4.168914258E-02  3.377906808E-07 -2.114866504E-09  3.377840585E-07 -1.520959053E-10  4.168851301E-02  4.861658514E-01 
         3  5.000000000E-01  6.948190182E-02  5.178345646E-07 -4.991580482E-09  5.178105198E-07 -1.529129878E-10  6.948100775E-02  4.862023294E-01 
         4  5.000000000E-01  9.727466106E-02  6.696607215E-07 -9.105993293E-09  6.695988191E-07 -1.535312988E-10  9.727350622E-02  4.862387776E-01 
         5  5.000000000E-01  1.250686049E-01  7.964947031E-07 -1.414403616E-08  7.963691360E-07 -1.540202965E-10  1.250668615E-01  4.862708449E-01 
         6  5.000000000E-01  1.528637409E-01  9.007625863E-07 -2.006732380E-08  9.005390211E-07 -1.543741246E-10  1.528604180E-01  4.862980247E-01 
         7  5.000000000E-01  1.806588471E-01  9.839534414E-07 -2.674350164E-08  9.835899846E-07 -1.546212602E-10  1.806539744E-01  4.863252044E-01 
         8  5.000000000E-01  2.084539682E-01  1.046770763E-06 -3.431940598E-08  1.046208013E-06 -1.548261797E-10  2.084475458E-01  4.863523841E-01 
         9  5.000000000E-01  2.362468541E-01  1.089159696E-06 -4.242898299E-08  1.088332965E-06 -1.543665751E-10  2.362390459E-01  4.863725901E-01 
        10  5.000000000E-01  2.640375197E-01  1.109914706E-06 -5.225635746E-08  1.108683819E-06 -1.538404543E-10  2.640291750E-01  4.863861501E-01 
        11  5.000000000E-01  2.918281853E-01  1.107433832E-06 -6.076842851E-08  1.105765250E-06 -1.535892524E-10  2.918193042E-01  4.863997102E-01 
        12  5.000000000E-01  3.196188211E-01  1.079740855E-06 -7.251835399E-08  1.077302841E-06 -1.538457556E-10  3.196094334E-01  4.864132702E-01 
        13  5.000000000E-01  3.474098444E-01  1.022973038E-06 -8.458905398E-08  1.019469778E-06 -1.540141903E-10  3.473994136E-01  4.864163697E-01 
        14  5.000000000E-01  3.752011955E-01  9.335944924E-07 -9.839369142E-08  9.283950249E-07 -1.534446598E-10  3.751886487E-01  4.864084721E-01 
        15  5.000000000E-01  4.029925466E-01  8.067972885E-07 -1.137549503E-07  7.987375739E-07 -1.528145249E-10  4.029778540E-01  4.864005446E-01 
        16  5.000000000E-01  4.307839274E-01  6.379163437E-07 -1.312101006E-07  6.242764812E-07 -1.520215204E-10  4.307670593E-01  4.863926470E-01 
        17  5.000000000E-01  4.585685730E-01  4.254615078E-07 -1.511793215E-07  3.976962546E-07 -1.510310071E-10  4.585501254E-01  4.863774180E-01 
        18  5.000000000E-01  4.863465726E-01  2.062974858E-07 -1.741996698E-07  1.105130281E-07 -1.497813540E-10  4.863271117E-01  4.863553047E-01 
        19  5.000000000E-01  5.141245127E-01  3.184591151E-07 -2.008491009E-07 -2.471352616E-07 -1.482264728E-10  5.141040683E-01  4.863331914E-01 
        20  5.000000000E-01  5.419025421E-01  7.245411098E-07 -2.318463572E-07 -6.864452189E-07 -1.462924643E-10  5.418810844E-01  4.863110781E-01 
        21  5.000000000E-01  5.696771145E-01  1.249146862E-06 -2.680263833E-07 -1.220053150E-06 -1.439221381E-10  5.696547031E-01  4.862914979E-01 
        22  5.000000000E-01  5.974484682E-01  1.887887038E-06 -3.103241681E-07 -1.862207455E-06 -1.409916350E-10  5.974254012E-01  4.862746000E-01 
        23  5.000000000E-01  6.252197623E-01  2.653473302E-06 -3.598154308E-07 -2.628964239E-06 -1.374377973E-10  6.251960993E-01  4.862576723E-01 
        24  5.000000000E-01  6.529911160E-01  3.562646270E-06 -4.175983577E-07 -3.538086958E-06 -1.330756616E-10  6.529667377E-01  4.862407446E-01 
        25  5.000000000E-01  6.807595491E-01  4.634652669E-06 -4.848583330E-07 -4.609220923E-06 -1.279876621E-10  6.807349920E-01  4.862251580E-01 
        26  5.000000000E-01  7.085250616E-01  5.890976354E-06 -5.627524615E-07 -5.864035302E-06 -1.219641332E-10  7.085005045E-01  4.862111211E-01 
        27  5.000000000E-01  7.362905741E-01  7.355292382E-06 -6.523587786E-07 -7.326305422E-06 -1.151651552E-10  7.362660170E-01  4.861970842E-01 
        28  5.000000000E-01  7.640561461E-01  9.053474969E-06 -7.545926337E-07 -9.021972801E-06 -1.076221542E-10  7.640315294E-01  4.861830473E-01 
        29  5.000000000E-01  7.918193340E-01  1.101325415E-05 -8.699239515E-07 -1.097884342E-05 -9.966190373E-11  7.917946577E-01  4.861696661E-01 
        30  5.000000000E-01  8.195801973E-01  1.326450001E-05 -9.983882592E-07 -1.322687331E-05 -9.183977884E-11  8.195554018E-01  4.861569405E-01 
        31  5.000000000E-01  8.473410606E-01  1.583928133E-05 -1.139130632E-06 -1.579826494E-05 -8.509762339E-11  8.473162055E-01  4.861441851E-01 
        32  5.000000000E-01  8.751019239E-01  1.877115574E-05 -1.290183263E-06 -1.872676512E-05 -8.087743669E-11  8.750770092E-01  4.861314595E-01 
        33  4.999996424E-01  9.028611183E-01  2.209476770E-05 -1.448283342E-06 -2.204724842E-05 -8.134203033E-11  9.028357863E-01  4.861242473E-01 
        34  4.999996424E-01  9.306186438E-01  2.570071774E-05 -3.558174058E-06 -2.545321695E-05 -1.534921218E-10  9.306442738E-01  5.138739944E-01 
        35  5.000000000E-01  9.583761096E-01  2.993468661E-05 -4.119893674E-06 -2.964982195E-05 -1.624737012E-10  9.584022164E-01  5.138713121E-01 
        36  5.000000000E-01  9.861335754E-01  3.468044451E-05 -4.724498012E-06 -3.435713006E-05 -1.851350323E-10  9.861602187E-01  5.138686299E-01 
        37  5.000000000E-01  1.013889432E+00  3.997444583E-05 -5.363221135E-06 -3.961303082E-05 -2.286368456E-10  1.013916373E+00  5.138671994E-01 
        38  5.000000000E-01  1.041643858E+00  4.584981070E-05 -6.022041816E-06 -4.545261254E-05 -3.026967010E-10  1.041670680E+00  5.138671994E-01 
        39  5.000000000E-01  1.069398165E+00  5.233547927E-05 -6.681592367E-06 -5.190721276E-05 -4.200331749E-10  1.069424868E+00  5.138672590E-01 
        40  5.000000000E-01  1.097152472E+00  5.945251905E-05 -7.315242328E-06 -5.900075848E-05 -5.973425088E-10  1.097179055E+00  5.138672590E-01 
        41  5.000000000E-01  1.124907255E+00  6.721143291E-05 -7.887196261E-06 -6.674705219E-05 -8.566436449E-10  1.124933839E+00  5.138670206E-01 
        42  5.000000000E-01  1.152662516E+00  7.560428639E-05 -8.353525118E-06 -7.514137542E-05 -1.228832924E-09  1.152689099E+00  5.138664246E-01 
        43  5.000000000E-01  1.180417776E+00  8.460626123E-05 -8.661973879E-06 -8.416168566E-05 -1.748752809E-09  1.180444360E+00  5.138658285E-01 
        44  5.000000000E-01  1.208173156E+00  9.416839748E-05 -8.749623703E-06 -9.376103117E-05 -2.456870929E-09  1.208199501E+00  5.138652325E-01 
        45  5.000000000E-01  1.235931158E+00  1.042100630E-04 -8.540307135E-06 -1.038595219E-04 -3.401605886E-09  1.235957384E+00  5.138584375E-01 
        46  5.000000000E-01  1.263691902E+00  1.146185241E-04 -7.947007362E-06 -1.143426925E-04 -4.637898066E-09  1.263718009E+00  5.138455033E-01 
        47  5.000000000E-01  1.291452646E+00  1.252565271E-04 -6.879259217E-06 -1.250674832E-04 -6.233561223E-09  1.291478515E+00  5.138325691E-01 
        48  5.000000000E-01  1.319213390E+00  1.359050220E-04 -5.243177839E-06 -1.358038426E-04 -8.261094919E-09  1.319239140E+00  5.138196945E-01 
        49  5.000000000E-01  1.346976876E+00  1.462950167E-04 -2.951282568E-06 -1.462652435E-04 -1.079684253E-08  1.347002387E+00  5.138045549E-01 
        50  5.000000000E-01  1.374743342E+00  1.561003010E-04  8.885523073E-08 -1.561002719E-04 -1.388673887E-08  1.374768138E+00  5.137874484E-01 
        51  5.000000000E-01  1.402509689E+00  1.649817277E-04  3.963572908E-06 -1.649341139E-04 -1.761786272E-08  1.402534008E+00  5.137703419E-01 
        52  5.000000000E-01  1.430276155E+00  1.725486945E-04  8.703426829E-06 -1.723290479E-04 -2.207211125E-08  1.430299759E+00  5.137532353E-01 
        53  5.000000000E-01  1.458048105E+00  1.783582848E-04  1.431103283E-05 -1.777832076E-04 -2.725053072E-08  1.458070874E+00  5.137364268E-01 
        54  5.000000000E-01  1.485825777E+00  1.819739555E-04  2.072138523E-05 -1.807903318E-04 -3.316658947E-08  1.485847473E+00  5.137199759E-01 
        55  5.000000000E-01  1.513603210E+00  1.829219837E-04  2.783970922E-05 -1.807910448E-04 -3.975146257E-08  1.513624072E+00  5.137035847E-01 
        56  5.000000000E-01  1.541380882E+00  1.808872184E-04  3.547452798E-05 -1.773745898E-04 -4.691548128E-08  1.541400671E+00  5.136871338E-01 
