cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.389565039E-02  1.000000000E+00  2.658196991E-06  2.646032726E-06 -2.540115247E-07  3.991110109E-09  1.013870597E+00  1.389546599E-02 
         2  4.168695211E-02  1.000000000E+00  8.007505130E-06  7.840574654E-06 -1.626506332E-06  3.609762045E-09  1.013834000E+00  4.168657959E-02 
         3  6.947825104E-02  1.000000000E+00  1.330684427E-05  1.270533357E-05 -3.955577085E-06  2.934713139E-09  1.013797402E+00  6.947769225E-02 
         4  9.726954997E-02  1.000000000E+00  1.845920997E-05  1.697590596E-05 -7.249901046E-06  2.374424435E-09  1.013760924E+00  9.726880491E-02 
         5  1.250588149E-01  1.000000000E+00  2.335911995E-05  2.048115857E-05 -1.123257152E-05  1.881112377E-09  1.013730288E+00  1.250580400E-01 
         6  1.528460681E-01  1.000000000E+00  2.796197805E-05  2.310632590E-05 -1.574706039E-05  1.476725631E-09  1.013705492E+00  1.528456062E-01 
         7  1.806333065E-01  1.000000000E+00  3.222996020E-05  2.479298564E-05 -2.059315739E-05  1.138914851E-09  1.013680696E+00  1.806331873E-01 
         8  2.084205449E-01  9.999999404E-01  3.614566958E-05  2.551424404E-05 -2.560337452E-05  8.664358675E-10  1.013655901E+00  2.084207535E-01 
         9  2.362048030E-01  1.000000000E+00  3.972502964E-05  2.531514110E-05 -3.061407551E-05  6.460728619E-10  1.013642788E+00  2.362052500E-01 
        10  2.639860511E-01  1.000000000E+00  4.296643601E-05  2.423105616E-05 -3.548197492E-05  4.710316026E-10  1.013641477E+00  2.639864087E-01 
        11  2.917673290E-01  1.000000000E+00  4.587395597E-05  2.233033774E-05 -4.007213647E-05  3.315151487E-10  1.013640285E+00  2.917675376E-01 
        12  3.195486069E-01  1.000000000E+00  4.845133299E-05  1.970044468E-05 -4.426537998E-05  2.216545558E-10  1.013639092E+00  3.195486963E-01 
        13  3.473210931E-01  9.999999404E-01  5.069948020E-05  1.644827717E-05 -4.795718633E-05  1.337187305E-10  1.013656378E+00  3.473210037E-01 
        14  3.750847876E-01  1.000000000E+00  5.261171100E-05  1.268809865E-05 -5.105883247E-05  6.022241733E-11  1.013692260E+00  3.750845790E-01 
        15  4.028484821E-01  1.000000000E+00  5.416261047E-05  8.541983334E-06 -5.348479317E-05 -3.879418488E-12  1.013728023E+00  4.028481245E-01 
        16  4.306122065E-01  1.000000000E+00  5.533795775E-05  4.143428669E-06 -5.518261969E-05 -7.773437449E-11  1.013763905E+00  4.306116998E-01 
        17  4.583686590E-01  1.000000000E+00  5.608960782E-05 -3.651656471E-07 -5.608841821E-05 -1.466346489E-10  1.013808846E+00  4.583683014E-01 
        18  4.829562306E-01  1.000000000E+00  5.641127791E-05 -4.844043815E-06 -5.620291631E-05 -2.203872917E-10  1.013862610E+00  4.861177504E-01 
        19  4.968308806E-01  1.000000000E+00  4.850166079E-05 -4.494650511E-06 -4.829294994E-05 -1.177466319E-10  9.861067533E-01  4.861189127E-01 
        20  5.138671994E-01  1.000000000E+00  4.824155258E-05 -8.034545317E-06 -4.756777707E-05 -2.481789219E-10  9.861602187E-01  5.138686299E-01 
        21  5.416164398E-01  1.000000000E+00  4.751093729E-05 -1.128044187E-05 -4.615236321E-05 -3.988657737E-10  9.862136245E-01  5.416183472E-01 
        22  5.693724155E-01  1.000000000E+00  4.628000897E-05 -1.411836274E-05 -4.407392771E-05 -5.795729452E-10  9.862567186E-01  5.693746209E-01 
        23  5.971350670E-01  1.000000000E+00  4.454171722E-05 -1.644602708E-05 -4.139435623E-05 -7.954739090E-10  9.862894416E-01  5.971373320E-01 
        24  6.248977780E-01  1.000000000E+00  4.230010018E-05 -1.817849807E-05 -3.819477206E-05 -1.049955123E-09  9.863221645E-01  6.249001026E-01 
        25  6.526604295E-01  1.000000000E+00  3.956756336E-05 -1.924949538E-05 -3.456948252E-05 -1.341754818E-09  9.863548875E-01  6.526628733E-01 
        26  6.804367304E-01  1.000000000E+00  3.637678674E-05 -1.962298302E-05 -3.063019903E-05 -1.679058781E-09  9.863669276E-01  6.804382801E-01 
        27  7.082266808E-01  1.000000000E+00  3.278783333E-05 -1.930467442E-05 -2.650229544E-05 -2.050192238E-09  9.863578677E-01  7.082268596E-01 
        28  7.360165715E-01  1.000000000E+00  2.887482515E-05 -1.831765076E-05 -2.232082443E-05 -2.460435855E-09  9.863487482E-01  7.360154390E-01 
        29  7.638064623E-01  1.000000000E+00  2.473506356E-05 -1.672656254E-05 -1.822211561E-05 -2.897201368E-09  9.863396883E-01  7.638040185E-01 
        30  7.915935516E-01  9.999999404E-01  2.047861926E-05 -1.462873024E-05 -1.433087982E-05 -3.357512934E-09  9.863242507E-01  7.915916443E-01 
