cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  1.388888899E-02  2.000000000E+00 -0.000000000E+00 -2.260293002E-07  2.260293002E-07  2.260819456E-04  0.000000000E+00  2.260819456E-04 -3.203987262E-07  1.986110449E+00  1.388900355E-02 
         2  4.166666791E-02  2.000000000E+00 -0.000000000E+00 -1.858608840E-07  1.858608840E-07  2.260819456E-04  0.000000000E+00  2.260819456E-04 -1.534153995E-07  1.986108899E+00  4.166651890E-02 
         3  6.944444776E-02  2.000000000E+00 -0.000000000E+00 -1.232350115E-07  1.232350115E-07  2.260819456E-04  0.000000000E+00  2.260819456E-04 -9.522832300E-08  1.986107469E+00  6.944403797E-02 
         4  9.722222388E-02  2.000000000E+00 -0.000000000E+00 -9.525178513E-08  9.525177802E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -5.791047997E-08  1.986106038E+00  9.722155333E-02 
         5  1.250000000E-01  2.000000000E+00 -0.000000000E+00 -7.405586189E-08  7.405586189E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -4.048813196E-08  1.986105204E+00  1.249986067E-01 
         6  1.527777910E-01  2.000000000E+00 -0.000000000E+00 -6.105953787E-08  6.105953787E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -2.898539542E-08  1.986104965E+00  1.527756155E-01 
         7  1.805555522E-01  2.000000000E+00 -0.000000000E+00 -5.161163585E-08  5.161163230E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -2.223858964E-08  1.986104727E+00  1.805526167E-01 
         8  2.083333433E-01  2.000000000E+00 -0.000000000E+00 -4.489527683E-08  4.489527683E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -1.772637148E-08  1.986104488E+00  2.083296180E-01 
         9  2.361111045E-01  2.000000000E+00 -0.000000000E+00 -3.980267138E-08  3.980267138E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -1.468478761E-08  1.986104012E+00  2.361066490E-01 
        10  2.638888955E-01  2.000000000E+00 -0.000000000E+00 -3.589059361E-08  3.589059361E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -1.251483894E-08  1.986103058E+00  2.638835013E-01 
        11  2.916666865E-01  2.000000000E+00 -0.000000000E+00 -3.281172667E-08  3.281172667E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -1.092838176E-08  1.986102223E+00  2.916603684E-01 
        12  3.194444478E-01  2.000000000E+00 -0.000000000E+00 -3.036930707E-08  3.036930707E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -9.722065819E-09  1.986101389E+00  3.194372058E-01 
        13  3.472222090E-01  2.000000000E+00 -0.000000000E+00 -2.842435265E-08  2.842435265E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -8.767893078E-09  1.986101151E+00  3.472138047E-01 
        14  3.750000000E-01  2.000000000E+00 -0.000000000E+00 -2.688537393E-08  2.688537393E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -7.971908467E-09  1.986101270E+00  3.749905229E-01 
        15  4.027777910E-01  2.000000000E+00 -0.000000000E+00 -2.568683044E-08  2.568683044E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -7.266349744E-09  1.986101508E+00  4.027672112E-01 
        16  4.305555522E-01  2.000000000E+00 -0.000000000E+00 -2.478464012E-08  2.478464012E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -6.596990509E-09  1.986101627E+00  4.305439293E-01 
        17  4.583333135E-01  2.000000000E+00 -0.000000000E+00 -2.414554956E-08  2.414554956E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -5.918831203E-09  1.986101985E+00  4.583204389E-01 
        18  4.861111045E-01  2.000000000E+00 -0.000000000E+00 -2.375560371E-08  2.375560371E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -5.195486708E-09  1.986102343E+00  4.860967696E-01 
        19  5.138888955E-01  2.000000000E+00 -0.000000000E+00 -2.358490470E-08  2.358490470E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -4.384427932E-09  1.986102700E+00  5.138731599E-01 
        20  5.416666865E-01  2.000000000E+00 -0.000000000E+00 -2.365652740E-08  2.365652563E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -3.478016541E-09  1.986103058E+00  5.416495204E-01 
        21  5.694444180E-01  2.000000000E+00 -0.000000000E+00 -2.395645993E-08  2.395646170E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -2.407864796E-09  1.986103535E+00  5.694264174E-01 
        22  5.972222090E-01  2.000000000E+00 -0.000000000E+00 -2.450971692E-08  2.450971515E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04 -1.134256244E-09  1.986104608E+00  5.972040296E-01 
        23  6.250000000E-01  2.000000000E+00 -0.000000000E+00 -2.532610388E-08  2.532610210E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04  3.620850009E-10  1.986105680E+00  6.249817014E-01 
        24  6.527777910E-01  2.000000000E+00 -0.000000000E+00 -2.645634822E-08  2.645635000E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04  2.150639666E-09  1.986106634E+00  6.527593732E-01 
        25  6.805555820E-01  2.000000000E+00 -0.000000000E+00 -2.795263754E-08  2.795263754E-08  2.260819456E-04  0.000000000E+00  2.260819456E-04  4.298969181E-09  1.986107349E+00  6.805376410E-01 
