cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  9.276414730E-16  9.814814925E-01  3.337260353E-07 -0.000000000E+00  3.337260353E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.227581141E-07  9.814784527E-01  1.852055639E-02 
         2  8.388351506E-16  9.444444180E-01  1.311133246E-07 -0.000000000E+00  1.311133246E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.987158894E-07  9.444390535E-01  1.852080785E-02 
         3  8.059396732E-16  9.074074030E-01  1.040904607E-07 -0.000000000E+00  1.040904678E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.679804456E-07  9.073989987E-01  1.852284558E-02 
         4  7.730441958E-16  8.703703880E-01  7.765213894E-08 -0.000000000E+00  7.765213894E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.088164794E-07  8.703568578E-01  1.852511801E-02 
         5  7.401487184E-16  8.333333731E-01  6.084123783E-08 -0.000000000E+00  6.084123783E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -7.729816787E-08  8.333178759E-01  1.852555573E-02 
         6  7.072531880E-16  7.962962985E-01  4.902442541E-08 -0.000000000E+00  4.902442541E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.595592967E-08  7.962780595E-01  1.852757856E-02 
         7  6.743576577E-16  7.592592239E-01  4.031869949E-08  3.747002708E-16  4.031869949E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.172268575E-08  7.592371106E-01  1.852999814E-02 
         8  6.414621802E-16  7.222222090E-01  3.398058723E-08 -0.000000000E+00  3.398058723E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.148127092E-08  7.221991420E-01  1.853102446E-02 
         9  6.085667028E-16  6.851851940E-01  2.901221485E-08 -0.000000000E+00  2.901221485E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.380110864E-08  6.851601601E-01  1.853300817E-02 
        10  5.756712254E-16  6.481481791E-01  2.499778340E-08 -3.747002708E-16  2.499778340E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.779590164E-08  6.481221318E-01  1.853489503E-02 
        11  5.427756950E-16  6.111111045E-01  2.160721735E-08 -0.000000000E+00  2.160721735E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.301044428E-08  6.110857129E-01  1.853593998E-02 
        12  5.098802176E-16  5.740740895E-01  1.866238897E-08 -0.000000000E+00  1.866238897E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -9.150238789E-09  5.740485787E-01  1.853680238E-02 
        13  4.769846873E-16  5.370370150E-01  1.604231592E-08 -0.000000000E+00  1.604231592E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.037158773E-09  5.370125175E-01  1.853825711E-02 
        14  4.440892099E-16  5.000000000E-01  1.367640579E-08 -0.000000000E+00  1.367640579E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.547292016E-09  4.999762475E-01  1.853904314E-02 
        15  4.111937324E-16  4.629629850E-01  1.152028073E-08 -0.000000000E+00  1.152028073E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.594082755E-09  4.629395604E-01  1.853945479E-02 
        16  3.782982021E-16  4.259259105E-01  9.549584234E-09 -0.000000000E+00  9.549584234E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.104376521E-10  4.259051085E-01  1.853922941E-02 
        17  3.454027247E-16  3.888888955E-01  7.750820430E-09 -0.000000000E+00  7.750820430E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.588168037E-10  3.888696134E-01  1.853934117E-02 
        18  3.125072208E-16  3.518518507E-01  6.125547625E-09 -0.000000000E+00  6.125547625E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.663753357E-09  3.518344164E-01  1.853832975E-02 
        19  2.796117169E-16  3.148148060E-01  4.674709952E-09 -0.000000000E+00  4.674709952E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.064410198E-09  3.148007393E-01  1.853669435E-02 
        20  2.467162395E-16  2.777777910E-01  3.383322289E-09 -0.000000000E+00  3.383322511E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.194255000E-09  2.777646780E-01  1.853587665E-02 
        21  2.138207356E-16  2.407407463E-01  2.275324595E-09 -0.000000000E+00  2.275324595E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.067661153E-09  2.407294512E-01  1.853412762E-02 
        22  1.809252317E-16  2.037037015E-01  1.385965120E-09 -0.000000000E+00  1.385965120E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.775365632E-09  2.036953866E-01  1.853119209E-02 
        23  1.480297278E-16  1.666666567E-01  6.913190020E-10 -0.000000000E+00  6.913190020E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.376514680E-09  1.666592658E-01  1.853004657E-02 
        24  1.151342371E-16  1.296296269E-01  2.124648929E-10 -0.000000000E+00  2.124648929E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.276320267E-10  1.296242326E-01  1.852793060E-02 
        25  8.223874649E-17  9.259259701E-02 -5.707532363E-11 -0.000000000E+00  5.707532363E-11  0.000000000E+00  0.000000000E+00  0.000000000E+00  5.123418911E-10  9.258991480E-02  1.852434501E-02 
        26  4.934324591E-17  5.555555597E-02 -1.337905758E-10 -0.000000000E+00  1.337905758E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.707378822E-10  5.555330962E-02  1.852265187E-02 
        27  1.644774864E-17  1.851851866E-02 -1.849089978E-11 -0.000000000E+00  1.849089978E-11  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.851808466E-02  1.852021180E-02 
        28  1.851851866E-02  0.000000000E+00 -0.000000000E+00  1.846778286E-11  1.846778286E-11  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.851808466E-02  1.852021180E-02 
        29  5.555555597E-02  0.000000000E+00  7.318364664E-19  1.347061490E-10  1.347061490E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.669454019E-10  1.851627417E-02  5.555969104E-02 
        30  9.259259701E-02  0.000000000E+00 -0.000000000E+00  6.247115325E-11  6.247115325E-11  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.051065122E-10  1.851584017E-02  9.259841591E-02 
        31  1.296296269E-01  0.000000000E+00 -0.000000000E+00 -1.835681745E-10  1.835681745E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00 -9.139086155E-10  1.851375774E-02  1.296399385E-01 
        32  1.666666567E-01  0.000000000E+00 -0.000000000E+00 -5.921201862E-10  5.921201862E-10  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.354611867E-09  1.851189137E-02  1.666797101E-01 
        33  2.037037015E-01  0.000000000E+00 -0.000000000E+00 -1.143268480E-09  1.143268480E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.766656710E-09  1.851162128E-02  2.037187964E-01 
        34  2.407407463E-01  0.000000000E+00 -0.000000000E+00 -1.800661509E-09  1.800661509E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.108996755E-09  1.850987040E-02  2.407606393E-01 
        35  2.777777910E-01  0.000000000E+00 -0.000000000E+00 -2.526491905E-09  2.526491905E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.363574003E-09  1.850846782E-02  2.778001726E-01 
        36  3.148148060E-01  0.000000000E+00 -0.000000000E+00 -3.296420470E-09  3.296420470E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.529374044E-09  1.850858331E-02  3.148392737E-01 
        37  3.518518507E-01  0.000000000E+00 -0.000000000E+00 -4.108633878E-09  4.108633878E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.601181048E-09  1.850764267E-02  3.518803120E-01 
        38  3.888888955E-01  0.000000000E+00 -4.683753385E-17 -4.930329478E-09  4.930329478E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.549096045E-09  1.850708015E-02  3.889189065E-01 
        39  4.259259105E-01  0.000000000E+00 -0.000000000E+00 -5.749261955E-09  5.749261955E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.399563659E-09  1.850754023E-02  4.259574413E-01 
        40  4.629629850E-01  0.000000000E+00 -0.000000000E+00 -6.556936771E-09  6.556937215E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.171422375E-09  1.850741170E-02  4.629966021E-01 
        41  5.000000000E-01  0.000000000E+00 -4.683753385E-17 -7.367507937E-09  7.367507937E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.856590770E-09  1.850752532E-02  5.000340343E-01 
        42  5.370370150E-01  0.000000000E+00  4.683753385E-17 -8.171595844E-09  8.171595844E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.456875731E-09  1.850795560E-02  5.370716453E-01 
