nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
         1  8.499999642E-01  0.000000000E+00  2.420246048E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  8.499999642E-01 
         2  8.500000238E-01  7.751937956E-03  2.421361422E-08  9.529063391E-06  1.741759448E-08 -9.529044291E-06  7.751937956E-03  8.500000238E-01 
         3  8.499999642E-01  1.550387591E-02  2.424696532E-08  1.858648102E-05  5.209718879E-08 -1.858639735E-05  1.550387591E-02  8.499999642E-01 
         4  8.499999642E-01  2.325581387E-02  2.428633650E-08  2.720174780E-05  1.047125409E-07 -2.720151861E-05  2.325581387E-02  8.499999642E-01 
         5  8.499999642E-01  3.100775182E-02  2.431772117E-08  3.540582111E-05  1.743123761E-07 -3.540533726E-05  3.100775182E-02  8.499999642E-01 
         6  8.499999642E-01  3.875968978E-02  2.434168778E-08  4.322781751E-05  2.580782450E-07 -4.322695168E-05  3.875968978E-02  8.499999642E-01 
         7  8.499999642E-01  4.651162773E-02  2.435695556E-08  5.069560939E-05  3.544080585E-07 -5.069421968E-05  4.651162773E-02  8.499999642E-01 
         8  8.499999642E-01  5.426356569E-02  2.436313551E-08  5.783570305E-05  4.616678666E-07 -5.783362212E-05  5.426356569E-02  8.499999642E-01 
         9  8.499999642E-01  6.201550364E-02  2.435926838E-08  6.467342610E-05  5.787121040E-07 -6.467048661E-05  6.201550364E-02  8.499999642E-01 
        10  8.499999642E-01  6.976743788E-02  2.434451218E-08  7.123297837E-05  7.046538144E-07 -7.122902753E-05  6.976744533E-02  8.499999642E-01 
        11  8.499999642E-01  7.751937956E-02  2.431785262E-08  7.753760292E-05  8.389617960E-07 -7.753242971E-05  7.751937956E-02  8.499999642E-01 
        12  8.499999642E-01  8.527131379E-02  2.427822032E-08  8.360954234E-05  9.814135637E-07 -8.360295760E-05  8.527132124E-02  8.499999642E-01 
        13  8.499999642E-01  9.302325547E-02  2.422445178E-08  8.947023889E-05  1.132110697E-06 -8.946203889E-05  9.302325547E-02  8.499999642E-01 
        14  8.499999642E-01  1.007751897E-01  2.415531952E-08  9.514031990E-05  1.291478384E-06 -9.513024997E-05  1.007751971E-01  8.499999642E-01 
        15  8.499999642E-01  1.085271314E-01  2.406952859E-08  1.006397069E-04  1.460263320E-06 -1.006275124E-04  1.085271314E-01  8.499999642E-01 
        16  8.499999642E-01  1.162790656E-01  2.396572718E-08  1.059876740E-04  1.639537800E-06 -1.059730566E-04  1.162790731E-01  8.499999642E-01 
