cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  3.562820554E-01  1.000000000E+00 -0.000000000E+00 -9.386926649E-06  9.386926649E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.197724305E-05  9.961240292E-01  3.562820554E-01 
         2  3.640339971E-01  1.000000000E+00 -0.000000000E+00 -7.700230526E-06  7.700230526E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -5.332031378E-06  9.961240292E-01  3.640339971E-01 
         3  3.717859387E-01  1.000000000E+00 -0.000000000E+00 -5.417034572E-06  5.417034572E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -3.216989398E-06  9.961240292E-01  3.717859387E-01 
         4  3.795378506E-01  1.000000000E+00  5.728750807E-14 -4.243278454E-06  4.243278454E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.973970029E-06  9.961240292E-01  3.795378506E-01 
         5  3.872897923E-01  1.000000000E+00 -0.000000000E+00 -3.404524250E-06  3.404524250E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.344749535E-06  9.961240292E-01  3.872897923E-01 
         6  3.950417340E-01  1.000000000E+00 -0.000000000E+00 -2.852420948E-06  2.852420948E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -9.513242958E-07  9.961240292E-01  3.950417340E-01 
         7  4.027936757E-01  1.000000000E+00 -0.000000000E+00 -2.457605660E-06  2.457605660E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -7.169820719E-07  9.961240292E-01  4.027936757E-01 
         8  4.105456173E-01  1.000000000E+00 -0.000000000E+00 -2.169931577E-06  2.169931577E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -5.640745258E-07  9.961240292E-01  4.105456173E-01 
         9  4.182975590E-01  1.000000000E+00 -0.000000000E+00 -1.951151717E-06  1.951151717E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -4.592953076E-07  9.961240292E-01  4.182975590E-01 
        10  4.260495007E-01  1.000000000E+00 -0.000000000E+00 -1.779641025E-06  1.779641025E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -3.838786142E-07  9.961240292E-01  4.260495007E-01 
        11  4.338014126E-01  1.000000000E+00 -0.000000000E+00 -1.641333256E-06  1.641333370E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -3.275231961E-07  9.961240292E-01  4.338014424E-01 
        12  4.415533543E-01  1.000000000E+00 -0.000000000E+00 -1.527187123E-06  1.527187123E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -2.840667719E-07  9.961240292E-01  4.415533543E-01 
        13  4.493052959E-01  1.000000000E+00 -0.000000000E+00 -1.431138116E-06  1.431138116E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -2.497275204E-07  9.961240292E-01  4.493052959E-01 
        14  4.570572376E-01  1.000000000E+00 -0.000000000E+00 -1.348990736E-06  1.348990736E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -2.221369897E-07  9.961240292E-01  4.570572376E-01 
        15  4.648091793E-01  1.000000000E+00 -0.000000000E+00 -1.277810952E-06  1.277810952E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.996489232E-07  9.961240292E-01  4.648091793E-01 
        16  4.725611210E-01  1.000000000E+00 -0.000000000E+00 -1.215437806E-06  1.215437806E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.810745971E-07  9.961240292E-01  4.725611210E-01 
        17  4.803130627E-01  1.000000000E+00 -0.000000000E+00 -1.160230568E-06  1.160230568E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.655780437E-07  9.961240292E-01  4.803130627E-01 
        18  4.880650043E-01  1.000000000E+00 -0.000000000E+00 -1.110946869E-06  1.110946869E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.525601760E-07  9.961240292E-01  4.880650043E-01 
        19  4.958169460E-01  1.000000000E+00 -0.000000000E+00 -1.066616278E-06  1.066616278E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.415739348E-07  9.961240292E-01  4.958169460E-01 
        20  5.035688877E-01  1.000000000E+00 -0.000000000E+00 -1.026481186E-06  1.026481300E-06  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.322790837E-07  9.961240292E-01  5.035688877E-01 
        21  5.113208294E-01  1.000000000E+00 -0.000000000E+00 -9.899258657E-07  9.899258657E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.244072081E-07  9.961240292E-01  5.113208294E-01 
        22  5.190727711E-01  1.000000000E+00 -0.000000000E+00 -9.564537322E-07  9.564537322E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.177467155E-07  9.961240292E-01  5.190727711E-01 
        23  5.268247128E-01  1.000000000E+00 -0.000000000E+00 -9.256627891E-07  9.256627891E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.121324971E-07  9.961240292E-01  5.268247128E-01 
        24  5.345765948E-01  1.000000000E+00 -0.000000000E+00 -8.972119758E-07  8.972119758E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.074298979E-07  9.961240292E-01  5.345765948E-01 
        25  5.423285365E-01  1.000000000E+00 -0.000000000E+00 -8.708238965E-07  8.708239534E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.035231918E-07  9.961240292E-01  5.423285365E-01 
        26  5.500804782E-01  1.000000000E+00 -0.000000000E+00 -8.462566257E-07  8.462566257E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -1.003244066E-07  9.961240292E-01  5.500804782E-01 
        27  5.578324199E-01  1.000000000E+00 -0.000000000E+00 -8.233082553E-07  8.233081985E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -9.775589405E-08  9.961240292E-01  5.578324199E-01 
        28  5.655843616E-01  1.000000000E+00 -0.000000000E+00 -8.018014341E-07  8.018013773E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -9.576251614E-08  9.961240292E-01  5.655843616E-01 
        29  5.733363032E-01  1.000000000E+00 -0.000000000E+00 -7.816024663E-07  7.816024663E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -9.429519565E-08  9.961240292E-01  5.733363032E-01 
        30  5.810882449E-01  1.000000000E+00 -0.000000000E+00 -7.625649232E-07  7.625649232E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -9.330803152E-08  9.961240292E-01  5.810882449E-01 
        31  5.888401866E-01  1.000000000E+00 -0.000000000E+00 -7.444969015E-07  7.444969015E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -9.283185420E-08  9.961240292E-01  5.888401866E-01 
        32  5.965921283E-01  1.000000000E+00 -0.000000000E+00 -7.273365554E-07  7.273365554E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -9.301057702E-08  9.961240292E-01  5.965921283E-01 
        33  6.043440700E-01  1.000000000E+00 -0.000000000E+00 -7.111239029E-07  7.111238460E-07  2.562262118E-03  0.000000000E+00  2.562262118E-03 -9.379562727E-08  9.961240292E-01  6.043440700E-01 
