cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  5.000000000E-01  9.961240292E-01  2.561195754E-03  3.026889999E-06  2.561193891E-03 -1.502320686E-07  9.961240292E-01  5.035688877E-01 
         2  5.000000000E-01  9.883720875E-01  2.075790660E-03  2.262885391E-05  2.075667260E-03 -1.690003586E-07  9.883720875E-01  5.035688877E-01 
         3  5.000000000E-01  9.806201458E-01  1.632104628E-03  5.363973469E-05  1.631223015E-03 -2.086551802E-07  9.806201458E-01  5.035688877E-01 
         4  5.000000000E-01  9.728682041E-01  1.245252206E-03  9.624909580E-05  1.241526916E-03 -2.420507883E-07  9.728682041E-01  5.035688877E-01 
         5  5.000000000E-01  9.651162624E-01  9.228673298E-04  1.440457127E-04  9.115563589E-04 -2.738802891E-07  9.651162624E-01  5.035688877E-01 
         6  5.000000000E-01  9.573643208E-01  6.689861766E-04  1.940429647E-04  6.402263534E-04 -3.003700613E-07  9.573643208E-01  5.035688877E-01 
         7  5.000000000E-01  9.496123791E-01  4.873650614E-04  2.428697189E-04  4.225387529E-04 -3.224932072E-07  9.496123791E-01  5.035688877E-01 
         8  5.000000000E-01  9.418604374E-01  3.829298657E-04  2.886548173E-04  2.516220848E-04 -3.397736350E-07  9.418604374E-01  5.035688877E-01 
         9  5.000000000E-01  9.341084957E-01  3.512539843E-04  3.300978860E-04  1.200614570E-04 -3.528045625E-07  9.341085553E-01  5.035688877E-01 
        10  5.000000000E-01  9.263565540E-01  3.672410385E-04  3.666543926E-04  2.074918848E-05 -3.620190796E-07  9.263566136E-01  5.035688877E-01 
        11  5.000000000E-01  9.186046124E-01  4.016614694E-04  3.981923219E-04 -5.267649249E-05 -3.680380019E-07  9.186046720E-01  5.035688877E-01 
        12  5.000000000E-01  9.108526707E-01  4.378377344E-04  4.248963960E-04 -1.056642868E-04 -3.714215211E-07  9.108527303E-01  5.035688877E-01 
        13  5.000000000E-01  9.031007290E-01  4.693715018E-04  4.471398133E-04 -1.427431271E-04 -3.727301987E-07  9.031007886E-01  5.035688877E-01 
        14  5.000000000E-01  8.953487873E-01  4.945886321E-04  4.653267097E-04 -1.675975509E-04 -3.721694668E-07  8.953488469E-01  5.035688877E-01 
        15  5.000000000E-01  8.875969052E-01  5.137731787E-04  4.800048482E-04 -1.831889967E-04 -3.705961831E-07  8.875969052E-01  5.035688877E-01 
        16  5.000000000E-01  8.798449636E-01  5.277057062E-04  4.916068865E-04 -1.918228081E-04 -3.679608653E-07  8.798449636E-01  5.035688877E-01 
        17  5.000000000E-01  8.720930219E-01  5.373122985E-04  5.005662679E-04 -1.952893363E-04 -3.645417337E-07  8.720930219E-01  5.035688877E-01 
        18  5.000000000E-01  8.643410802E-01  5.434716004E-04  5.072790664E-04 -1.950110454E-04 -3.605335053E-07  8.643410802E-01  5.035688877E-01 
        19  5.000000000E-01  8.565891385E-01  5.469309981E-04  5.120935384E-04 -1.920773357E-04 -3.560728885E-07  8.565891385E-01  5.035688877E-01 
        20  5.000000000E-01  8.488371968E-01  5.483013811E-04  5.153150996E-04 -1.873092406E-04 -3.513468130E-07  8.488371968E-01  5.035688877E-01 
        21  5.000000000E-01  8.410852551E-01  5.480627296E-04  5.171973608E-04 -1.813273702E-04 -3.463532607E-07  8.410852551E-01  5.035688877E-01 
        22  5.000000000E-01  8.333333135E-01  5.466050352E-04  5.179638392E-04 -1.746154157E-04 -3.411680041E-07  8.333333135E-01  5.035688877E-01 
        23  5.000000000E-01  8.255813718E-01  5.442240508E-04  5.177981220E-04 -1.675260428E-04 -3.358421736E-07  8.255813718E-01  5.035688877E-01 
        24  5.000000000E-01  8.178294301E-01  5.411467864E-04  5.168534117E-04 -1.603196433E-04 -3.304057259E-07  8.178294301E-01  5.035688877E-01 
        25  5.000000000E-01  8.100774884E-01  5.375471083E-04  5.152585800E-04 -1.531844900E-04 -3.248997587E-07  8.100775480E-01  5.035688877E-01 
        26  5.000000000E-01  8.023255467E-01  5.335587775E-04  5.131206708E-04 -1.462604851E-04 -3.193326279E-07  8.023256063E-01  5.035688877E-01 
        27  5.000000000E-01  7.945736051E-01  5.292795831E-04  5.105279270E-04 -1.396357402E-04 -3.137130307E-07  7.945736647E-01  5.035688877E-01 
        28  5.000000000E-01  7.868216634E-01  5.247830413E-04  5.075508961E-04 -1.333764521E-04 -3.080411091E-07  7.868217230E-01  5.035688877E-01 
        29  5.000000000E-01  7.790697813E-01  5.201208987E-04  5.042460980E-04 -1.275210525E-04 -3.023363888E-07  7.790697813E-01  5.035688877E-01 
        30  5.000000000E-01  7.713178396E-01  5.153338425E-04  5.006623687E-04 -1.220909035E-04 -2.966005752E-07  7.713178396E-01  5.035688877E-01 
        31  5.000000000E-01  7.635658979E-01  5.104495795E-04  4.968378344E-04 -1.170937030E-04 -2.908386421E-07  7.635658979E-01  5.035688877E-01 
        32  5.000000000E-01  7.558139563E-01  5.054870853E-04  4.928029957E-04 -1.125273702E-04 -2.850505894E-07  7.558139563E-01  5.035688877E-01 
        33  5.000000000E-01  7.480620146E-01  5.004597479E-04  4.885824746E-04 -1.083841125E-04 -2.792434088E-07  7.480620146E-01  5.035688877E-01 
        34  5.000000000E-01  7.403100729E-01  4.953757161E-04  4.841962073E-04 -1.046476100E-04 -2.734145426E-07  7.403100729E-01  5.035688877E-01 
        35  5.000000000E-01  7.325581312E-01  4.902401124E-04  4.796596768E-04 -1.013013316E-04 -2.675743644E-07  7.325581312E-01  5.035688877E-01 
        36  5.000000000E-01  7.248061895E-01  4.850557307E-04  4.749854852E-04 -9.832518845E-05 -2.617138648E-07  7.248061895E-01  5.035688877E-01 
        37  5.000000000E-01  7.170542479E-01  4.798216105E-04  4.701815487E-04 -9.569780377E-05 -2.558404333E-07  7.170542479E-01  5.035688877E-01 
        38  5.000000000E-01  7.093023062E-01  4.745383631E-04  4.652567441E-04 -9.339604003E-05 -2.499625680E-07  7.093023062E-01  5.035688877E-01 
        39  5.000000000E-01  7.015503645E-01  4.692046787E-04  4.602169211E-04 -9.139697795E-05 -2.440744424E-07  7.015503645E-01  5.035688877E-01 
        40  5.000000000E-01  6.937984228E-01  4.638179089E-04  4.550658341E-04 -8.967804752E-05 -2.381807747E-07  6.937984228E-01  5.035688877E-01 
        41  5.000000000E-01  6.860464811E-01  4.583761911E-04  4.498072085E-04 -8.821680967E-05 -2.322847479E-07  6.860465407E-01  5.035688877E-01 
        42  5.000000000E-01  6.782945395E-01  4.528773716E-04  4.444439546E-04 -8.699136379E-05 -2.263901422E-07  6.782945991E-01  5.035688877E-01 
        43  5.000000000E-01  6.705425978E-01  4.473196168E-04  4.389785754E-04 -8.598059503E-05 -2.204997429E-07  6.705426574E-01  5.035688877E-01 
        44  5.000000000E-01  6.627906561E-01  4.417011223E-04  4.334131663E-04 -8.516399248E-05 -2.146179270E-07  6.627907157E-01  5.035688877E-01 
        45  5.000000000E-01  6.550387144E-01  4.360205494E-04  4.277498520E-04 -8.452201291E-05 -2.087474797E-07  6.550387740E-01  5.035688877E-01 
        46  5.000000000E-01  6.472868323E-01  4.302765883E-04  4.219904076E-04 -8.403588436E-05 -2.028928634E-07  6.472868323E-01  5.035688877E-01 
        47  5.000000000E-01  6.395348907E-01  4.244685988E-04  4.161369288E-04 -8.368779527E-05 -1.970583696E-07  6.395348907E-01  5.035688877E-01 
        48  5.000000000E-01  6.317829490E-01  4.185962898E-04  4.101915983E-04 -8.346093091E-05 -1.912481622E-07  6.317829490E-01  5.035688877E-01 
        49  5.000000000E-01  6.240310073E-01  4.126599233E-04  4.041568318E-04 -8.333940059E-05 -1.854669875E-07  6.240310073E-01  5.035688877E-01 
        50  5.000000000E-01  6.162790656E-01  4.066599067E-04  3.980351903E-04 -8.330819401E-05 -1.797187537E-07  6.162790656E-01  5.035688877E-01 
        51  5.000000000E-01  6.085271239E-01  4.005971714E-04  3.918294678E-04 -8.335321763E-05 -1.740081785E-07  6.085271239E-01  5.035688877E-01 
        52  5.000000000E-01  6.007751822E-01  3.944730852E-04  3.855427785E-04 -8.346122195E-05 -1.683397244E-07  6.007751822E-01  5.035688877E-01 
        53  5.000000000E-01  5.930232406E-01  3.882893361E-04  3.791784693E-04 -8.361997607E-05 -1.627178108E-07  5.930232406E-01  5.035688877E-01 
        54  5.000000000E-01  5.852712989E-01  3.820478159E-04  3.727399744E-04 -8.381798398E-05 -1.571489037E-07  5.852712989E-01  5.035688877E-01 
        55  5.000000000E-01  5.775193572E-01  3.757514933E-04  3.662317467E-04 -8.404448454E-05 -1.516373374E-07  5.775193572E-01  5.035688877E-01 
        56  5.000000000E-01  5.697674155E-01  3.694029583E-04  3.596578899E-04 -8.428963338E-05 -1.461855277E-07  5.697674155E-01  5.035688877E-01 
        57  5.000000000E-01  5.620154738E-01  3.630050924E-04  3.530225367E-04 -8.454453200E-05 -1.407988890E-07  5.620155334E-01  5.035688877E-01 
        58  5.000000000E-01  5.542635322E-01  3.565611842E-04  3.463303146E-04 -8.480091492E-05 -1.354831767E-07  5.542635918E-01  5.035688877E-01 
        59  5.000000000E-01  5.465115905E-01  3.500751045E-04  3.395863459E-04 -8.505109145E-05 -1.302419719E-07  5.465116501E-01  5.035688877E-01 
        60  5.000000000E-01  5.387597084E-01  3.435506951E-04  3.327956947E-04 -8.528844774E-05 -1.250797794E-07  5.387597084E-01  5.035688877E-01 
        61  5.000000000E-01  5.310077667E-01  3.369920014E-04  3.259635414E-04 -8.550655184E-05 -1.199998820E-07  5.310077667E-01  5.035688877E-01 
        62  5.000000000E-01  5.232558250E-01  3.304029524E-04  3.190950374E-04 -8.569985221E-05 -1.150067774E-07  5.232558250E-01  5.035688877E-01 
        63  5.000000000E-01  5.155038834E-01  3.237881465E-04  3.121957998E-04 -8.586345939E-05 -1.101045228E-07  5.155038834E-01  5.035688877E-01 
        64  5.000000000E-01  5.077519417E-01  3.171518911E-04  3.052712418E-04 -8.599299326E-05 -1.052961736E-07  5.077519417E-01  5.035688877E-01 
        65  5.000000000E-01  5.000000000E-01  3.104989300E-04  2.983270388E-04 -8.608467033E-05 -1.005853321E-07  5.000000000E-01  5.035688877E-01 
        66  5.000000000E-01  4.922480583E-01  3.038338327E-04  2.913687204E-04 -8.613519458E-05 -9.597531658E-08  4.922480583E-01  5.035688877E-01 
        67  5.000000000E-01  4.844961166E-01  2.971613430E-04  2.844019327E-04 -8.614177204E-05 -9.146870639E-08  4.844961166E-01  5.035688877E-01 
        68  5.000000000E-01  4.767441750E-01  2.904861758E-04  2.774322347E-04 -8.610208897E-05 -8.706802390E-08  4.767441750E-01  5.035688877E-01 
        69  5.000000000E-01  4.689922333E-01  2.838130167E-04  2.704651270E-04 -8.601424634E-05 -8.277579155E-08  4.689922333E-01  5.035688877E-01 
        70  5.000000000E-01  4.612402916E-01  2.771466970E-04  2.635061101E-04 -8.587675256E-05 -7.859420492E-08  4.612403214E-01  5.035688877E-01 
        71  5.000000000E-01  4.534883499E-01  2.704919025E-04  2.565606264E-04 -8.568847261E-05 -7.452501904E-08  4.534883797E-01  5.035688877E-01 
        72  5.000000000E-01  4.457364082E-01  2.638532897E-04  2.496338857E-04 -8.544864249E-05 -7.057011686E-08  4.457364380E-01  5.035688877E-01 
        73  5.000000000E-01  4.379844964E-01  2.572353987E-04  2.427310828E-04 -8.515674563E-05 -6.673056419E-08  4.379844964E-01  5.035688877E-01 
        74  5.000000000E-01  4.302325547E-01  2.506428282E-04  2.358572674E-04 -8.481258556E-05 -6.300776079E-08  4.302325547E-01  5.035688877E-01 
        75  5.000000000E-01  4.224806130E-01  2.440799726E-04  2.290173434E-04 -8.441619138E-05 -5.940264103E-08  4.224806130E-01  5.035688877E-01 
        76  5.000000000E-01  4.147286713E-01  2.375512413E-04  2.222160983E-04 -8.396783960E-05 -5.591569874E-08  4.147286713E-01  5.035688877E-01 
        77  5.000000000E-01  4.069767296E-01  2.310608106E-04  2.154580870E-04 -8.346801769E-05 -5.254737090E-08  4.069767296E-01  5.035688877E-01 
        78  5.000000000E-01  3.992247880E-01  2.246128424E-04  2.087478060E-04 -8.291731501E-05 -4.929799147E-08  3.992248178E-01  5.035688877E-01 
        79  5.000000000E-01  3.914728761E-01  2.182112657E-04  2.020894608E-04 -8.231651009E-05 -4.616740767E-08  3.914728761E-01  5.035688877E-01 
        80  5.000000000E-01  3.837209344E-01  2.118599805E-04  1.954871987E-04 -8.166643966E-05 -4.315537794E-08  3.837209344E-01  5.035688877E-01 
