cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1 -3.455578685E-01  1.036102891E+00  1.046071151E-20 -1.417761684E-06  1.417761684E-06  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.430057620E-06  1.021533005E+00 -3.484409594E-01 
         2 -3.155093789E-01  1.036102891E+00 -0.000000000E+00 -1.138200911E-06  1.138200911E-06  1.507212983E-03  0.000000000E+00  1.507212983E-03 -5.034409496E-07  1.021270764E+00 -3.181436613E-01 
         3 -2.854608893E-01  1.036102891E+00 -0.000000000E+00 -8.126273019E-07  8.126273019E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -2.961414899E-07  1.021008523E+00 -2.878463697E-01 
         4 -2.554123700E-01  1.036102891E+00 -0.000000000E+00 -6.617578324E-07  6.617578324E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.807623460E-07  1.020746283E+00 -2.575490841E-01 
         5 -2.253638953E-01  1.036102891E+00 -0.000000000E+00 -5.428667699E-07  5.428667699E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.287495879E-07  1.020477109E+00 -2.272408529E-01 
         6 -1.953153908E-01  1.036102891E+00 -0.000000000E+00 -4.596307348E-07  4.596307348E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.032233368E-07  1.020208262E+00 -1.969228581E-01 
         7 -1.652669013E-01  1.036102891E+00 -0.000000000E+00 -3.966739188E-07  3.966739188E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -9.674428217E-08  1.019939415E+00 -1.666048718E-01 
         8 -1.352184117E-01  1.036102891E+00 -0.000000000E+00 -3.474010052E-07  3.474010052E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.032891876E-07  1.019670567E+00 -1.362868938E-01 
         9 -1.051699072E-01  1.036102891E+00 -0.000000000E+00 -3.087801206E-07  3.087801206E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.165264270E-07  1.019430447E+00 -1.059704607E-01 
        10 -7.512141764E-02  1.036102891E+00 -0.000000000E+00 -2.779070821E-07  2.779070821E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.330891139E-07  1.019223012E+00 -7.563672042E-02 
        11 -4.507292062E-02  1.036102891E+00 -0.000000000E+00 -2.527370113E-07  2.527370113E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.504651174E-07  1.019015577E+00 -4.530299373E-02 
        12 -1.502442639E-02  1.036102891E+00 -1.723952786E-21 -2.334744743E-07  2.334744743E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.676102095E-07  1.018808142E+00 -1.496928013E-02 
        13  1.502406877E-02  1.036102891E+00 -0.000000000E+00 -2.186600944E-07  2.186600944E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.802030061E-07  1.018813935E+00  1.529955597E-02 
        14  4.507256299E-02  1.036102891E+00 -0.000000000E+00 -2.102154084E-07  2.102154084E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.847551017E-07  1.019031971E+00  4.562639246E-02 
        15  7.512106001E-02  1.036102891E+00 -0.000000000E+00 -2.058166080E-07  2.058166080E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.794790169E-07  1.019250006E+00  7.595324132E-02 
        16  1.051695496E-01  1.036102891E+00 -0.000000000E+00 -2.089866889E-07  2.089866889E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.614628210E-07  1.019468042E+00  1.062801030E-01 
        17  1.352180541E-01  1.036102891E+00 -0.000000000E+00 -2.179299879E-07  2.179299879E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -1.245553339E-07  1.019718829E+00  1.365839780E-01 
        18  1.652665436E-01  1.036102891E+00 -0.000000000E+00 -2.365570444E-07  2.365570444E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03 -5.803836612E-08  1.019994395E+00  1.668829700E-01 
        19  1.953150332E-01  1.036102891E+00 -0.000000000E+00 -2.694209293E-07  2.694209293E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03  3.977069897E-08  1.020269962E+00  1.971819662E-01 
        20  2.253635228E-01  1.036102891E+00 -0.000000000E+00 -3.118985937E-07  3.118985937E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03  1.941933799E-07  1.020545529E+00  2.274809668E-01 
        21  2.554120421E-01  1.036102891E+00 -0.000000000E+00 -4.026929893E-07  4.026929893E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03  4.054479316E-07  1.020811308E+00  2.577701224E-01 
        22  2.854605317E-01  1.036102891E+00 -0.000000000E+00 -4.835939529E-07  4.835939529E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03  7.990103526E-07  1.021056226E+00  2.880410887E-01 
        23  3.155090213E-01  1.036102891E+00 -0.000000000E+00 -8.695766375E-07  8.695766375E-07  1.507212983E-03  0.000000000E+00  1.507212983E-03  1.321785274E-06  1.021301145E+00  3.183120586E-01 
        24  3.455575109E-01  1.036102891E+00 -0.000000000E+00 -1.212664129E-06  1.212664129E-06  1.507212983E-03  0.000000000E+00  1.507212983E-03  2.668370368E-06  1.021546063E+00  3.485830322E-01 
