cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  8.699834347E-03  5.000000000E-01  7.555489200E-05  4.957351183E-06 -7.539208430E-05 -4.369206530E-09  5.116452454E-01 -2.063116622E-03 
         2  2.922540344E-02  5.000000000E-01  7.723801934E-05 -8.934803208E-06 -7.671949506E-05 -3.236838704E-09  5.149148336E-01  3.220481486E-02 
         3  4.659976438E-02  5.000000000E-01  7.226866356E-05 -1.091522977E-05 -7.143960730E-05 -2.097167641E-09  4.840083360E-01  3.846221487E-02 
         4  6.938529015E-02  5.000000000E-01  7.406951034E-05 -2.316155657E-05 -7.035506136E-05 -1.057717743E-09  4.876039140E-01  7.227367345E-02 
         5  1.035566106E-01  5.000000000E-01  7.591042455E-05 -3.483615000E-05 -6.744505326E-05  1.398665274E-11  4.913339940E-01  1.056221290E-01 
         6  1.372693479E-01  5.000000000E-01  7.747302183E-05 -4.535239563E-05 -6.281106051E-05  1.056151475E-09  4.952372351E-01  1.384662856E-01 
         7  1.706610024E-01  5.000000000E-01  7.839629712E-05 -5.418239672E-05 -5.665904418E-05  2.003985513E-09  4.995577855E-01  1.707967945E-01 
         8  2.038018405E-01  5.000000000E-01  7.840385469E-05 -6.094519549E-05 -4.932390472E-05  2.814498935E-09  5.047240071E-01  2.025483891E-01 
         9  2.366848141E-01  5.000000000E-01  7.719712443E-05 -6.533164750E-05 -4.112385993E-05  3.411157543E-09  5.110855744E-01  2.337595475E-01 
        10  2.552821338E-01  4.999999702E-01  7.447916216E-05 -6.705100378E-05 -3.242388761E-05  3.735783011E-09  5.186008072E-01  2.645559487E-01 
        11  2.717897892E-01  5.000000000E-01  6.366491247E-05 -5.725229078E-05 -2.784593829E-05  3.118301251E-09  4.873768566E-01  2.729456119E-01 
        12  3.025207222E-01  5.000000000E-01  5.919098762E-05 -5.568406831E-05 -2.007131164E-05  3.035931725E-09  4.966219786E-01  3.033982073E-01 
        13  3.353751004E-01  4.999999702E-01  5.259810068E-05 -5.104588261E-05 -1.268377166E-05  2.628915558E-09  5.054616104E-01  3.337864929E-01 
        14  3.624407351E-01  5.000000000E-01  4.354923598E-05 -4.310017802E-05 -6.237836849E-06  1.950937885E-09  5.131070779E-01  3.643739882E-01 
        15  3.786406517E-01  5.000000000E-01  3.610110744E-05 -3.572021056E-05 -5.230345670E-06  1.356699540E-09  4.851189273E-01  3.722587022E-01 
        16  4.001565576E-01  5.000000000E-01  2.656635393E-05 -2.652906647E-05 -1.407051387E-06  3.884014340E-10  4.911464705E-01  4.025533636E-01 
        17  4.318212271E-01  5.000000000E-01  1.607260945E-05 -1.605595113E-05  7.315790131E-07 -3.947048375E-10  4.962493179E-01  4.327821485E-01 
        18  4.630799592E-01  5.000000000E-01  5.335252629E-06 -5.255982561E-06  9.162793974E-07 -1.363394011E-09  5.012172928E-01  4.628387739E-01 
