cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1 -7.716565720E-10  1.552450098E-02  5.197373508E-06 -2.874660901E-09 -5.197372713E-06  0.000000000E+00  1.542796460E-02 -1.010520881E-02 
         2 -1.062092081E-09  4.649962112E-02  1.443447124E-05 -2.357245167E-08 -1.443445199E-05 -1.161077567E-11  4.631457719E-02 -1.023085869E-02 
         3 -4.485184724E-10  7.739663869E-02  2.275341072E-05 -5.071495683E-08 -2.275335420E-05 -2.892379008E-11  7.710762351E-02 -1.031027381E-02 
         4 -5.004016299E-11  1.084246859E-01  3.055740879E-05 -6.063315610E-08 -3.055734864E-05 -7.575893027E-11  1.080911146E-01 -1.113722168E-02 
         5 -1.063713909E-10  1.395219564E-01  3.803358032E-05  5.098977682E-08 -3.803354614E-05 -1.661448639E-10  1.390872935E-01 -1.294985916E-02 
         6 -2.483761894E-12  1.605590284E-01  4.532614118E-05  3.539012521E-07 -4.532475954E-05 -3.149250194E-10  1.698733471E-01 -1.556448831E-02 
         7 -4.013401764E-11  1.759732366E-01  4.539241123E-05 -2.390813187E-06 -4.532940558E-05  1.626611675E-10  1.709775137E-01  1.472707385E-02 
         8  6.926553775E-11  2.012367100E-01  5.282688324E-05 -2.847169800E-06 -5.275010158E-05 -4.408678621E-11  2.017589696E-01  1.256803284E-02 
         9  3.773229784E-10  2.318808436E-01  6.041171552E-05 -3.201252542E-06 -6.032683776E-05 -3.219766801E-10  2.323925540E-01  1.062382451E-02 
        10 -2.349442862E-10  2.623152435E-01  6.821718880E-05 -3.480978367E-06 -6.812831745E-05 -6.840003757E-10  2.628397596E-01  9.379762865E-03 
        11 -3.223002698E-10  2.925873101E-01  7.632198935E-05 -3.711473206E-06 -7.623169305E-05 -1.157038636E-09  2.931429014E-01  8.831664906E-03 
        12  1.758118096E-10  3.228098154E-01  8.479937985E-05 -3.741573386E-06 -8.471679557E-05 -1.782638433E-09  3.234568854E-01  8.517542968E-03 
