cellnumber     x-coordinate     y-coordinate velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  5.000000000E-01  9.961240292E-01  2.196821617E-03  3.082773787E-07  2.196821617E-03 -3.880634267E-07  9.961240292E-01  5.000000000E-01 
         2  5.000000000E-01  9.883720875E-01  2.065511886E-03  2.362070290E-06  2.065510489E-03 -3.907015298E-07  9.883720875E-01  5.000000000E-01 
         3  5.000000000E-01  9.806201458E-01  1.933230204E-03  6.090604529E-06  1.933220658E-03 -3.957607646E-07  9.806201458E-01  5.000000000E-01 
         4  5.000000000E-01  9.728682041E-01  1.802211860E-03  1.177178183E-05  1.802173443E-03 -4.009698102E-07  9.728682041E-01  5.000000000E-01 
         5  5.000000000E-01  9.651162624E-01  1.674399246E-03  1.912846892E-05  1.674289932E-03 -4.067036912E-07  9.651162624E-01  5.000000000E-01 
         6  5.000000000E-01  9.573643208E-01  1.551416586E-03  2.803563621E-05  1.551163266E-03 -4.126471538E-07  9.573643208E-01  5.000000000E-01 
         7  5.000000000E-01  9.496123791E-01  1.434535603E-03  3.823320367E-05  1.434026053E-03 -4.188646869E-07  9.496123791E-01  5.000000000E-01 
         8  5.000000000E-01  9.418604374E-01  1.324686338E-03  4.949187860E-05  1.323761418E-03 -4.252492545E-07  9.418604374E-01  5.000000000E-01 
         9  5.000000000E-01  9.341084957E-01  1.222475315E-03  6.155729352E-05  1.220924547E-03 -4.317757316E-07  9.341084957E-01  5.000000000E-01 
        10  5.000000000E-01  9.263566136E-01  1.128223026E-03  7.419342728E-05  1.125780866E-03 -4.383907424E-07  9.263566136E-01  5.000000000E-01 
        11  5.000000000E-01  9.186046720E-01  1.041998854E-03  8.717634773E-05  1.038345741E-03 -4.450618292E-07  9.186046720E-01  5.000000000E-01 
        12  5.000000000E-01  9.108527303E-01  9.636692121E-04  1.003057550E-04  9.584347135E-04 -4.517536070E-07  9.108527303E-01  5.000000000E-01 
        13  5.000000000E-01  9.031007886E-01  8.929363103E-04  1.134052363E-04  8.857056382E-04 -4.584382509E-07  9.031007886E-01  5.000000000E-01 
        14  5.000000000E-01  8.953488469E-01  8.293792489E-04  1.263250306E-04  8.197023417E-04 -4.650917447E-07  8.953488469E-01  5.000000000E-01 
        15  5.000000000E-01  8.875969052E-01  7.724903408E-04  1.389411773E-04  7.598925731E-04 -4.716925730E-07  8.875969052E-01  5.000000000E-01 
        16  5.000000000E-01  8.798449636E-01  7.217068342E-04  1.511544688E-04  7.057004259E-04 -4.782219776E-07  8.798449636E-01  5.000000000E-01 
        17  5.000000000E-01  8.720930219E-01  6.764386781E-04  1.628885075E-04  6.565338117E-04 -4.846635306E-07  8.720930219E-01  5.000000000E-01 
        18  5.000000000E-01  8.643410802E-01  6.360916304E-04  1.740870648E-04  6.118057645E-04 -4.910005487E-07  8.643410802E-01  5.000000000E-01 
        19  5.000000000E-01  8.565891385E-01  6.000861758E-04  1.847115054E-04  5.709510297E-04 -4.972185366E-07  8.565891385E-01  5.000000000E-01 
        20  5.000000000E-01  8.488371968E-01  5.678719608E-04  1.947379205E-04  5.334376474E-04 -5.033010098E-07  8.488371968E-01  5.000000000E-01 
        21  5.000000000E-01  8.410852551E-01  5.389390280E-04  2.041548287E-04  4.987745779E-04 -5.092331321E-07  8.410852551E-01  5.000000000E-01 
        22  5.000000000E-01  8.333333135E-01  5.128248013E-04  2.129592176E-04  4.665164743E-04 -5.149935873E-07  8.333333135E-01  5.000000000E-01 
        23  5.000000000E-01  8.255813718E-01  4.891183344E-04  2.211563406E-04  4.362643522E-04 -5.205714046E-07  8.255813718E-01  5.000000000E-01 
